noise_sigma,trial,signal_seed,ceemdan_noise_seed,method,parameter,baseline_mse,ceemdan_reconstruction_error,ceemdan_seconds
0.0,0,20261201,120261201,ceemdan_final,tail=1,0.0013257744511477037,0.0,9.000425799982622
0.0,0,20261201,120261201,ceemdan_oracle_tail,tail=1,0.0013257744511477037,0.0,9.000425799982622
0.0,0,20261201,120261201,hcrd_centered,none,0.0,0.0,9.000425799982622
0.0,0,20261201,120261201,hcrd_thresholded,z=3.5,1.8477710048275034e-33,0.0,9.000425799982622
0.0,1,20261202,120261202,ceemdan_final,tail=1,0.0020418409391371028,0.0,8.870850499952212
0.0,1,20261202,120261202,ceemdan_oracle_tail,tail=1,0.0020418409391371028,0.0,8.870850499952212
0.0,1,20261202,120261202,hcrd_centered,none,0.0,0.0,8.870850499952212
0.0,1,20261202,120261202,hcrd_thresholded,z=3.5,3.288319298043265e-33,0.0,8.870850499952212
0.0,2,20261203,120261203,ceemdan_final,tail=1,0.03025847538599909,0.0,9.321369700017385
0.0,2,20261203,120261203,ceemdan_oracle_tail,tail=1,0.03025847538599909,0.0,9.321369700017385
0.0,2,20261203,120261203,hcrd_centered,none,0.0,0.0,9.321369700017385
0.0,2,20261203,120261203,hcrd_thresholded,z=3.5,2.5668674396539733e-31,0.0,9.321369700017385
0.0,3,20261204,120261204,ceemdan_final,tail=1,0.036540266650257655,0.0,9.074127600062639
0.0,3,20261204,120261204,ceemdan_oracle_tail,tail=1,0.036540266650257655,0.0,9.074127600062639
0.0,3,20261204,120261204,hcrd_centered,none,0.0,0.0,9.074127600062639
0.0,3,20261204,120261204,hcrd_thresholded,z=3.5,1.2633744475365643e-31,0.0,9.074127600062639
0.0,4,20261205,120261205,ceemdan_final,tail=1,0.00077702405183179,0.0,8.635814400040545
0.0,4,20261205,120261205,ceemdan_oracle_tail,tail=1,0.00077702405183179,0.0,8.635814400040545
0.0,4,20261205,120261205,hcrd_centered,none,0.0,0.0,8.635814400040545
0.0,4,20261205,120261205,hcrd_thresholded,z=3.5,3.41721422039136e-33,0.0,8.635814400040545
0.0,5,20261206,120261206,ceemdan_final,tail=1,0.0010895122190542142,0.0,8.821452700067312
0.0,5,20261206,120261206,ceemdan_oracle_tail,tail=1,0.0010895122190542142,0.0,8.821452700067312
0.0,5,20261206,120261206,hcrd_centered,none,0.0,0.0,8.821452700067312
0.0,5,20261206,120261206,hcrd_thresholded,z=3.5,1.4917058073635476e-33,0.0,8.821452700067312
0.0,6,20261207,120261207,ceemdan_final,tail=1,0.005175802865503493,0.0,8.430669900029898
0.0,6,20261207,120261207,ceemdan_oracle_tail,tail=1,0.005175802865503493,0.0,8.430669900029898
0.0,6,20261207,120261207,hcrd_centered,none,0.0,0.0,8.430669900029898
0.0,6,20261207,120261207,hcrd_thresholded,z=3.5,1.0815183251905287e-32,0.0,8.430669900029898
0.0,7,20261208,120261208,ceemdan_final,tail=1,0.016159387277974637,0.0,8.940182400052436
0.0,7,20261208,120261208,ceemdan_oracle_tail,tail=1,0.016159387277974637,0.0,8.940182400052436
0.0,7,20261208,120261208,hcrd_centered,none,0.0,0.0,8.940182400052436
0.0,7,20261208,120261208,hcrd_thresholded,z=3.5,2.2014053714521184e-32,0.0,8.940182400052436
