representation,held_out_load_hp,balanced_accuracy,macro_f1,model_seconds,confusion_matrix
raw,0,1.0,1.0,0.13517449994105846,"[[24, 0, 0, 0], [0, 24, 0, 0], [0, 0, 24, 0], [0, 0, 0, 24]]"
raw,1,1.0,1.0,0.0332240000134334,"[[24, 0, 0, 0], [0, 24, 0, 0], [0, 0, 24, 0], [0, 0, 0, 24]]"
raw,2,1.0,1.0,0.03505009994842112,"[[24, 0, 0, 0], [0, 24, 0, 0], [0, 0, 24, 0], [0, 0, 0, 24]]"
raw,3,0.9270833333333334,0.9254988913525499,0.03301170002669096,"[[24, 0, 0, 0], [7, 17, 0, 0], [0, 0, 24, 0], [0, 0, 0, 24]]"
gaussian_pyramid,0,1.0,1.0,0.03443840006366372,"[[24, 0, 0, 0], [0, 24, 0, 0], [0, 0, 24, 0], [0, 0, 0, 24]]"
gaussian_pyramid,1,1.0,1.0,0.05614809994585812,"[[24, 0, 0, 0], [0, 24, 0, 0], [0, 0, 24, 0], [0, 0, 0, 24]]"
gaussian_pyramid,2,1.0,1.0,0.038860099972225726,"[[24, 0, 0, 0], [0, 24, 0, 0], [0, 0, 24, 0], [0, 0, 0, 24]]"
gaussian_pyramid,3,1.0,1.0,0.03717659995891154,"[[24, 0, 0, 0], [0, 24, 0, 0], [0, 0, 24, 0], [0, 0, 0, 24]]"
wavelet_db4,0,1.0,1.0,0.034729399951174855,"[[24, 0, 0, 0], [0, 24, 0, 0], [0, 0, 24, 0], [0, 0, 0, 24]]"
wavelet_db4,1,1.0,1.0,0.03457040002103895,"[[24, 0, 0, 0], [0, 24, 0, 0], [0, 0, 24, 0], [0, 0, 0, 24]]"
wavelet_db4,2,1.0,1.0,0.03418920002877712,"[[24, 0, 0, 0], [0, 24, 0, 0], [0, 0, 24, 0], [0, 0, 0, 24]]"
wavelet_db4,3,1.0,1.0,0.033319200039841235,"[[24, 0, 0, 0], [0, 24, 0, 0], [0, 0, 24, 0], [0, 0, 0, 24]]"
emd,0,1.0,1.0,0.05729379993863404,"[[24, 0, 0, 0], [0, 24, 0, 0], [0, 0, 24, 0], [0, 0, 0, 24]]"
emd,1,1.0,1.0,0.04000310006085783,"[[24, 0, 0, 0], [0, 24, 0, 0], [0, 0, 24, 0], [0, 0, 0, 24]]"
emd,2,1.0,1.0,0.030322699923999608,"[[24, 0, 0, 0], [0, 24, 0, 0], [0, 0, 24, 0], [0, 0, 0, 24]]"
emd,3,1.0,1.0,0.0782617999939248,"[[24, 0, 0, 0], [0, 24, 0, 0], [0, 0, 24, 0], [0, 0, 0, 24]]"
hcrd,0,1.0,1.0,0.0407681999495253,"[[24, 0, 0, 0], [0, 24, 0, 0], [0, 0, 24, 0], [0, 0, 0, 24]]"
hcrd,1,1.0,1.0,0.03692039998713881,"[[24, 0, 0, 0], [0, 24, 0, 0], [0, 0, 24, 0], [0, 0, 0, 24]]"
hcrd,2,1.0,1.0,0.05381960002705455,"[[24, 0, 0, 0], [0, 24, 0, 0], [0, 0, 24, 0], [0, 0, 0, 24]]"
hcrd,3,1.0,1.0,0.04221139999572188,"[[24, 0, 0, 0], [0, 24, 0, 0], [0, 0, 24, 0], [0, 0, 0, 24]]"
hcrd_guided,0,1.0,1.0,0.08029319997876883,"[[24, 0, 0, 0], [0, 24, 0, 0], [0, 0, 24, 0], [0, 0, 0, 24]]"
hcrd_guided,1,1.0,1.0,0.07227160001639277,"[[24, 0, 0, 0], [0, 24, 0, 0], [0, 0, 24, 0], [0, 0, 0, 24]]"
hcrd_guided,2,1.0,1.0,0.07718660007230937,"[[24, 0, 0, 0], [0, 24, 0, 0], [0, 0, 24, 0], [0, 0, 0, 24]]"
hcrd_guided,3,0.78125,0.7294685990338164,0.08449499995913357,"[[24, 0, 0, 0], [0, 3, 0, 21], [0, 0, 24, 0], [0, 0, 0, 24]]"
