suite,noise_sigma,trial,seed,method,parameter,baseline_mse,baseline_nmse
exact,0.0,0,20261001,hcrd_centered,none,0.0,0.0
exact,0.0,0,20261001,hcrd_thresholded,z=3.5,1.8524898142121584e-32,1.919662460529927e-32
exact,0.0,0,20261001,hcrd_adaptive_guided,pilot-calibrated,0.008481196597276055,0.008788731038226584
exact,0.0,0,20261001,emd_residue,default,0.008552578109675866,0.008862700896888422
exact,0.0,0,20261001,vmd_low_mode,K=5;alpha=2000,0.03766883616434857,0.03903473593311241
exact,0.0,0,20261001,l1_trend_oracle,lambda=300,0.034840627741215144,0.036103974587602526
exact,0.0,0,20261001,gaussian_oracle,sigma=32,0.044773079183331496,0.04639658404120756
exact,0.03,0,20261301,hcrd_centered,none,0.6170650444557871,0.9064565511050987
exact,0.03,0,20261301,hcrd_thresholded,z=3.5,0.00042015610251457304,0.0006172011444061119
exact,0.03,0,20261301,hcrd_adaptive_guided,pilot-calibrated,0.015723500194956656,0.02309751603348513
exact,0.03,0,20261301,emd_residue,default,0.00788763608512974,0.01158678402923391
exact,0.03,0,20261301,vmd_low_mode,K=5;alpha=2000,0.018354277576639717,0.026962076850131085
exact,0.03,0,20261301,l1_trend_oracle,lambda=300,0.04699565805362166,0.06903570782196966
exact,0.03,0,20261301,gaussian_oracle,sigma=64,0.003856135778759151,0.005664588474120643
exact,0.1,0,20262001,hcrd_centered,none,0.8444071318510229,0.9993145759672065
exact,0.1,0,20262001,hcrd_thresholded,z=3.5,4.853729383983096e-06,5.744151533374762e-06
exact,0.1,0,20262001,hcrd_adaptive_guided,pilot-calibrated,0.06585825872279559,0.07794003082996265
exact,0.1,0,20262001,emd_residue,default,0.0019505520989716951,0.0023083830893433767
exact,0.1,0,20262001,vmd_low_mode,K=5;alpha=2000,0.049574285571762945,0.05866874437266571
exact,0.1,0,20262001,l1_trend_oracle,lambda=300,0.06805809274016388,0.0805434268877928
exact,0.1,0,20262001,gaussian_oracle,sigma=32,0.044672440803192534,0.05286765063293965
variable,0.0,0,120261001,hcrd_centered,none,0.018731705663777222,0.01973592848430819
variable,0.0,0,120261001,hcrd_thresholded,z=3.5,0.07065160627458682,0.07443929953656829
variable,0.0,0,120261001,hcrd_adaptive_guided,pilot-calibrated,0.03832954246180161,0.040384422136485236
variable,0.0,0,120261001,emd_residue,default,0.053705589416693136,0.05658479216791949
variable,0.0,0,120261001,vmd_low_mode,K=5;alpha=2000,0.04913080965473584,0.05176475453578625
variable,0.0,0,120261001,l1_trend_oracle,lambda=300,0.059636801751660314,0.06283398188770682
variable,0.0,0,120261001,gaussian_oracle,sigma=32,0.05244127372956537,0.05525269543147574
variable,0.03,0,120261301,hcrd_centered,none,0.9780605604955757,0.8812736618225786
variable,0.03,0,120261301,hcrd_thresholded,z=3.5,0.363765544162117,0.32776804023893763
variable,0.03,0,120261301,hcrd_adaptive_guided,pilot-calibrated,0.0470046235573134,0.04235314089748822
variable,0.03,0,120261301,emd_residue,default,0.14516166749812037,0.13079676191781053
variable,0.03,0,120261301,vmd_low_mode,K=5;alpha=2000,0.06592051065601418,0.05939714999407004
variable,0.03,0,120261301,l1_trend_oracle,lambda=300,0.06241471614615215,0.05623828183181827
variable,0.03,0,120261301,gaussian_oracle,sigma=32,0.06269596850002193,0.05649170202050827
variable,0.1,0,120262001,hcrd_centered,none,0.9714616658082037,0.8669026916569753
variable,0.1,0,120262001,hcrd_thresholded,z=3.5,0.1824291686313163,0.16279421297767985
variable,0.1,0,120262001,hcrd_adaptive_guided,pilot-calibrated,0.09501716009958729,0.08479040886848176
variable,0.1,0,120262001,emd_residue,default,0.06731820315980241,0.06007270649037173
variable,0.1,0,120262001,vmd_low_mode,K=5;alpha=2000,0.07204855822482217,0.06429393073697875
variable,0.1,0,120262001,l1_trend_oracle,lambda=300,0.10423111941626058,0.09301266447935723
variable,0.1,0,120262001,gaussian_oracle,sigma=64,0.06745047987461428,0.06019074618678996
