case,trial,method,baseline_mse,detail_correlation,endpoint_error
weak_oscillation_strong_curvature,0,hcrd_raw,8.516699155171713,0.0003334691188567482,
weak_oscillation_strong_curvature,0,hcrd_thresholded,8.516699155171713,0.0003334691188567482,
weak_oscillation_strong_curvature,0,hcrd_adaptive_guided,7.950724146904392,0.0005349937789846395,
weak_oscillation_strong_curvature,0,gaussian_oracle,2.218753243147305e-06,0.008342307599937081,
endpoint_outlier,0,hcrd_raw,0.021265251140989653,,1.8255589460966786
endpoint_outlier,0,hcrd_thresholded,1.1130581926370866,,1.8255589460966786
endpoint_outlier,0,hcrd_adaptive_guided,0.03511160381338432,,0.7057392911283321
endpoint_outlier,0,gaussian_oracle,0.002485907271690409,,0.16487966260403653
irregular_grid_affine_plus_sine,0,hcrd_raw,0.0008607034783326514,0.9991601779516409,
weak_oscillation_strong_curvature,1,hcrd_raw,8.516699155171713,0.00038275682799932995,
weak_oscillation_strong_curvature,1,hcrd_thresholded,8.516699155171713,0.00038275682799932995,
weak_oscillation_strong_curvature,1,hcrd_adaptive_guided,7.950756060926915,0.0005806930350658751,
weak_oscillation_strong_curvature,1,gaussian_oracle,2.267417261154436e-06,0.009323467367517949,
endpoint_outlier,1,hcrd_raw,0.17302957179428105,,1.9950955238964867
endpoint_outlier,1,hcrd_thresholded,1.3293934600774946,,1.9950955238964867
endpoint_outlier,1,hcrd_adaptive_guided,0.017103247301934733,,0.3956722866968998
endpoint_outlier,1,gaussian_oracle,0.010876166628812587,,0.14018907298649758
irregular_grid_affine_plus_sine,1,hcrd_raw,0.0008348230512049438,0.9992250813473686,
weak_oscillation_strong_curvature,2,hcrd_raw,8.516699155171713,0.0007528027177029266,
weak_oscillation_strong_curvature,2,hcrd_thresholded,8.516699155171713,0.0007528027177029266,
weak_oscillation_strong_curvature,2,hcrd_adaptive_guided,7.951005533262805,0.0009444942831974257,
weak_oscillation_strong_curvature,2,gaussian_oracle,2.832782783467377e-06,0.018549669627267902,
endpoint_outlier,2,hcrd_raw,0.28026443122428824,,2.5391451027531087
endpoint_outlier,2,hcrd_thresholded,2.1532833844429713,,2.5391451027531087
endpoint_outlier,2,hcrd_adaptive_guided,0.02185284304058691,,0.5171501396384008
endpoint_outlier,2,gaussian_oracle,0.008980230833054671,,0.3016647655569513
irregular_grid_affine_plus_sine,2,hcrd_raw,0.0009054971732045261,0.9991452921340781,
weak_oscillation_strong_curvature,3,hcrd_raw,8.516699155171713,0.0007889024026646469,
weak_oscillation_strong_curvature,3,hcrd_thresholded,8.516699155171713,0.0007889024026646469,
