cell,signal,design,variance_profile,n,method,kappa,coverage,mean_width,median_width,empty_count,unexplained_empty_count,joint_contrast_coverage,scale_coverage,mean_scale_ratio_to_true_max
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,oracle_variances,1.0,0.97,0.16864732074312908,0.17365269461077842,5,0,0.945,1.0,1.0
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,unknown_heteroskedastic,1.0,1.0,0.19928143712574845,0.2055888223552894,0,0,0.99,1.0,1.174112252905114
paper_f1_cusp__uniform__linear__n500,paper_f1_cusp,uniform,linear,500,oracle_variances,1.6474051896207582,0.98,0.14751208243411654,0.15768463073852296,3,0,0.955,1.0,1.0
paper_f1_cusp__uniform__linear__n500,paper_f1_cusp,uniform,linear,500,unknown_heteroskedastic,1.6474051896207582,1.0,0.2550099800399201,0.25349301397205587,0,0,1.0,1.0,1.2436042453624463
paper_f1_cusp__uniform__plume_peak__n500,paper_f1_cusp,uniform,plume_peak,500,oracle_variances,3.588015608535772,0.98,0.09268772100469114,0.09381237524950103,3,0,0.955,1.0,1.0
paper_f1_cusp__uniform__plume_peak__n500,paper_f1_cusp,uniform,plume_peak,500,unknown_heteroskedastic,3.588015608535772,1.0,0.4610778443113773,0.4131736526946108,0,0,1.0,1.0,1.4260780591259976
paper_f2_onset__uniform__constant__n500,paper_f2_onset,uniform,constant,500,oracle_variances,1.0,0.985,0.7184630738522952,0.7325349301397206,0,0,0.97,1.0,1.0
paper_f2_onset__uniform__constant__n500,paper_f2_onset,uniform,constant,500,unknown_heteroskedastic,1.0,0.995,0.771317365269461,0.7644710578842315,0,0,0.995,1.0,1.1742757715573378
paper_f2_onset__uniform__linear__n500,paper_f2_onset,uniform,linear,500,oracle_variances,1.6474051896207582,0.975,0.7085525917861246,0.7005988023952096,2,0,0.955,1.0,1.0
paper_f2_onset__uniform__linear__n500,paper_f2_onset,uniform,linear,500,unknown_heteroskedastic,1.6474051896207582,1.0,0.8970658682634729,0.9321357285429142,0,0,1.0,1.0,1.2442634543083224
paper_f2_onset__uniform__plume_peak__n500,paper_f2_onset,uniform,plume_peak,500,oracle_variances,3.588015608535772,0.97,0.7469707050545373,0.7644710578842315,2,0,0.95,1.0,1.0
paper_f2_onset__uniform__plume_peak__n500,paper_f2_onset,uniform,plume_peak,500,unknown_heteroskedastic,3.588015608535772,1.0,0.9964071856287425,0.998003992015968,0,0,1.0,1.0,1.4216754118337669
paper_f3_jump__uniform__constant__n500,paper_f3_jump,uniform,constant,500,oracle_variances,1.0,0.97,0.01130728234253147,0.009980039920159722,6,0,0.93,1.0,1.0
paper_f3_jump__uniform__constant__n500,paper_f3_jump,uniform,constant,500,unknown_heteroskedastic,1.0,1.0,0.01597804391217568,0.013972055888223589,0,0,1.0,1.0,1.1686167377250822
paper_f3_jump__uniform__linear__n500,paper_f3_jump,uniform,linear,500,oracle_variances,1.6474051896207582,0.965,0.007787533740808583,0.005988023952095856,7,0,0.955,1.0,1.0
paper_f3_jump__uniform__linear__n500,paper_f3_jump,uniform,linear,500,unknown_heteroskedastic,1.6474051896207582,1.0,0.04659680638722555,0.053892215568862256,0,0,1.0,1.0,1.234179366577655
paper_f3_jump__uniform__plume_peak__n500,paper_f3_jump,uniform,plume_peak,500,oracle_variances,3.588015608535772,0.995,0.0059880239520958565,0.005988023952095856,1,0,0.975,1.0,1.0
paper_f3_jump__uniform__plume_peak__n500,paper_f3_jump,uniform,plume_peak,500,unknown_heteroskedastic,3.588015608535772,1.0,0.16886227544910176,0.17365269461077842,0,0,1.0,1.0,1.4279401754158882
paper_f4_logistic__uniform__constant__n500,paper_f4_logistic,uniform,constant,500,oracle_variances,1.0,0.97,0.9738922155688623,1.0,0,0,0.96,1.0,1.0
paper_f4_logistic__uniform__constant__n500,paper_f4_logistic,uniform,constant,500,unknown_heteroskedastic,1.0,1.0,0.9994211576846307,1.0,0,0,1.0,1.0,1.172190124085751
paper_f4_logistic__uniform__linear__n500,paper_f4_logistic,uniform,linear,500,oracle_variances,1.6474051896207582,0.985,0.9825049900199601,1.0,0,0,0.975,1.0,1.0
paper_f4_logistic__uniform__linear__n500,paper_f4_logistic,uniform,linear,500,unknown_heteroskedastic,1.6474051896207582,1.0,1.0,1.0,0,0,1.0,1.0,1.2464046219095615
paper_f4_logistic__uniform__plume_peak__n500,paper_f4_logistic,uniform,plume_peak,500,oracle_variances,3.588015608535772,0.99,0.985748502994012,1.0,0,0,0.955,1.0,1.0
paper_f4_logistic__uniform__plume_peak__n500,paper_f4_logistic,uniform,plume_peak,500,unknown_heteroskedastic,3.588015608535772,1.0,1.0,1.0,0,0,1.0,1.0,1.4256556960077484
paper_f1_cusp__beta_4_8__constant__n500,paper_f1_cusp,beta_4_8,constant,500,oracle_variances,1.0,0.985,0.09535774776897543,0.08774231249826636,2,0,0.97,1.0,1.0
paper_f1_cusp__beta_4_8__constant__n500,paper_f1_cusp,beta_4_8,constant,500,unknown_heteroskedastic,1.0,1.0,0.11741500264753622,0.12358188016936544,0,0,1.0,0.995,1.1733658339934463
paper_f1_cusp__beta_4_8__linear__n500,paper_f1_cusp,beta_4_8,linear,500,oracle_variances,1.6605267461488853,0.98,0.09231874759893077,0.08774231249826636,4,0,0.965,1.0,1.0
paper_f1_cusp__beta_4_8__linear__n500,paper_f1_cusp,beta_4_8,linear,500,unknown_heteroskedastic,1.6605267461488853,1.0,0.16490280403973614,0.15980185423812054,0,0,1.0,1.0,1.2373489540483948
paper_f1_cusp__beta_4_8__plume_peak__n500,paper_f1_cusp,beta_4_8,plume_peak,500,oracle_variances,4.378688300458551,0.99,0.06034764413969429,0.06514966239361131,1,0,0.97,1.0,1.0
