cell,signal,design,variance_profile,n,trial,method,kappa,target_left,target_right,confidence_left,confidence_right,confidence_width,covers_target,empty,joint_contrast_coverage,unexplained_empty,scale_upper,scale_ratio_to_true_max,scale_covers
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,0,oracle_variances,1.0,0.3,0.3,0.24151696606786427,0.3592814371257485,0.11776447105788423,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,0,unknown_heteroskedastic,1.0,0.3,0.3,0.24151696606786427,0.36726546906187624,0.12574850299401197,True,False,True,False,0.10733798119436824,1.0733798119436824,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,1,oracle_variances,1.0,0.3,0.3,0.24151696606786427,0.35129740518962077,0.1097804391217565,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,1,unknown_heteroskedastic,1.0,0.3,0.3,0.24151696606786427,0.4151696606786427,0.17365269461077842,True,False,True,False,0.12025958269023401,1.20259582690234,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,2,oracle_variances,1.0,0.3,0.3,0.20958083832335328,0.3992015968063872,0.18962075848303395,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,2,unknown_heteroskedastic,1.0,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,True,False,True,False,0.1197510140723077,1.197510140723077,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,3,oracle_variances,1.0,0.3,0.3,0.22554890219560877,0.4151696606786427,0.18962075848303392,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,3,unknown_heteroskedastic,1.0,0.3,0.3,0.1936127744510978,0.4151696606786427,0.22155688622754488,True,False,True,False,0.11579954649842433,1.1579954649842432,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,4,oracle_variances,1.0,0.3,0.3,0.22554890219560877,0.3992015968063872,0.17365269461077845,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,4,unknown_heteroskedastic,1.0,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,True,False,True,False,0.11170669819638943,1.117066981963894,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,5,oracle_variances,1.0,0.3,0.3,0.24151696606786427,0.3992015968063872,0.15768463073852296,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,5,unknown_heteroskedastic,1.0,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,True,False,True,False,0.12350640450025088,1.2350640450025088,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,6,oracle_variances,1.0,0.3,0.3,0.24151696606786427,0.4151696606786427,0.17365269461077842,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,6,unknown_heteroskedastic,1.0,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,True,False,True,False,0.11831107544580029,1.1831107544580028,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,7,oracle_variances,1.0,0.3,0.3,0.25748502994011974,0.33532934131736525,0.07784431137724551,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,7,unknown_heteroskedastic,1.0,0.3,0.3,0.25748502994011974,0.4151696606786427,0.15768463073852296,True,False,True,False,0.10667624616888124,1.0667624616888123,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,8,oracle_variances,1.0,0.3,0.3,0.24151696606786427,0.3992015968063872,0.15768463073852296,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,8,unknown_heteroskedastic,1.0,0.3,0.3,0.22554890219560877,0.4151696606786427,0.18962075848303392,True,False,True,False,0.11882659050925073,1.1882659050925073,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,9,oracle_variances,1.0,0.3,0.3,0.20958083832335328,0.3992015968063872,0.18962075848303395,True,False,True,False,0.1,1.0,True
