"cell","trial","bootstrap_seed","bootstrap_loops","sshaped_status","sshaped_inflection","sshaped_rss","sshaped_runtime_seconds","shapechange_status","shapechange_inflection","shapechange_left","shapechange_right","shapechange_runtime_seconds"
"paper_f1_cusp__uniform__n500",3,308622788,1000,"ok",0.29940119760479,4.83440347947361,0.12,"ok",0.313367248805665,0.30937214356545,0.316176191496792,2.24
"paper_f1_cusp__uniform__n500",7,449068737,1000,"ok",0.285429141716567,4.78231976213075,0.22,"ok",0.311848111942506,0.308137601613005,0.315098920555101,2.64
"paper_f1_cusp__uniform__n500",11,1275539348,1000,"ok",0.305389221556886,4.76441347605636,0.17,"ok",0.312561525041239,0.308585738023212,0.315800797137714,2.51
"paper_f1_cusp__uniform__n500",15,1822314779,1000,"ok",0.313373253493014,4.46599124170535,0.18,"ok",0.309345616951712,0.306466346258482,0.312944172988239,2.25
"paper_f1_cusp__uniform__n500",19,1679367153,1000,"ok",0.30938123752495,4.76089619513984,0.210000000000001,"ok",0.311497399302245,0.308026157379393,0.315412043095859,2.8
"paper_f1_cusp__uniform__n500",23,648212674,1000,"ok",0.29940119760479,4.30974177926863,0.19,"ok",0.314387571770253,0.310015593016978,0.317156639717496,2.34
"paper_f1_cusp__uniform__n500",27,23697846,1000,"ok",0.301397205588822,4.7548679550983,0.190000000000001,"ok",0.311734176748429,0.308296912964274,0.315460501334243,2.58
"paper_f1_cusp__uniform__n500",31,805167115,1000,"ok",0.305389221556886,4.60565577225571,0.170000000000002,"ok",0.312946614194375,0.309702848154522,0.31711164728551,2.58
"paper_f1_cusp__uniform__n500",35,100826735,1000,"ok",0.301397205588822,4.82906909874881,0.190000000000001,"ok",0.31206352840717,0.308455173377062,0.315553580308804,2.79
"paper_f1_cusp__uniform__n500",39,2045933103,1000,"ok",0.301397205588822,4.85541615501322,0.16,"ok",0.313805757643264,0.310155569318732,0.318278936370726,2.53
"paper_f1_cusp__uniform__n500",43,40811851,1000,"ok",0.301397205588822,5.1101503368539,0.190000000000001,"ok",0.310708323339849,0.307661712103536,0.314832724305508,2.79
"paper_f1_cusp__uniform__n500",47,223396599,1000,"ok",0.301397205588822,4.28470748411375,0.189999999999998,"ok",0.31452789119298,0.310607519331723,0.317158401811038,3
