cell,signal,design,n,trial,target_left,target_right,hct_left,hct_right,hct_width,hct_empty,hct_covers_target,hct_nontrivial,joint_contrast_coverage,unexplained_empty,positive_contrast_count,negative_contrast_count,hct_runtime_seconds
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,0,0.3,0.3,0.281437125748503,0.33532934131736525,0.053892215568862256,False,True,True,True,False,20,29,0.0012747999862767756
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,1,0.3,0.3,0.22554890219560877,0.4151696606786427,0.18962075848303392,False,True,True,False,False,18,23,0.0007062000222504139
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,2,0.3,0.3,0.22554890219560877,0.4151696606786427,0.18962075848303392,False,True,True,True,False,17,25,0.0006904999609105289
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,3,0.3,0.3,0.20958083832335328,0.3992015968063872,0.18962075848303395,False,True,True,True,False,17,25,0.0005746000097133219
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,4,0.3,0.3,0.25748502994011974,0.3992015968063872,0.1417165668662675,False,True,True,True,False,19,27,0.0006099999882280827
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,5,0.3,0.3,0.20958083832335328,0.38323353293413176,0.17365269461077848,False,True,True,True,False,16,27,0.0005248000379651785
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,6,0.3,0.3,0.24151696606786427,0.3992015968063872,0.15768463073852296,False,True,True,True,False,16,23,0.0005319999763742089
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,7,0.3,0.3,0.24151696606786427,0.4151696606786427,0.17365269461077842,False,True,True,True,False,16,23,0.000568999967072159
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,8,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,False,True,True,True,False,16,24,0.0005762000218965113
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,9,0.3,0.3,0.24151696606786427,0.35129740518962077,0.1097804391217565,False,True,True,True,False,19,27,0.0006059000152163208
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,10,0.3,0.3,0.22554890219560877,0.36726546906187624,0.14171656686626746,False,True,True,True,False,17,26,0.0005296000163070858
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,11,0.3,0.3,0.249500998003992,0.35129740518962077,0.10179640718562877,False,True,True,True,False,18,25,0.0005883999983780086
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,12,0.3,0.3,0.22554890219560877,0.3992015968063872,0.17365269461077845,False,True,True,True,False,17,25,0.0006222999654710293
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,13,0.3,0.3,0.20958083832335328,0.3992015968063872,0.18962075848303395,False,True,True,True,False,17,22,0.0005359000060707331
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,14,0.3,0.3,0.249500998003992,0.35129740518962077,0.10179640718562877,False,True,True,True,False,19,25,0.0005065000150352716
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,15,0.3,0.3,0.24151696606786427,0.4151696606786427,0.17365269461077842,False,True,True,True,False,18,26,0.0005992000224068761
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,16,0.3,0.3,0.249500998003992,0.35129740518962077,0.10179640718562877,False,True,True,True,False,19,25,0.0005599000141955912
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,17,0.3,0.3,0.20958083832335328,0.38323353293413176,0.17365269461077848,False,True,True,True,False,15,28,0.0007107999990694225
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,18,0.3,0.3,0.20958083832335328,0.3592814371257485,0.14970059880239522,False,True,True,True,False,16,26,0.0007190000033006072
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,19,0.3,0.3,0.22554890219560877,0.38323353293413176,0.15768463073852299,False,True,True,True,False,17,25,0.0005456999642774463
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,20,0.3,0.3,0.24151696606786427,0.3992015968063872,0.15768463073852296,False,True,True,True,False,18,24,0.000500100024510175
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,21,0.3,0.3,0.24151696606786427,0.4151696606786427,0.17365269461077842,False,True,True,True,False,18,24,0.0005419999943114817
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,22,0.3,0.3,0.22554890219560877,0.38323353293413176,0.15768463073852299,False,True,True,True,False,17,25,0.0005966999451629817
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,23,0.3,0.3,0.22554890219560877,0.4151696606786427,0.18962075848303392,False,True,True,True,False,18,25,0.0005490999901667237
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,24,0.3,0.3,0.20958083832335328,0.3992015968063872,0.18962075848303395,False,True,True,True,False,15,23,0.00045779999345541
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,25,0.3,0.3,0.20958083832335328,0.3992015968063872,0.18962075848303395,False,True,True,True,False,16,24,0.0004886999959126115
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,26,0.3,0.3,0.20958083832335328,0.3992015968063872,0.18962075848303395,False,True,True,True,False,16,28,0.0005021999822929502
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,27,0.3,0.3,0.249500998003992,0.3992015968063872,0.14970059880239522,False,True,True,True,False,16,24,0.0004915999597869813
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,28,0.3,0.3,0.24151696606786427,0.4151696606786427,0.17365269461077842,False,True,True,True,False,17,25,0.00061629997799173
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,29,0.3,0.3,0.25748502994011974,0.4151696606786427,0.15768463073852296,False,True,True,False,False,20,25,0.0005654999986290932
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,30,0.3,0.3,0.249500998003992,0.38323353293413176,0.13373253493013976,False,True,True,True,False,19,25,0.0005572999943979084
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,31,0.3,0.3,0.24151696606786427,0.35129740518962077,0.1097804391217565,False,True,True,True,False,18,26,0.0004881999921053648
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,32,0.3,0.3,0.22554890219560877,0.3992015968063872,0.17365269461077845,False,True,True,True,False,15,25,0.000546499970369041
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,33,0.3,0.3,0.22554890219560877,0.38323353293413176,0.15768463073852299,False,True,True,True,False,15,23,0.0005031999899074435
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,34,0.3,0.3,0.24151696606786427,0.4151696606786427,0.17365269461077842,False,True,True,True,False,18,22,0.0005117999971844256
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,35,0.3,0.3,0.24151696606786427,0.4151696606786427,0.17365269461077842,False,True,True,True,False,18,23,0.0006659000064246356
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,36,0.3,0.3,0.1936127744510978,0.4151696606786427,0.22155688622754488,False,True,True,True,False,16,23,0.0010273000225424767
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,37,0.3,0.3,0.22554890219560877,0.3992015968063872,0.17365269461077845,False,True,True,True,False,18,25,0.0005582000012509525
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,38,0.3,0.3,0.25748502994011974,0.36726546906187624,0.1097804391217565,False,True,True,True,False,19,28,0.0005139999557286501
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,39,0.3,0.3,0.22554890219560877,0.3992015968063872,0.17365269461077845,False,True,True,True,False,19,27,0.00046989996917545795
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,40,0.3,0.3,0.24151696606786427,0.3992015968063872,0.15768463073852296,False,True,True,True,False,16,25,0.0004768000217154622
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,41,0.3,0.3,0.24151696606786427,0.4151696606786427,0.17365269461077842,False,True,True,True,False,16,23,0.0004194999928586185
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,42,0.3,0.3,0.23353293413173654,0.3992015968063872,0.1656686626746507,False,True,True,True,False,17,25,0.0004689999623224139
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,43,0.3,0.3,0.25748502994011974,0.38323353293413176,0.12574850299401202,False,True,True,True,False,19,30,0.0005040999967604876
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,44,0.3,0.3,0.1936127744510978,0.4151696606786427,0.22155688622754488,False,True,True,True,False,15,25,0.0005545999738387764
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,45,0.3,0.3,0.22554890219560877,0.029940119760479042,nan,True,False,False,False,False,14,25,0.0004459000192582607
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,46,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,False,True,True,True,False,16,24,0.00047090003499761224
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,47,0.3,0.3,0.20958083832335328,0.3992015968063872,0.18962075848303395,False,True,True,True,False,15,27,0.0004632999771274626
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,48,0.3,0.3,0.22554890219560877,0.3992015968063872,0.17365269461077845,False,True,True,True,False,17,25,0.00048069999320432544
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,49,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,False,True,True,True,False,17,24,0.0005292000132612884
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,50,0.3,0.3,0.22554890219560877,0.3992015968063872,0.17365269461077845,False,True,True,True,False,16,24,0.0006703000399284065
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,51,0.3,0.3,0.20958083832335328,0.3992015968063872,0.18962075848303395,False,True,True,True,False,16,26,0.0005739000043831766
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,52,0.3,0.3,0.20958083832335328,0.3992015968063872,0.18962075848303395,False,True,True,False,False,17,27,0.0004831000114791095
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,53,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,False,True,True,True,False,15,24,0.000508100027218461
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,54,0.3,0.3,0.249500998003992,0.3992015968063872,0.14970059880239522,False,True,True,True,False,18,27,0.0006708999862894416
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,55,0.3,0.3,0.20958083832335328,0.3992015968063872,0.18962075848303395,False,True,True,True,False,16,28,0.0006958000012673438
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,56,0.3,0.3,0.25748502994011974,0.35129740518962077,0.09381237524950103,False,True,True,True,False,19,25,0.0005213000113144517
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,57,0.3,0.3,0.249500998003992,0.3992015968063872,0.14970059880239522,False,True,True,True,False,19,24,0.0004802999901585281
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,58,0.3,0.3,0.20958083832335328,0.3992015968063872,0.18962075848303395,False,True,True,True,False,16,25,0.0004724999889731407
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,59,0.3,0.3,0.22554890219560877,0.3992015968063872,0.17365269461077845,False,True,True,True,False,17,26,0.00046419998398050666
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,60,0.3,0.3,0.20958083832335328,0.3992015968063872,0.18962075848303395,False,True,True,True,False,16,24,0.00044239999260753393
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,61,0.3,0.3,0.24151696606786427,0.36726546906187624,0.12574850299401197,False,True,True,True,False,16,26,0.0004362999461591244
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,62,0.3,0.3,0.24151696606786427,0.4151696606786427,0.17365269461077842,False,True,True,True,False,17,23,0.0004340999876148999
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,63,0.3,0.3,0.8363273453093812,0.36726546906187624,nan,True,False,False,False,False,18,28,0.0004922999651171267
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,64,0.3,0.3,0.1936127744510978,0.36726546906187624,0.17365269461077842,False,True,True,True,False,15,23,0.0006173999863676727
