cell,signal,design,n,trials,hct_coverage,hct_coverage_wilson_low,hct_coverage_wilson_high,hct_mean_width,hct_median_width,hct_nontrivial_probability,hct_empty_probability,joint_contrast_coverage,unexplained_empty_count,mean_hct_runtime_seconds,sshaped_success_probability,sshaped_mean_root_error,sshaped_median_root_error,projected_mean_root_error,projected_median_root_error,mean_projection_error_change,covered_projection_increase_count,shapechange_success_probability,shapechange_coverage,shapechange_coverage_wilson_low,shapechange_coverage_wilson_high,shapechange_mean_width,shapechange_median_width,shapechange_mean_root_error,coverage_difference_hct_minus_shapechange,paired_hct_only_coverage,paired_shapechange_only_coverage,paired_exact_p_value,mean_sshaped_runtime_seconds,mean_shapechange_runtime_seconds
control_affine__beta_4_8__n1000,control_affine,beta_4_8,1000,200,0.965,0.9295293884777092,0.9829444579914328,0.9826688531105924,1.0,0.035,0.0,0.965,0,0.001424004000145942,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan
control_affine__beta_4_8__n500,control_affine,beta_4_8,500,200,0.955,0.9167032959981803,0.976147456998507,0.9771189491089954,1.0,0.045,0.0,0.955,0,0.0007241509991581552,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan
control_affine__uniform__n1000,control_affine,uniform,1000,200,0.94,0.8980683070423372,0.9653478057456681,0.9731868131868131,1.0,0.06,0.0,0.94,0,0.0014836889982689171,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan
control_affine__uniform__n500,control_affine,uniform,500,200,0.935,0.8919809207009312,0.961623645350847,0.9693612774451097,1.0,0.065,0.0,0.935,0,0.0007935999977053143,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan
control_concave__beta_4_8__n1000,control_concave,beta_4_8,1000,200,0.98,0.9497129130941735,0.9921955735836505,0.9189332476273597,1.0,0.215,0.0,0.96,0,0.001344136502011679,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan
control_concave__beta_4_8__n500,control_concave,beta_4_8,500,200,0.985,0.9568342712073097,0.9948857622067417,0.9707964645667366,1.0,0.07,0.0,0.965,0,0.0007474800013005734,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan
control_concave__uniform__n1000,control_concave,uniform,1000,200,0.98,0.9497129130941735,0.9921955735836505,0.5520976485443492,0.5754245754245755,0.985,0.015,0.97,0,0.0014637354973820037,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan
control_concave__uniform__n500,control_concave,uniform,500,200,0.98,0.9497129130941735,0.9921955735836505,0.5638323353293413,0.5748502994011976,1.0,0.0,0.975,0,0.0006046894981409423,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan
control_convex__beta_4_8__n1000,control_convex,beta_4_8,1000,200,0.995,0.9722262956021069,0.9991168312843989,0.9446017218828797,1.0,0.255,0.0,0.98,0,0.0014058050006860868,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan
control_convex__beta_4_8__n500,control_convex,beta_4_8,500,200,0.98,0.9497129130941735,0.9921955735836505,0.963633206846517,1.0,0.085,0.0,0.96,0,0.0007006980004371144,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan
control_convex__uniform__n1000,control_convex,uniform,1000,200,0.975,0.942821659593358,0.9892752803482386,0.547736527431959,0.5754245754245755,0.985,0.015,0.965,0,0.0014922409984865226,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan
control_convex__uniform__n500,control_convex,uniform,500,200,0.95,0.9104218518612239,0.972617354399236,0.5576398223960244,0.5748502994011976,0.98,0.02,0.94,0,0.0007615310003166087,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan
paper_f1_cusp__beta_4_8__n1000,paper_f1_cusp,beta_4_8,1000,200,0.965,0.9295293884777092,0.9829444579914328,0.07060476163258671,0.07117608785083024,0.97,0.03,0.955,0,0.0016102220004540868,1.0,0.0016660664436066275,0.0010659918995419848,0.001710943650022804,0.0010659918995419848,7.019088831301568e-06,0,1.0,0.875,0.8219857499741765,0.9138802552428735,0.018769759112989563,0.018625688198301987,0.00449898685221852,0.09,24,6,0.0014309063553810122,0.6542000000000052,3.174349999999986
paper_f1_cusp__beta_4_8__n500,paper_f1_cusp,beta_4_8,500,200,0.975,0.942821659593358,0.9892752803482386,0.09373932093155832,0.08774231249826636,0.985,0.015,0.95,0,0.0006965689978096634,1.0,0.0022201479701630714,0.0015986381215170042,0.0024545578150555465,0.0015986381215170042,0.00025705495876927117,0,1.0,0.83,0.7718411637168737,0.8757209208741302,0.0318270574774943,0.03255112217026354,0.00802384221469011,0.145,33,4,1.0843941709026694e-06,0.24754999999999427,3.432950000000004
paper_f1_cusp__uniform__n1000,paper_f1_cusp,uniform,1000,200,0.985,0.9568342712073097,0.9948857622067417,0.11959106882964751,0.11088911088911088,0.985,0.015,0.955,0,0.0014923250011634082,1.0,0.0022997002997004155,0.001298701298700966,0.0023261002956435585,0.001698301698301985,0.0,0,1.0,0.0,1.734723475976807e-18,0.018845326377266575,0.005066926210575239,0.005081709384790023,0.010999810101617848,0.985,197,0,9.956824444577827e-60,0.7869000000000074,4.087699999999993
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,200,0.985,0.9568342712073097,0.9948857622067417,0.16758402387144902,0.17365269461077842,0.99,0.01,0.955,0,0.0005582989982212894,1.0,0.00366467065868247,0.002594810379241974,0.003945644065404383,0.002594810379241974,0.0002580697191475652,0,1.0,0.0,1.734723475976807e-18,0.018845326377266575,0.006890423588429741,0.006875346641365493,0.011431685200709515,0.985,197,0,9.956824444577827e-60,0.2562000000000005,3.684599999999999
paper_f2_onset__beta_4_8__n1000,paper_f2_onset,beta_4_8,1000,200,0.99,0.9642782382838231,0.9972533418664555,0.7707964893601026,0.7862684058123803,1.0,0.0,0.985,0,0.0016493960010120646,1.0,0.08207853421817489,0.06409096302919151,0.08211228949760191,0.06539613981005898,3.3755279427023916e-05,0,1.0,0.0,1.734723475976807e-18,0.018845326377266575,0.026865904404134965,0.02554134720034651,0.1269051930947881,0.99,198,0,4.9784122222889134e-60,0.49329999999999474,3.2986500000000047
paper_f2_onset__beta_4_8__n500,paper_f2_onset,beta_4_8,500,200,0.985,0.9568342712073097,0.9948857622067417,0.7945898489308715,0.8148959245379948,0.995,0.005,0.975,0,0.0009820304994354956,1.0,0.09715458946635085,0.07348844220416101,0.0968183388670607,0.07233937002984203,7.820615774217009e-05,0,1.0,0.0,1.734723475976807e-18,0.018845326377266575,0.057723726959250925,0.049831062649901,0.12234877083323792,0.985,197,0,9.956824444577827e-60,0.23345000000000313,4.329299999999995
paper_f2_onset__uniform__n1000,paper_f2_onset,uniform,1000,200,0.985,0.9568342712073097,0.9948857622067417,0.663896103896104,0.6703296703296704,1.0,0.0,0.965,0,0.0015631054970435799,1.0,0.09816683316683349,0.08311688311688353,0.10087212787212821,0.08511488511488552,0.0027052947052947,0,1.0,0.0,1.734723475976807e-18,0.018845326377266575,0.014871104865535126,0.014104675131211442,0.2069861669906801,0.985,197,0,9.956824444577827e-60,0.5266000000000042,3.2122499999999956
