cell,signal,design,n,method,trials,coverage,coverage_wilson_low,coverage_wilson_high,mean_width,median_width,nontrivial_probability,empty_probability,joint_contrast_coverage,unexplained_empty_count,mean_scale_ratio,median_scale_ratio,scale_coverage
control_affine__beta_4_8__n1000,control_affine,beta_4_8,1000,known_sigma,200,0.985,0.9568342712073097,0.9948857622067417,0.9897494796082689,1.0,0.015,0.0,0.985,0,1.0,1.0,1.0
control_affine__beta_4_8__n1000,control_affine,beta_4_8,1000,unknown_block_2,200,1.0,0.9811546736227335,1.0,1.0,1.0,0.0,0.0,1.0,0,1.0807439106640702,1.0797305600636022,0.99
control_affine__beta_4_8__n500,control_affine,beta_4_8,500,known_sigma,200,0.96,0.923067931799067,0.9795943679338476,0.9844433999905178,1.0,0.04,0.0,0.96,0,1.0,1.0,1.0
control_affine__beta_4_8__n500,control_affine,beta_4_8,500,unknown_block_2,200,1.0,0.9811546736227335,1.0,1.0,1.0,0.0,0.0,1.0,0,1.1162429944574195,1.1200031957109127,0.995
control_affine__uniform__n1000,control_affine,uniform,1000,known_sigma,200,0.975,0.942821659593358,0.9892752803482386,0.9871828171828173,1.0,0.025,0.0,0.975,0,1.0,1.0,1.0
control_affine__uniform__n1000,control_affine,uniform,1000,unknown_block_2,200,1.0,0.9811546736227335,1.0,1.0,1.0,0.0,0.0,1.0,0,1.078340404502037,1.0772640145248022,0.995
control_affine__uniform__n500,control_affine,uniform,500,known_sigma,200,0.935,0.8919809207009312,0.961623645350847,0.9660878243512974,1.0,0.065,0.0,0.935,0,1.0,1.0,1.0
control_affine__uniform__n500,control_affine,uniform,500,unknown_block_2,200,0.99,0.9642782382838231,0.9972533418664555,0.991996007984032,1.0,0.01,0.0,0.99,0,1.1112274927769117,1.1084552362110531,0.995
control_concave__beta_4_8__n1000,control_concave,beta_4_8,1000,known_sigma,200,0.995,0.9722262956021069,0.9991168312843989,0.9308671392301682,1.0,0.185,0.0,0.975,0,1.0,1.0,1.0
control_concave__beta_4_8__n1000,control_concave,beta_4_8,1000,unknown_block_2,200,1.0,0.9811546736227335,1.0,0.9663365568308493,1.0,0.09,0.0,0.985,0,1.0749486088308307,1.0757905394238794,0.985
control_concave__beta_4_8__n500,control_concave,beta_4_8,500,known_sigma,200,0.965,0.9295293884777092,0.9829444579914328,0.9646605606139963,1.0,0.09,0.0,0.96,0,1.0,1.0,1.0
control_concave__beta_4_8__n500,control_concave,beta_4_8,500,unknown_block_2,200,0.99,0.9642782382838231,0.9972533418664555,0.988686925034572,1.0,0.03,0.0,0.99,0,1.1171860241878213,1.1151756217262823,0.995
control_concave__uniform__n1000,control_concave,uniform,1000,known_sigma,200,0.99,0.9642782382838231,0.9972533418664555,0.5411824356547975,0.5754245754245755,0.995,0.005,0.945,0,1.0,1.0,1.0
control_concave__uniform__n1000,control_concave,uniform,1000,unknown_block_2,200,0.995,0.9722262956021069,0.9991168312843989,0.5662537462537464,0.5754245754245755,1.0,0.0,0.995,0,1.0784700545390322,1.078570779250145,0.985
control_concave__uniform__n500,control_concave,uniform,500,known_sigma,200,0.99,0.9642782382838231,0.9972533418664555,0.5689826377395962,0.5748502994011976,0.995,0.005,0.97,0,1.0,1.0,1.0
control_concave__uniform__n500,control_concave,uniform,500,unknown_block_2,200,1.0,0.9811546736227335,1.0,0.58187624750499,0.5748502994011976,1.0,0.0,1.0,0,1.1102755190724491,1.110064976600829,0.985
control_convex__beta_4_8__n1000,control_convex,beta_4_8,1000,known_sigma,200,0.985,0.9568342712073097,0.9948857622067417,0.9290880480272175,1.0,0.265,0.0,0.97,0,1.0,1.0,1.0
control_convex__beta_4_8__n1000,control_convex,beta_4_8,1000,unknown_block_2,200,0.995,0.9722262956021069,0.9991168312843989,0.9749378309912493,1.0,0.09,0.0,0.995,0,1.075143196397819,1.0730482377303328,0.98
control_convex__beta_4_8__n500,control_convex,beta_4_8,500,known_sigma,200,0.97,0.9361057075454807,0.9861796856598887,0.9658100112953889,1.0,0.08,0.0,0.95,0,1.0,1.0,1.0
control_convex__beta_4_8__n500,control_convex,beta_4_8,500,unknown_block_2,200,0.99,0.9642782382838231,0.9972533418664555,0.9937294875733663,1.0,0.015,0.0,0.99,0,1.1149181179092542,1.1185798484777578,0.995
control_convex__uniform__n1000,control_convex,uniform,1000,known_sigma,200,0.975,0.942821659593358,0.9892752803482386,0.5391106355573362,0.5754245754245755,0.985,0.015,0.955,0,1.0,1.0,1.0
