fold,direction,source_removed_files,target_removed_files,ap_qscore,ap_hcrd_8_q,delta_hcrd_qscore
0,falkor_to_mesoscope,5,17,0.7773820931280137,0.9004294573959436,0.12304736426792995
0,mesoscope_to_falkor,17,5,0.79959407527486,0.8926470182974936,0.09305294302263356
1,falkor_to_mesoscope,4,17,0.7749175093098188,0.8937212053854053,0.1188036960755865
1,mesoscope_to_falkor,17,4,0.7960960540580553,0.8725233566403396,0.07642730258228436
2,falkor_to_mesoscope,4,17,0.7766593237200836,0.8841501678968909,0.10749084417680732
2,mesoscope_to_falkor,17,4,0.8015515276714036,0.8532985681588474,0.05174704048744383
3,falkor_to_mesoscope,4,17,0.7741863471876215,0.8905467217874837,0.11636037459986226
3,mesoscope_to_falkor,17,4,0.7949350613798662,0.8963254537178545,0.1013903923379883
4,falkor_to_mesoscope,4,17,0.7812233637043418,0.9022138699345469,0.12099050623020513
4,mesoscope_to_falkor,17,4,0.7923063076886199,0.8706647009109331,0.0783583932223132
5,falkor_to_mesoscope,4,17,0.7802261476868523,0.8993361369622026,0.11910998927535033
5,mesoscope_to_falkor,17,4,0.8057817108474672,0.9031105653036057,0.09732885445613848
6,falkor_to_mesoscope,4,17,0.774789372355788,0.8777832676888374,0.10299389533304937
6,mesoscope_to_falkor,17,4,0.7925186654928119,0.8958221854883116,0.10330351999549969
7,falkor_to_mesoscope,4,17,0.7702172556503497,0.900583238556086,0.1303659829057363
7,mesoscope_to_falkor,17,4,0.7991709286166643,0.8982210379237335,0.09905010930706926
8,falkor_to_mesoscope,4,16,0.779752313430294,0.9194721977320994,0.13971988430180537
8,mesoscope_to_falkor,16,4,0.7983164107863145,0.904070444762246,0.10575403397593142
9,falkor_to_mesoscope,4,16,0.7810703839247782,0.8909780759407014,0.10990769201592321
9,mesoscope_to_falkor,16,4,0.7999956339889581,0.8755052547832275,0.07550962079426937
