suite,method,mean_baseline_mse,median_baseline_mse,mean_detail_mse
nested,asls_oracle,0.11408329829246824,0.10901203652044728,0.11408329829246824
nested,morph_open_oracle,0.1269837873516571,0.11905495789708442,0.1269837873516571
nested,hcrd_l8,0.13686224912650216,0.12661026840075632,0.13686224912650216
nested,gaussian_oracle,0.33050554187618153,0.3261728561517805,0.33050554187618153
nested,savgol_oracle,0.5138615913041581,0.51448659548493,0.5138615913041581
nested,wavelet_oracle,0.5216274838599033,0.5203231968123918,0.5216274838599033
nested,hcrd_l1,0.5310605428751317,0.5306787571083059,0.5310605428751317
single,asls_oracle,0.11257124961568261,0.10610355411324111,0.11257124961568261
single,morph_open_oracle,0.12106613400403791,0.11748126455690373,0.12106613400403791
single,hcrd_l8,0.13686224912650216,0.12661026840075632,0.13686224912650216
single,gaussian_oracle,0.1480129240856269,0.15284698429194632,0.1480129240856269
single,wavelet_oracle,0.16798311453111062,0.16615662229814965,0.16798311453111062
single,savgol_oracle,0.17125676311593535,0.16731563120972628,0.17125676311593535
single,hcrd_l1,0.17893683255478857,0.17497169903883764,0.17893683255478857
