background_id,file,ms1_scan_count,central_start,block_index,affine_deviation_mad,affine_rank_within_run,source_sha256
0,sample1.mzML,1257,112,6,0.02303169986536384,1,ed0daf9f63547fdec75c75824ee9dbdc17f57a295477f41b8145962496b6a141
1,sample1.mzML,1257,112,2,0.059422126919625895,2,ed0daf9f63547fdec75c75824ee9dbdc17f57a295477f41b8145962496b6a141
2,sample1.mzML,1257,112,7,0.07275939979048897,3,ed0daf9f63547fdec75c75824ee9dbdc17f57a295477f41b8145962496b6a141
3,sample2.mzML,1257,112,6,0.04169869151028567,1,ad389285441cb245c5da52cf5aad748b8536aea2d1695d3257f5252d680cc971
4,sample2.mzML,1257,112,1,0.045924241049105925,2,ad389285441cb245c5da52cf5aad748b8536aea2d1695d3257f5252d680cc971
5,sample2.mzML,1257,112,2,0.05327071937979517,3,ad389285441cb245c5da52cf5aad748b8536aea2d1695d3257f5252d680cc971
6,sample3.mzML,1255,111,1,0.0550470958678172,1,d7d51dd1b861834a304fac781cb6a9551c5285f7e18d535ef5962c10e387b392
7,sample3.mzML,1255,111,2,0.05638796726622748,2,d7d51dd1b861834a304fac781cb6a9551c5285f7e18d535ef5962c10e387b392
8,sample3.mzML,1255,111,7,0.11806354478025409,3,d7d51dd1b861834a304fac781cb6a9551c5285f7e18d535ef5962c10e387b392
9,sample4.mzML,1255,111,2,0.0459602156095428,1,881a9bd782fe81c308e63e83a25a6be6ae9a3141a8d0cd1c0dead6b3888ad3d0
10,sample4.mzML,1255,111,1,0.04670258982065717,2,881a9bd782fe81c308e63e83a25a6be6ae9a3141a8d0cd1c0dead6b3888ad3d0
11,sample4.mzML,1255,111,3,0.15058037196787757,3,881a9bd782fe81c308e63e83a25a6be6ae9a3141a8d0cd1c0dead6b3888ad3d0
12,sample5.mzML,1254,111,1,0.056072574437876686,1,14959f25f5d5a7cf463766a1f598efdcd17d0fb06f4d1bf33722aba82f3ad14a
13,sample5.mzML,1254,111,2,0.092769804109832,2,14959f25f5d5a7cf463766a1f598efdcd17d0fb06f4d1bf33722aba82f3ad14a
14,sample5.mzML,1254,111,4,0.18647964519496818,3,14959f25f5d5a7cf463766a1f598efdcd17d0fb06f4d1bf33722aba82f3ad14a
15,sample6.mzML,1257,112,6,0.02794726017108206,1,70075fde3a386437af000414524cce7149f983a87bb632c375cfd3390cfaa779
16,sample6.mzML,1257,112,2,0.03928971654845431,2,70075fde3a386437af000414524cce7149f983a87bb632c375cfd3390cfaa779
17,sample6.mzML,1257,112,7,0.07581571840089742,3,70075fde3a386437af000414524cce7149f983a87bb632c375cfd3390cfaa779
18,sample7.mzML,1257,112,2,0.03390511682983278,1,b7e0ad7e8be5038ebf73be4493fc4a5b0cd90580d2dca92170641d0d32e29bb7
19,sample7.mzML,1257,112,1,0.046579145447441156,2,b7e0ad7e8be5038ebf73be4493fc4a5b0cd90580d2dca92170641d0d32e29bb7
20,sample7.mzML,1257,112,7,0.11226408477987068,3,b7e0ad7e8be5038ebf73be4493fc4a5b0cd90580d2dca92170641d0d32e29bb7
21,sample8.mzML,1257,112,6,0.031424421594501435,1,2f857b2b294a83caf3fffc023941dfc81557439ac2b22280a5c9789577d6e8e8
22,sample8.mzML,1257,112,2,0.04048156586730838,2,2f857b2b294a83caf3fffc023941dfc81557439ac2b22280a5c9789577d6e8e8
23,sample8.mzML,1257,112,7,0.06164479518439821,3,2f857b2b294a83caf3fffc023941dfc81557439ac2b22280a5c9789577d6e8e8
24,sample9.mzML,1254,111,2,0.04816386744502277,1,e8cd9147aa36753327e06771ce11417c155a3fb4eacf4c320b552650d81e7b31
25,sample9.mzML,1254,111,1,0.053669535392244026,2,e8cd9147aa36753327e06771ce11417c155a3fb4eacf4c320b552650d81e7b31
26,sample9.mzML,1254,111,3,0.13655470681697554,3,e8cd9147aa36753327e06771ce11417c155a3fb4eacf4c320b552650d81e7b31
27,sample10.mzML,1257,112,6,0.033733411838545946,1,1040e4253db61096f86880b6c40ec3c2f3f4e06935dc606d3d35476415821251
28,sample10.mzML,1257,112,1,0.043258323273580535,2,1040e4253db61096f86880b6c40ec3c2f3f4e06935dc606d3d35476415821251
29,sample10.mzML,1257,112,2,0.04638466602916854,3,1040e4253db61096f86880b6c40ec3c2f3f4e06935dc606d3d35476415821251
30,sample11.mzML,1257,112,1,0.029728940597911552,1,4385879ec65277c6bd2076366d7db343e26bf9c61c3673a12b67fb368d7ef601
31,sample11.mzML,1257,112,2,0.03102199986019706,2,4385879ec65277c6bd2076366d7db343e26bf9c61c3673a12b67fb368d7ef601
32,sample11.mzML,1257,112,7,0.0847762445671052,3,4385879ec65277c6bd2076366d7db343e26bf9c61c3673a12b67fb368d7ef601
33,sample12.mzML,1257,112,2,0.031593609694564935,1,af3a5537afc510a07186678e500be1604911bf91954f3c0c2f3ce4d7410ffdfc
34,sample12.mzML,1257,112,1,0.0504000647155424,2,af3a5537afc510a07186678e500be1604911bf91954f3c0c2f3ce4d7410ffdfc
35,sample12.mzML,1257,112,3,0.10652756206438027,3,af3a5537afc510a07186678e500be1604911bf91954f3c0c2f3ce4d7410ffdfc
36,sample13.mzML,1255,111,1,0.044507091857754505,1,e94672def62caa5defffb3bae42c1ab0920298ce503a6561fce50bbe719dbf7c
