background_id,file,block_index,suite,injection,method,parameter,baseline_mse,detail_mse
0,sample1.mzML,6,single,32:96:0.35:1,hcrd_l1,level=1,0.19923540088820382,0.19923540088820382
0,sample1.mzML,6,single,32:96:0.35:1,hcrd_l8,depth=6,0.13364467034476,0.13364467034476
0,sample1.mzML,6,single,32:96:0.35:1,gaussian_oracle,sigma=1,0.1674581768370654,0.1674581768370654
0,sample1.mzML,6,single,32:96:0.35:1,savgol_oracle,window=9;poly=3,0.16972054956193,0.16972054956193
0,sample1.mzML,6,single,32:96:0.35:1,morph_open_oracle,size=65,0.13890993829570453,0.1389099382957045
0,sample1.mzML,6,single,32:96:0.35:1,asls_oracle,lambda=1e+06;p=0.05,0.11850008047617273,0.1185000804761727
0,sample1.mzML,6,single,32:96:0.35:1,wavelet_oracle,level=1,0.16618510761292182,0.16618510761292182
0,sample1.mzML,6,nested,16:112:0.35:1.0;40:88:0.65:0.6;56:72:0.5:0.3,hcrd_l1,level=1,0.5505142603915804,0.5505142603915804
0,sample1.mzML,6,nested,16:112:0.35:1.0;40:88:0.65:0.6;56:72:0.5:0.3,hcrd_l8,depth=6,0.13364467034476,0.13364467034476
0,sample1.mzML,6,nested,16:112:0.35:1.0;40:88:0.65:0.6;56:72:0.5:0.3,gaussian_oracle,sigma=32,0.3475973581329947,0.34759735813299464
0,sample1.mzML,6,nested,16:112:0.35:1.0;40:88:0.65:0.6;56:72:0.5:0.3,savgol_oracle,window=97;poly=3,0.48129439385962236,0.48129439385962236
0,sample1.mzML,6,nested,16:112:0.35:1.0;40:88:0.65:0.6;56:72:0.5:0.3,morph_open_oracle,size=97,0.12016914279106418,0.1201691427910642
0,sample1.mzML,6,nested,16:112:0.35:1.0;40:88:0.65:0.6;56:72:0.5:0.3,asls_oracle,lambda=1e+06;p=0.01,0.11544155390453072,0.11544155390453073
0,sample1.mzML,6,nested,16:112:0.35:1.0;40:88:0.65:0.6;56:72:0.5:0.3,wavelet_oracle,level=1,0.5041790476821684,0.5041790476821683
1,sample1.mzML,2,single,32:96:0.5:1,hcrd_l1,level=1,0.18493334641264753,0.18493334641264753
1,sample1.mzML,2,single,32:96:0.5:1,hcrd_l8,depth=6,0.18473549024351116,0.18473549024351116
1,sample1.mzML,2,single,32:96:0.5:1,gaussian_oracle,sigma=1,0.16639869021554382,0.16639869021554382
1,sample1.mzML,2,single,32:96:0.5:1,savgol_oracle,window=9;poly=3,0.1666629593782154,0.1666629593782154
1,sample1.mzML,2,single,32:96:0.5:1,morph_open_oracle,size=65,0.17393313373729877,0.17393313373729877
1,sample1.mzML,2,single,32:96:0.5:1,asls_oracle,lambda=100000;p=0.05,0.16857225176137883,0.16857225176137883
1,sample1.mzML,2,single,32:96:0.5:1,wavelet_oracle,level=1,0.16598484915293385,0.16598484915293382
1,sample1.mzML,2,nested,16:112:0.5:1.0;40:88:0.35:0.6;56:72:0.5:0.3,hcrd_l1,level=1,0.5531481373157544,0.5531481373157544
1,sample1.mzML,2,nested,16:112:0.5:1.0;40:88:0.35:0.6;56:72:0.5:0.3,hcrd_l8,depth=5,0.18473549024351116,0.18473549024351113
