background_id,file,block_index,injection,method,parameter,baseline_mse
0,sample1.mzML,6,16:112:0.35:-1.0;40:88:0.65:0.6;56:72:0.5:-0.3,hcrd_l1,level=1,0.16667642971150137
0,sample1.mzML,6,16:112:0.35:-1.0;40:88:0.65:0.6;56:72:0.5:-0.3,hcrd_l8,depth=6,0.13364467034476
0,sample1.mzML,6,16:112:0.35:-1.0;40:88:0.65:0.6;56:72:0.5:-0.3,gaussian_oracle,sigma=1,0.14879135990125236
0,sample1.mzML,6,16:112:0.35:-1.0;40:88:0.65:0.6;56:72:0.5:-0.3,savgol_oracle,window=9;poly=3,0.1511466410982057
0,sample1.mzML,6,16:112:0.35:-1.0;40:88:0.65:0.6;56:72:0.5:-0.3,median_oracle,size=97,0.1892085269187747
0,sample1.mzML,6,16:112:0.35:-1.0;40:88:0.65:0.6;56:72:0.5:-0.3,symmetric_morph_oracle,size=65,0.10015404141463677
0,sample1.mzML,6,16:112:0.35:-1.0;40:88:0.65:0.6;56:72:0.5:-0.3,signed_asls_oracle,lambda=1000;p=0.95,0.16886748766888654
0,sample1.mzML,6,16:112:0.35:-1.0;40:88:0.65:0.6;56:72:0.5:-0.3,wavelet_oracle,level=1,0.14763687189198596
0,sample1.mzML,6,16:112:0.35:-1.0;40:88:0.65:0.6;56:72:0.5:-0.3,l1_trend_oracle,lambda=0.1,0.14767351934301942
1,sample1.mzML,2,16:112:0.5:-1.0;40:88:0.35:0.6;56:72:0.5:-0.3,hcrd_l1,level=1,0.18354362630019083
1,sample1.mzML,2,16:112:0.5:-1.0;40:88:0.35:0.6;56:72:0.5:-0.3,hcrd_l8,depth=7,0.18473549024351116
1,sample1.mzML,2,16:112:0.5:-1.0;40:88:0.35:0.6;56:72:0.5:-0.3,gaussian_oracle,sigma=1,0.13173751075059173
1,sample1.mzML,2,16:112:0.5:-1.0;40:88:0.35:0.6;56:72:0.5:-0.3,savgol_oracle,window=9;poly=3,0.1320557922918662
1,sample1.mzML,2,16:112:0.5:-1.0;40:88:0.35:0.6;56:72:0.5:-0.3,median_oracle,size=9,0.14686631526326907
1,sample1.mzML,2,16:112:0.5:-1.0;40:88:0.35:0.6;56:72:0.5:-0.3,symmetric_morph_oracle,size=9,0.16769919624080548
1,sample1.mzML,2,16:112:0.5:-1.0;40:88:0.35:0.6;56:72:0.5:-0.3,signed_asls_oracle,lambda=100;p=0.95,0.14059950492740125
1,sample1.mzML,2,16:112:0.5:-1.0;40:88:0.35:0.6;56:72:0.5:-0.3,wavelet_oracle,level=1,0.13158429633288365
1,sample1.mzML,2,16:112:0.5:-1.0;40:88:0.35:0.6;56:72:0.5:-0.3,l1_trend_oracle,lambda=0.3,0.13144561821188355
2,sample1.mzML,7,16:112:0.65:-1.0;40:88:0.35:0.6;56:72:0.5:-0.3,hcrd_l1,level=1,0.19131466652457615
2,sample1.mzML,7,16:112:0.65:-1.0;40:88:0.35:0.6;56:72:0.5:-0.3,hcrd_l8,depth=6,0.1446975125364891
2,sample1.mzML,7,16:112:0.65:-1.0;40:88:0.35:0.6;56:72:0.5:-0.3,gaussian_oracle,sigma=1,0.1546371565722984
2,sample1.mzML,7,16:112:0.65:-1.0;40:88:0.35:0.6;56:72:0.5:-0.3,savgol_oracle,window=9;poly=3,0.1650995053408784
2,sample1.mzML,7,16:112:0.65:-1.0;40:88:0.35:0.6;56:72:0.5:-0.3,median_oracle,size=97,0.20866280928921904
2,sample1.mzML,7,16:112:0.65:-1.0;40:88:0.35:0.6;56:72:0.5:-0.3,symmetric_morph_oracle,size=33,0.11670905323298696
2,sample1.mzML,7,16:112:0.65:-1.0;40:88:0.35:0.6;56:72:0.5:-0.3,signed_asls_oracle,lambda=100;p=0.95,0.11122703921808286
2,sample1.mzML,7,16:112:0.65:-1.0;40:88:0.35:0.6;56:72:0.5:-0.3,wavelet_oracle,level=1,0.14938961257342903
2,sample1.mzML,7,16:112:0.65:-1.0;40:88:0.35:0.6;56:72:0.5:-0.3,l1_trend_oracle,lambda=0.1,0.1510919367861126
3,sample2.mzML,6,16:112:0.65:-1.0;40:88:0.35:0.6;56:72:0.35:-0.3,hcrd_l1,level=1,0.15529642275337693
3,sample2.mzML,6,16:112:0.65:-1.0;40:88:0.35:0.6;56:72:0.35:-0.3,hcrd_l8,depth=5,0.12235800764914026
3,sample2.mzML,6,16:112:0.65:-1.0;40:88:0.35:0.6;56:72:0.35:-0.3,gaussian_oracle,sigma=1,0.1470017202796549
3,sample2.mzML,6,16:112:0.65:-1.0;40:88:0.35:0.6;56:72:0.35:-0.3,savgol_oracle,window=9;poly=3,0.14870498447206573
3,sample2.mzML,6,16:112:0.65:-1.0;40:88:0.35:0.6;56:72:0.35:-0.3,median_oracle,size=97,0.1872369904039343
