suite,noise_sigma,trial,seed,method,parameter,baseline_mse,baseline_nmse
exact,0.03,0,20261401,hcrd_centered,none,0.4740267905715917,0.8785331612285455
exact,0.03,0,20261401,hcrd_thresholded,z=3.5,0.000495727813384502,0.0009187525508346261
exact,0.03,0,20261401,hcrd_adaptive_guided,pilot-calibrated,0.013092428309255335,0.02426473072717825
exact,0.03,0,20261401,emd_residue,default,0.00034451586334033454,0.0006385052839498825
exact,0.03,0,20261401,vmd_low_mode,K=5;alpha=2000,0.013251145431182165,0.024558887634848675
exact,0.03,0,20261401,l1_trend_oracle,lambda=300,0.019235107763377588,0.03564920879166989
exact,0.03,0,20261401,gaussian_oracle,sigma=64,0.0019510734090230036,0.003616003829131802
exact,0.03,1,20261402,hcrd_centered,none,0.6912019019194658,0.8480011234744754
exact,0.03,1,20261402,hcrd_thresholded,z=3.5,0.00044693134754681914,0.0005483177690674558
exact,0.03,1,20261402,hcrd_adaptive_guided,pilot-calibrated,0.011352159900186159,0.013927398524926778
exact,0.03,1,20261402,emd_residue,default,0.0027351986523671953,0.003355678744071945
exact,0.03,1,20261402,vmd_low_mode,K=5;alpha=2000,0.036522366788528285,0.04480746939875664
exact,0.03,1,20261402,l1_trend_oracle,lambda=300,0.03415527970516394,0.04190340837045125
exact,0.03,1,20261402,gaussian_oracle,sigma=32,0.042432407038939475,0.052058202879394534
exact,0.03,2,20261403,hcrd_centered,none,0.9205717452587834,1.0247774751635228
exact,0.03,2,20261403,hcrd_thresholded,z=3.5,0.003076046340206872,0.003424244789434696
exact,0.03,2,20261403,hcrd_adaptive_guided,pilot-calibrated,0.018494398342826433,0.020587904132450107
exact,0.03,2,20261403,emd_residue,default,0.0005334295339794686,0.0005938120236956281
exact,0.03,2,20261403,vmd_low_mode,K=5;alpha=2000,0.03676863042589786,0.040930719900033545
exact,0.03,2,20261403,l1_trend_oracle,lambda=300,0.05488675125955334,0.06109975313209486
exact,0.03,2,20261403,gaussian_oracle,sigma=64,0.02974021884226652,0.03310671496594874
exact,0.03,3,20261404,hcrd_centered,none,0.8209172414801686,0.9858065465630408
exact,0.03,3,20261404,hcrd_thresholded,z=3.5,0.0011440067280882146,0.0013737917354836927
exact,0.03,3,20261404,hcrd_adaptive_guided,pilot-calibrated,0.024821166661029417,0.029806742204191113
exact,0.03,3,20261404,emd_residue,default,0.013664886300417695,0.016409613164784283
exact,0.03,3,20261404,vmd_low_mode,K=5;alpha=2000,0.027151437221860815,0.0326050705350576
