repetition,backend,workers,seconds,windows_per_second,pre_cpu_percent,digest,bitwise_equal
0,process,8,7.4322431,51.66677069537728,11.8,ef6621468e1a5519109c294e146eadc0f84ed84c1b0da0b72db1abd815751352,True
0,thread,4,24.8580948,15.447684269029338,15.3,ef6621468e1a5519109c294e146eadc0f84ed84c1b0da0b72db1abd815751352,True
0,process,4,6.101619,62.93411633863077,24.6,ef6621468e1a5519109c294e146eadc0f84ed84c1b0da0b72db1abd815751352,True
0,process,16,6.6830308,57.45896008739029,9.9,ef6621468e1a5519109c294e146eadc0f84ed84c1b0da0b72db1abd815751352,True
0,serial,1,12.6367562,30.387545183470422,18.1,ef6621468e1a5519109c294e146eadc0f84ed84c1b0da0b72db1abd815751352,True
0,thread,8,16.6596261,23.04973699259673,9.2,ef6621468e1a5519109c294e146eadc0f84ed84c1b0da0b72db1abd815751352,True
0,process,2,6.3107747,60.84831391619796,9.2,ef6621468e1a5519109c294e146eadc0f84ed84c1b0da0b72db1abd815751352,True
1,process,4,4.3833759,87.60371201566355,8.3,ef6621468e1a5519109c294e146eadc0f84ed84c1b0da0b72db1abd815751352,True
1,thread,8,17.2493101,22.261759906559973,5.4,ef6621468e1a5519109c294e146eadc0f84ed84c1b0da0b72db1abd815751352,True
1,process,8,4.1628385,92.24475078723327,20.2,ef6621468e1a5519109c294e146eadc0f84ed84c1b0da0b72db1abd815751352,True
1,thread,4,14.3507483,26.758186540000846,18.3,ef6621468e1a5519109c294e146eadc0f84ed84c1b0da0b72db1abd815751352,True
1,serial,1,10.2787123,37.35876526089751,10.1,ef6621468e1a5519109c294e146eadc0f84ed84c1b0da0b72db1abd815751352,True
1,process,2,5.2866158,72.63626004371265,10.5,ef6621468e1a5519109c294e146eadc0f84ed84c1b0da0b72db1abd815751352,True
1,process,16,3.875688,99.0791828444395,12.6,ef6621468e1a5519109c294e146eadc0f84ed84c1b0da0b72db1abd815751352,True
2,process,8,3.5367566,108.57405341379726,13.0,ef6621468e1a5519109c294e146eadc0f84ed84c1b0da0b72db1abd815751352,True
2,process,2,5.8051984,66.1476100455068,25.4,ef6621468e1a5519109c294e146eadc0f84ed84c1b0da0b72db1abd815751352,True
2,process,16,4.1487535,92.55792131299197,10.0,ef6621468e1a5519109c294e146eadc0f84ed84c1b0da0b72db1abd815751352,True
2,thread,8,17.6394775,21.769352295157265,12.8,ef6621468e1a5519109c294e146eadc0f84ed84c1b0da0b72db1abd815751352,True
2,process,4,4.7671817,80.55073713678671,4.5,ef6621468e1a5519109c294e146eadc0f84ed84c1b0da0b72db1abd815751352,True
2,serial,1,9.5199392,40.33639206435268,6.2,ef6621468e1a5519109c294e146eadc0f84ed84c1b0da0b72db1abd815751352,True
2,thread,4,18.5326535,20.72018451108472,5.4,ef6621468e1a5519109c294e146eadc0f84ed84c1b0da0b72db1abd815751352,True
3,process,16,5.8132489,66.05600527443441,4.6,ef6621468e1a5519109c294e146eadc0f84ed84c1b0da0b72db1abd815751352,True
3,serial,1,12.0410682,31.89085832102504,12.4,ef6621468e1a5519109c294e146eadc0f84ed84c1b0da0b72db1abd815751352,True
3,process,8,5.5332481,69.39865935163833,5.6,ef6621468e1a5519109c294e146eadc0f84ed84c1b0da0b72db1abd815751352,True
3,thread,8,27.5759381,13.925183564290059,10.7,ef6621468e1a5519109c294e146eadc0f84ed84c1b0da0b72db1abd815751352,True
3,process,4,10.4876928,36.6143447679932,18.9,ef6621468e1a5519109c294e146eadc0f84ed84c1b0da0b72db1abd815751352,True
3,thread,4,23.8477105,16.10217467207177,9.8,ef6621468e1a5519109c294e146eadc0f84ed84c1b0da0b72db1abd815751352,True
3,process,2,8.1763418,46.96476852276406,8.3,ef6621468e1a5519109c294e146eadc0f84ed84c1b0da0b72db1abd815751352,True
4,thread,4,17.0828901,22.47863199681885,19.8,ef6621468e1a5519109c294e146eadc0f84ed84c1b0da0b72db1abd815751352,True
4,process,16,5.1346348,74.78623406673441,6.1,ef6621468e1a5519109c294e146eadc0f84ed84c1b0da0b72db1abd815751352,True
4,thread,8,16.0170216,23.974494733777473,19.4,ef6621468e1a5519109c294e146eadc0f84ed84c1b0da0b72db1abd815751352,True
4,process,2,5.8431027,65.71850944875571,11.1,ef6621468e1a5519109c294e146eadc0f84ed84c1b0da0b72db1abd815751352,True
4,serial,1,8.5909331,44.69828777970579,7.2,ef6621468e1a5519109c294e146eadc0f84ed84c1b0da0b72db1abd815751352,True
4,process,4,4.3866105,87.53911476754091,9.1,ef6621468e1a5519109c294e146eadc0f84ed84c1b0da0b72db1abd815751352,True
4,process,8,3.5506189,108.15015939897127,12.7,ef6621468e1a5519109c294e146eadc0f84ed84c1b0da0b72db1abd815751352,True
