partition,bearing_id,indicator,spearman_trendability,pearson_trendability,acquisitions
full_test,Bearing1_3,hcrd_level3_log1p_polygon_mass,0.8691274989956319,0.6933897632486414,2375
full_test,Bearing1_3,horizontal_rms,0.8373972841526606,0.5500362816512939,2375
full_test,Bearing1_3,horizontal_variance,0.8371783215921912,0.2875490560964477,2375
full_test,Bearing1_3,horizontal_kurtosis,0.6413633250878851,0.40345012024938043,2375
full_test,Bearing1_3,horizontal_0_1khz_band_power,0.9826728491853309,0.9564115728572342,2375
full_test,Bearing1_4,hcrd_level3_log1p_polygon_mass,0.4498571942082406,0.7197511913907073,1428
full_test,Bearing1_4,horizontal_rms,0.21073042446885043,0.7095054628033416,1428
full_test,Bearing1_4,horizontal_variance,0.21051357209185814,0.6446705809802431,1428
full_test,Bearing1_4,horizontal_kurtosis,0.62007161897764,0.3611431611691756,1428
full_test,Bearing1_4,horizontal_0_1khz_band_power,0.8379816489118972,0.7913664977790348,1428
full_test,Bearing1_5,hcrd_level3_log1p_polygon_mass,-0.3696020094197482,0.002110942290874925,2463
full_test,Bearing1_5,horizontal_rms,-0.7281966527759586,-0.1581621428491506,2463
full_test,Bearing1_5,horizontal_variance,-0.728206177143607,0.02010193430381356,2463
full_test,Bearing1_5,horizontal_kurtosis,0.19022323187033607,0.2539500634201986,2463
full_test,Bearing1_5,horizontal_0_1khz_band_power,0.5939146878737425,0.4689136576507292,2463
full_test,Bearing1_6,hcrd_level3_log1p_polygon_mass,-0.06656517329917572,0.08944150682759855,2448
full_test,Bearing1_6,horizontal_rms,-0.5175139821107863,-0.09221174075234949,2448
full_test,Bearing1_6,horizontal_variance,-0.5177712917742481,0.026795454255156427,2448
full_test,Bearing1_6,horizontal_kurtosis,0.30241200971300214,0.1761191151804815,2448
full_test,Bearing1_6,horizontal_0_1khz_band_power,0.30943168487984635,0.3407277235056686,2448
full_test,Bearing1_7,hcrd_level3_log1p_polygon_mass,0.5659740672094277,0.4016481890774302,2259
full_test,Bearing1_7,horizontal_rms,0.49600073100138853,0.33600345453334174,2259
full_test,Bearing1_7,horizontal_variance,0.4960207517203813,0.26230990117068304,2259
full_test,Bearing1_7,horizontal_kurtosis,0.7395139644384855,0.4013151602244748,2259
full_test,Bearing1_7,horizontal_0_1khz_band_power,0.22437021056502077,0.26424797376275366,2259
full_test,Bearing2_3,hcrd_level3_log1p_polygon_mass,-0.5676289537687301,-0.08379501063205198,1955
full_test,Bearing2_3,horizontal_rms,-0.7102604341509754,0.021125456946756462,1955
full_test,Bearing2_3,horizontal_variance,-0.7105302072565046,0.10723349544930526,1955
full_test,Bearing2_3,horizontal_kurtosis,-0.07504043585363908,-0.09209015309532129,1955
full_test,Bearing2_3,horizontal_0_1khz_band_power,-0.21607703170441053,-0.0816142489436088,1955
full_test,Bearing2_4,hcrd_level3_log1p_polygon_mass,-0.44662339575601334,-0.025029991934229782,751
full_test,Bearing2_4,horizontal_rms,-0.7221497294387627,-0.09382008893508911,751
full_test,Bearing2_4,horizontal_variance,-0.7227215344080234,0.05827138106346588,751
full_test,Bearing2_4,horizontal_kurtosis,0.2814511998186815,0.06219079597052131,751
full_test,Bearing2_4,horizontal_0_1khz_band_power,0.6505790010482478,0.5595829350250996,751
full_test,Bearing2_5,hcrd_level3_log1p_polygon_mass,-0.5142146752883129,-0.580382090099921,2311
full_test,Bearing2_5,horizontal_rms,-0.7803223134185029,-0.6616980843329282,2311
full_test,Bearing2_5,horizontal_variance,-0.7807382550805386,-0.5405516989393366,2311
full_test,Bearing2_5,horizontal_kurtosis,0.2621912840460661,0.11017279408583423,2311
full_test,Bearing2_5,horizontal_0_1khz_band_power,-0.5235752391419062,-0.5576234005137393,2311
full_test,Bearing2_6,hcrd_level3_log1p_polygon_mass,-0.4776224441274371,0.05324259291625398,701
full_test,Bearing2_6,horizontal_rms,-0.6523568110444004,-0.011407580696329259,701
full_test,Bearing2_6,horizontal_variance,-0.6523959318538491,0.13186414021233928,701
full_test,Bearing2_6,horizontal_kurtosis,0.37369339805859064,0.3332965704182516,701
full_test,Bearing2_6,horizontal_0_1khz_band_power,0.14404017285615003,0.18549698042509966,701
full_test,Bearing2_7,hcrd_level3_log1p_polygon_mass,0.027866229081342047,0.25511919058188687,230
full_test,Bearing2_7,horizontal_rms,-0.1834450721103464,0.24799608032815343,230
full_test,Bearing2_7,horizontal_variance,-0.18786958247751864,0.2482807655285685,230
full_test,Bearing2_7,horizontal_kurtosis,0.23682522148442023,0.12825737493761755,230
full_test,Bearing2_7,horizontal_0_1khz_band_power,0.8150010232789803,0.5589972921392826,230
full_test,Bearing3_3,hcrd_level3_log1p_polygon_mass,0.4484903310948159,0.6414863401179755,434
full_test,Bearing3_3,horizontal_rms,0.3336674900701648,0.6403174081863312,434
full_test,Bearing3_3,horizontal_variance,0.3332074312563283,0.562690475359952,434
full_test,Bearing3_3,horizontal_kurtosis,0.17452383949466926,0.1637259728628316,434
full_test,Bearing3_3,horizontal_0_1khz_band_power,0.5214494348168663,0.5160754372084593,434
training,Bearing1_1,hcrd_level3_log1p_polygon_mass,0.885678821959185,0.7660616794474309,2803
training,Bearing1_1,horizontal_rms,0.861551390137276,0.6797775531979245,2803
training,Bearing1_1,horizontal_variance,0.8617759006233524,0.3791614373505293,2803
training,Bearing1_1,horizontal_kurtosis,0.8446804084081933,0.47008155308602717,2803
training,Bearing1_1,horizontal_0_1khz_band_power,0.9910989846869547,0.9859752592882719,2803
training,Bearing1_2,hcrd_level3_log1p_polygon_mass,0.1975222565778171,0.3622955610872004,871
training,Bearing1_2,horizontal_rms,0.0879276021517991,0.35001071415634943,871
training,Bearing1_2,horizontal_variance,0.09066607560353634,0.34067414789504613,871
training,Bearing1_2,horizontal_kurtosis,0.38414014298110105,0.02870888542170403,871
training,Bearing1_2,horizontal_0_1khz_band_power,0.3541964695297997,0.411999997304363,871
training,Bearing2_1,hcrd_level3_log1p_polygon_mass,0.4405792514724284,0.45426191166733787,911
