noise_sigma,ratio,regularization,latent_index,first_repetition,second_repetition,knot_jaccard,guide_l2_ratio,hcrd_baseline_l2_ratio
0.01,0.3,0.003,0,0,1,0.6363636363636364,0.6737476780006224,22.696469646326495
0.01,0.3,0.003,0,0,2,0.38461538461538464,0.6847900723653207,35.82315047439837
0.01,0.3,0.003,0,0,3,0.5,0.7971482273054455,29.506139813804033
0.01,0.3,0.003,0,0,4,0.38461538461538464,0.7070110680820567,34.372886455094736
0.01,0.3,0.003,0,1,2,0.6363636363636364,0.6714500688538529,28.634689101426083
0.01,0.3,0.003,0,1,3,0.6363636363636364,0.713009839689783,19.586903971447413
0.01,0.3,0.003,0,1,4,0.6363636363636364,0.6825797492997197,19.446957882555203
0.01,0.3,0.003,0,2,3,0.8,0.639535110113365,13.833732206022875
0.01,0.3,0.003,0,2,4,0.38461538461538464,0.682896717604747,31.457418925241154
0.01,0.3,0.003,0,3,4,0.38461538461538464,0.7379997831646568,27.55255295964748
0.01,0.3,0.003,1,0,1,0.6363636363636364,0.6575435855653564,19.638478284482797
0.01,0.3,0.003,1,0,2,0.2857142857142857,0.717617427992536,29.812777465229562
0.01,0.3,0.003,1,0,3,0.2857142857142857,0.7257585651063915,37.23129224750973
0.01,0.3,0.003,1,0,4,0.5,0.6908671279175224,18.570150640223943
0.01,0.3,0.003,1,1,2,0.6363636363636364,0.7203133541129215,22.44657270779014
0.01,0.3,0.003,1,1,3,0.5,0.6722336837010555,33.82447183704521
0.01,0.3,0.003,1,1,4,0.5,0.692823740979112,24.78061917950789
0.01,0.3,0.003,1,2,3,0.38461538461538464,0.7113448104530905,30.83362853014157
0.01,0.3,0.003,1,2,4,0.2857142857142857,0.7079674368006861,32.36761861006404
0.01,0.3,0.003,1,3,4,0.38461538461538464,0.726177746576808,42.67931674192624
0.01,0.3,0.003,2,0,1,0.5,0.6991138856108547,31.00868924833472
0.01,0.3,0.003,2,0,2,0.6363636363636364,0.6384139762174138,20.75433824543287
0.01,0.3,0.003,2,0,3,0.5,0.6744040206436234,31.983557922402646
0.01,0.3,0.003,2,0,4,0.8,0.682556326555307,13.028657189817094
0.01,0.3,0.003,2,1,2,0.8,0.7384815524818569,21.565463305291296
0.01,0.3,0.003,2,1,3,0.6363636363636364,0.7381370676139111,26.765507089364235
0.01,0.3,0.003,2,1,4,0.6363636363636364,0.7324927034637132,24.365305225592056
0.01,0.3,0.003,2,2,3,0.5,0.6984208921042989,32.308166874932475
0.01,0.3,0.003,2,2,4,0.8,0.6772461906225694,15.715522446630619
0.01,0.3,0.003,2,3,4,0.38461538461538464,0.6679177169799752,34.12256728406008
0.01,0.3,0.003,3,0,1,0.5,0.6682946133653647,18.778755019033124
0.01,0.3,0.003,3,0,2,0.5,0.6270583155726163,22.673773295064276
0.01,0.3,0.003,3,0,3,0.38461538461538464,0.6411897316156563,35.11260507638112
0.01,0.3,0.003,3,0,4,0.5,0.6628981935171651,30.756453439434587
0.01,0.3,0.003,3,1,2,0.6363636363636364,0.671868175856334,19.035623364092036
0.01,0.3,0.003,3,1,3,0.2857142857142857,0.6472508846141053,31.615598256111078
0.01,0.3,0.003,3,1,4,0.38461538461538464,0.6986987790011682,33.093756236194594
0.01,0.3,0.003,3,2,3,0.5,0.6146254806527236,28.43952461797544
0.01,0.3,0.003,3,2,4,0.6363636363636364,0.6767798512153722,22.826099929146956
0.01,0.3,0.003,3,3,4,0.5,0.6401592351368096,30.37542085438111
0.01,0.3,0.003,4,0,1,0.2857142857142857,0.7175500735725818,42.53555520164712
0.01,0.3,0.003,4,0,2,0.2857142857142857,0.6741452989355379,42.112328971619185
0.01,0.3,0.003,4,0,3,0.2857142857142857,0.7014018750374295,34.6938780332725
0.01,0.3,0.003,4,0,4,0.38461538461538464,0.6882761786288524,34.207150431787746
0.01,0.3,0.003,4,1,2,0.6363636363636364,0.6928625328064946,29.044076708291488
