noise_sigma,ratio,regularization,latent_index,repetition,baseline_mse,guide_mse,target_knot_f1,knot_count
0.01,0.3,0.003,0,0,0.3210922101732921,0.9314220030209207,0.0,9
0.01,0.3,0.003,0,1,0.18946899624771893,0.932134977464418,0.14285714285714285,9
0.01,0.3,0.003,0,2,0.17615537994796115,0.9323237762170675,0.2857142857142857,9
0.01,0.3,0.003,0,3,0.1646887764207383,0.9319701697435071,0.5714285714285714,9
0.01,0.3,0.003,0,4,0.15964625478341266,0.9310253205666533,0.2857142857142857,9
0.01,0.3,0.003,1,0,0.1947893099230303,0.715877046365524,0.42857142857142855,9
0.01,0.3,0.003,1,1,0.3034566394502423,0.7135903901343599,0.14285714285714285,9
0.01,0.3,0.003,1,2,0.23123571286342606,0.718570631719584,0.14285714285714285,9
0.01,0.3,0.003,1,3,0.2295620620154835,0.7173468694073498,0.42857142857142855,9
0.01,0.3,0.003,1,4,0.21831576067934952,0.7171188810800897,0.2857142857142857,9
0.01,0.3,0.003,2,0,0.14840064854046003,0.8628095469197342,0.14285714285714285,9
0.01,0.3,0.003,2,1,0.23047283504846167,0.8620837533824611,0.0,9
0.01,0.3,0.003,2,2,0.15371060259175445,0.8598112346391108,0.0,9
0.01,0.3,0.003,2,3,0.23944821288696905,0.861658220192723,0.0,9
0.01,0.3,0.003,2,4,0.1795319326888957,0.8612870544337712,0.14285714285714285,9
0.01,0.3,0.003,3,0,0.10370400097051412,0.6760551978337036,0.2857142857142857,9
0.01,0.3,0.003,3,1,0.10975778150548436,0.6788281400451437,0.14285714285714285,9
0.01,0.3,0.003,3,2,0.13139710537307261,0.6801354673154542,0.14285714285714285,9
0.01,0.3,0.003,3,3,0.23649254059973154,0.6784844081711624,0.0,9
0.01,0.3,0.003,3,4,0.13685070686507886,0.6782423946402685,0.14285714285714285,9
0.01,0.3,0.003,4,0,0.22667074761496722,0.9660911427041055,0.42857142857142855,9
0.01,0.3,0.003,4,1,0.15886439529455304,0.9656985329538851,0.5714285714285714,9
0.01,0.3,0.003,4,2,0.3377982634752273,0.9654308982141148,0.2857142857142857,9
0.01,0.3,0.003,4,3,0.2820711755230895,0.9651963850595291,0.2857142857142857,9
0.01,0.3,0.003,4,4,0.26259565687365194,0.9643789394378764,0.42857142857142855,9
0.01,0.3,0.003,5,0,0.25150860686870175,0.7847763365079764,0.0,9
0.01,0.3,0.003,5,1,0.1654869994007861,0.7872674940323228,0.14285714285714285,9
0.01,0.3,0.003,5,2,0.09755295395556712,0.7841819724395225,0.2857142857142857,9
0.01,0.3,0.003,5,3,0.10398480404519302,0.7835488726199038,0.2857142857142857,9
0.01,0.3,0.003,5,4,0.12157723901732355,0.7855895475646201,0.0,9
0.01,0.3,0.003,6,0,0.37650081684458175,0.7927203599255819,0.14285714285714285,9
0.01,0.3,0.003,6,1,0.3405215323286406,0.793802294068358,0.14285714285714285,9
0.01,0.3,0.003,6,2,0.39107207970615293,0.7929951412900249,0.14285714285714285,9
0.01,0.3,0.003,6,3,0.23968607713320886,0.7930069992531742,0.2857142857142857,9
0.01,0.3,0.003,6,4,0.2787589060356612,0.793350485252863,0.14285714285714285,9
0.01,0.3,0.003,7,0,0.09566100779372783,0.7607085273095264,0.14285714285714285,9
0.01,0.3,0.003,7,1,0.17682702434543818,0.7616480687961208,0.2857142857142857,9
0.01,0.3,0.003,7,2,0.27421870763491846,0.7630084496892726,0.0,9
0.01,0.3,0.003,7,3,0.08002405327723917,0.7610218910820417,0.2857142857142857,9
0.01,0.3,0.003,7,4,0.07629488616823946,0.7607224220750511,0.42857142857142855,9
0.01,1.0,0.01,0,0,0.41939795392193974,0.9274903400780152,0.0,9
0.01,1.0,0.01,0,1,0.33418677805125935,0.9281990229948316,0.0,9
0.01,1.0,0.01,0,2,0.5541429925129114,0.9283885273525294,0.0,9
0.01,1.0,0.01,0,3,0.3209955302652476,0.9280393782075884,0.14285714285714285,9
0.01,1.0,0.01,0,4,0.3515026165736278,0.9270706624905986,0.0,9
0.01,1.0,0.01,1,0,0.5024256696605036,0.7123620400016026,0.0,9
0.01,1.0,0.01,1,1,0.45411322951063887,0.7101139814299664,0.14285714285714285,9
0.01,1.0,0.01,1,2,0.42252563780132507,0.7150675351130885,0.14285714285714285,9
0.01,1.0,0.01,1,3,0.4724314443086237,0.7138339218591316,0.14285714285714285,9
0.01,1.0,0.01,1,4,0.2757600840919904,0.7136094296877649,0.2857142857142857,9
