record,method,beats,failure_rate,mean_joint_absolute_error_ms,mean_successful_onset_absolute_error_ms,mean_successful_offset_absolute_error_ms,mean_successful_duration_absolute_error_ms
sel52,hcrd_quadratic,30,0.0,11.866666666666667,14.266666666666667,9.466666666666667,20.266666666666666
sel52,hcrd_gaussian,30,0.0,15.8,18.133333333333333,13.466666666666667,28.4
sel52,hcrd_raw,30,0.06666666666666665,25.333333333333332,13.714285714285714,17.714285714285715,22.0
sel52,derivative_threshold,30,0.0,12.4,17.333333333333332,7.466666666666667,19.2
sel52,official_pu0,30,0.0,22.066666666666666,22.133333333333333,22.0,27.866666666666667
sel52,official_pu1,30,0.0,22.6,31.466666666666665,13.733333333333333,23.066666666666666
sel14157,hcrd_quadratic,30,0.0,16.133333333333333,12.266666666666667,20.0,15.2
sel14157,hcrd_gaussian,30,0.0,17.866666666666667,18.933333333333334,16.8,14.4
sel14157,hcrd_raw,30,0.06666666666666665,37.666666666666664,23.285714285714285,34.57142857142857,57.857142857142854
sel14157,derivative_threshold,30,0.033333333333333326,26.4,11.310344827586206,32.275862068965516,35.86206896551724
sel14157,official_pu0,30,0.0,9.0,12.266666666666667,5.733333333333333,11.6
sel14157,official_pu1,30,0.0,10.866666666666667,16.133333333333333,5.6,19.866666666666667
sel231,hcrd_quadratic,50,0.0,16.04,6.08,26.0,27.6
sel231,hcrd_gaussian,50,0.040000000000000036,18.08,5.416666666666667,18.916666666666668,18.0
sel231,hcrd_raw,50,0.12,37.76,25.363636363636363,16.818181818181817,37.27272727272727
sel231,derivative_threshold,50,0.06000000000000005,25.6,9.617021276595745,24.425531914893618,27.914893617021278
sel231,official_pu0,50,0.0,8.76,8.48,9.04,11.92
sel231,official_pu1,50,0.0,23.44,35.2,11.68,40.16
sel50,hcrd_quadratic,32,0.0,19.625,13.375,25.875,25.25
sel50,hcrd_gaussian,32,0.0,23.25,24.25,22.25,22.25
sel50,hcrd_raw,32,0.5,89.8125,16.75,22.5,35.25
sel50,derivative_threshold,32,0.0625,29.4375,20.133333333333333,21.333333333333332,40.13333333333333
sel50,official_pu0,32,0.03125,14.25,9.548387096774194,9.548387096774194,9.548387096774194
sel50,official_pu1,32,0.0,15.4375,14.375,16.5,9.875
sel38,hcrd_quadratic,30,0.0,15.0,12.933333333333334,17.066666666666666,9.2
sel38,hcrd_gaussian,30,0.0,20.066666666666666,12.666666666666666,27.466666666666665,18.533333333333335
sel38,hcrd_raw,30,0.30000000000000004,75.4,25.333333333333332,52.95238095238095,65.71428571428571
sel38,derivative_threshold,30,0.0,53.333333333333336,19.733333333333334,86.93333333333334,98.4
sel38,official_pu0,30,0.0,17.066666666666666,21.866666666666667,12.266666666666667,20.8
sel38,official_pu1,30,0.0,15.933333333333334,15.2,16.666666666666668,27.866666666666667
sel102,hcrd_quadratic,85,0.15294117647058825,56.470588235294116,25.333333333333332,50.22222222222222,66.55555555555556
sel102,hcrd_gaussian,85,0.2588235294117647,80.54117647058824,45.77777777777778,59.80952380952381,95.55555555555556
sel102,hcrd_raw,85,0.47058823529411764,109.01176470588236,77.5111111111111,49.86666666666667,120.8
sel102,derivative_threshold,85,0.2941176470588235,85.48235294117647,59.6,49.266666666666666,105.4
sel102,official_pu0,85,0.12941176470588234,46.705882352941174,12.216216216216216,47.513513513513516,44.054054054054056
sel102,official_pu1,85,0.0,10.75294117647059,9.08235294117647,12.423529411764706,15.388235294117647
sele0411,hcrd_quadratic,30,0.0,10.4,11.2,9.6,11.466666666666667
sele0411,hcrd_gaussian,30,0.0,18.133333333333333,25.333333333333332,10.933333333333334,19.466666666666665
sele0411,hcrd_raw,30,0.0,10.533333333333333,5.866666666666666,15.2,14.666666666666666
sele0411,derivative_threshold,30,0.0,17.8,13.733333333333333,21.866666666666667,26.8
sele0411,official_pu0,30,0.0,9.266666666666667,9.066666666666666,9.466666666666667,15.6
sele0411,official_pu1,30,0.0,16.933333333333334,8.133333333333333,25.733333333333334,22.666666666666668
sel821,hcrd_quadratic,30,0.0,19.333333333333332,15.333333333333334,23.333333333333332,24.8
sel821,hcrd_gaussian,30,0.0,18.333333333333332,11.066666666666666,25.6,15.6
sel821,hcrd_raw,30,0.033333333333333326,19.0,9.931034482758621,18.344827586206897,19.17241379310345
sel821,derivative_threshold,30,0.23333333333333328,46.666666666666664,8.521739130434783,15.826086956521738,16.347826086956523
sel821,official_pu0,30,0.0,11.933333333333334,16.0,7.866666666666666,23.066666666666666
sel821,official_pu1,30,0.0,5.533333333333333,7.333333333333333,3.7333333333333334,7.333333333333333
sel871,hcrd_quadratic,70,0.0,26.34285714285714,20.17142857142857,32.51428571428571,14.057142857142857
sel871,hcrd_gaussian,70,0.0,35.82857142857143,32.57142857142857,39.08571428571429,21.6
sel871,hcrd_raw,70,0.12857142857142856,59.885714285714286,71.21311475409836,19.016393442622952,65.18032786885246
sel871,derivative_threshold,70,0.02857142857142858,32.114285714285714,32.411764705882355,24.294117647058822,27.294117647058822
sel871,official_pu0,70,0.0,8.571428571428571,6.8,10.342857142857143,11.885714285714286
sel871,official_pu1,70,0.0,8.742857142857142,9.942857142857143,7.542857142857143,12.457142857142857
sel811,hcrd_quadratic,30,0.0,13.2,20.0,6.4,19.466666666666665
sel811,hcrd_gaussian,30,0.0,24.333333333333332,42.0,6.666666666666667,38.0
sel811,hcrd_raw,30,0.16666666666666663,47.13333333333333,16.96,32.16,35.68
sel811,derivative_threshold,30,0.0,15.933333333333334,22.0,9.866666666666667,23.6
sel811,official_pu0,30,0.0,15.266666666666667,21.6,8.933333333333334,17.466666666666665
sel811,official_pu1,30,0.0,21.8,15.333333333333334,28.266666666666666,18.266666666666666
sel49,hcrd_quadratic,30,0.0,17.533333333333335,19.2,15.866666666666667,35.06666666666667
sel49,hcrd_gaussian,30,0.0,29.533333333333335,35.06666666666667,24.0,59.06666666666667
sel49,hcrd_raw,30,0.0,17.0,12.133333333333333,21.866666666666667,28.133333333333333
sel49,derivative_threshold,30,0.0,18.066666666666666,31.2,4.933333333333334,32.666666666666664
sel49,official_pu0,30,0.0,27.533333333333335,36.8,18.266666666666666,21.2
sel49,official_pu1,30,0.0,75.26666666666667,145.33333333333334,5.2,144.66666666666666
sel30,hcrd_quadratic,30,0.0,34.4,33.733333333333334,35.06666666666667,68.8
sel30,hcrd_gaussian,30,0.0,38.0,36.13333333333333,39.86666666666667,76.0
sel30,hcrd_raw,30,0.19999999999999996,56.0,12.0,48.0,44.666666666666664
sel30,derivative_threshold,30,0.3666666666666667,64.53333333333333,8.842105263157896,9.68421052631579,18.105263157894736
sel30,official_pu0,30,0.0,19.466666666666665,22.133333333333333,16.8,12.0
sel30,official_pu1,30,0.0,16.2,16.666666666666668,15.733333333333333,10.533333333333333
sel35,hcrd_quadratic,31,0.0,14.96774193548387,9.806451612903226,20.129032258064516,26.322580645161292
sel35,hcrd_gaussian,31,0.0,21.032258064516128,13.806451612903226,28.258064516129032,34.32258064516129
sel35,hcrd_raw,31,0.8709677419354839,144.38709677419354,12.0,66.0,60.0
sel35,derivative_threshold,31,0.5161290322580645,92.90322580645162,15.2,27.466666666666665,35.733333333333334
sel35,official_pu0,31,0.0,21.677419354838708,21.032258064516128,22.322580645161292,34.83870967741935
sel35,official_pu1,31,0.0,9.35483870967742,8.64516129032258,10.064516129032258,15.35483870967742
sel47,hcrd_quadratic,30,0.0,24.533333333333335,25.6,23.466666666666665,34.13333333333333
sel47,hcrd_gaussian,30,0.0,33.0,39.46666666666667,26.533333333333335,48.93333333333333
sel47,hcrd_raw,30,0.0,32.666666666666664,36.666666666666664,28.666666666666668,64.8
sel47,derivative_threshold,30,0.0,23.2,11.466666666666667,34.93333333333333,40.8
sel47,official_pu0,30,0.0,14.733333333333333,15.866666666666667,13.6,10.0
sel47,official_pu1,30,0.09999999999999998,31.866666666666667,24.296296296296298,10.962962962962964,16.88888888888889
sele0405,hcrd_quadratic,30,0.0,13.133333333333333,18.4,7.866666666666666,23.866666666666667
sele0405,hcrd_gaussian,30,0.0,16.4,23.2,9.6,22.933333333333334
sele0405,hcrd_raw,30,0.6,101.66666666666667,14.666666666666666,13.666666666666666,13.666666666666666
sele0405,derivative_threshold,30,0.0,10.466666666666667,16.533333333333335,4.4,16.933333333333334
sele0405,official_pu0,30,0.0,12.666666666666666,14.4,10.933333333333334,16.8
sele0405,official_pu1,30,0.0,12.666666666666666,18.933333333333334,6.4,20.533333333333335
sel104,hcrd_quadratic,77,0.09090909090909094,32.857142857142854,24.0,16.285714285714285,32.4
sel104,hcrd_gaussian,77,0.3116883116883117,71.97402597402598,38.264150943396224,25.962264150943398,47.320754716981135
sel104,hcrd_raw,77,0.4285714285714286,97.24675324675324,38.18181818181818,62.18181818181818,93.0909090909091
sel104,derivative_threshold,77,0.06493506493506496,37.63636363636363,17.61111111111111,40.666666666666664,49.833333333333336
sel104,official_pu0,77,0.038961038961038974,22.07792207792208,14.81081081081081,18.16216216216216,21.945945945945947
sel104,official_pu1,77,0.18181818181818177,40.25974025974026,11.365079365079366,15.936507936507937,18.92063492063492
sele0122,hcrd_quadratic,30,0.0,20.466666666666665,15.866666666666667,25.066666666666666,40.4
sele0122,hcrd_gaussian,30,0.0,48.733333333333334,72.93333333333334,24.533333333333335,83.06666666666666
sele0122,hcrd_raw,30,0.0,19.666666666666668,17.6,21.733333333333334,8.933333333333334
sele0122,derivative_threshold,30,0.0,10.466666666666667,9.333333333333334,11.6,16.4
sele0122,official_pu0,30,0.0,6.6,7.733333333333333,5.466666666666667,6.533333333333333
sele0122,official_pu1,30,0.0,13.466666666666667,14.933333333333334,12.0,10.4
sele0509,hcrd_quadratic,30,0.0,15.466666666666667,13.2,17.733333333333334,9.866666666666667
sele0509,hcrd_gaussian,30,0.0,47.8,56.266666666666666,39.333333333333336,27.333333333333332
sele0509,hcrd_raw,30,0.0,17.0,7.333333333333333,26.666666666666668,20.933333333333334
sele0509,derivative_threshold,30,0.16666666666666663,49.333333333333336,10.56,43.84,48.0
sele0509,official_pu0,30,0.0,28.533333333333335,8.0,49.06666666666667,41.06666666666667
sele0509,official_pu1,30,0.0,13.0,20.933333333333334,5.066666666666666,16.4
sele0606,hcrd_quadratic,30,0.0,6.2,7.066666666666666,5.333333333333333,6.8
sele0606,hcrd_gaussian,30,0.0,8.666666666666666,12.666666666666666,4.666666666666667,12.266666666666667
sele0606,hcrd_raw,30,0.5666666666666667,105.4,37.84615384615385,30.153846153846153,14.461538461538462
sele0606,derivative_threshold,30,0.0,16.4,16.266666666666666,16.533333333333335,30.933333333333334
sele0606,official_pu0,30,0.0,7.866666666666666,5.066666666666666,10.666666666666666,11.733333333333333
sele0606,official_pu1,30,0.0,28.533333333333335,14.266666666666667,42.8,28.8
sel51,hcrd_quadratic,30,0.0,10.866666666666667,16.0,5.733333333333333,17.733333333333334
sel51,hcrd_gaussian,30,0.0,17.066666666666666,29.466666666666665,4.666666666666667,30.133333333333333
sel51,hcrd_raw,30,0.0,13.333333333333334,11.733333333333333,14.933333333333334,7.2
sel51,derivative_threshold,30,0.06666666666666665,21.533333333333335,14.714285714285714,8.571428571428571,15.857142857142858
sel51,official_pu0,30,0.0,12.8,11.733333333333333,13.866666666666667,17.333333333333332
sel51,official_pu1,30,0.0,12.933333333333334,12.533333333333333,13.333333333333334,18.666666666666668
sel213,hcrd_quadratic,71,0.0,18.985915492957748,15.887323943661972,22.08450704225352,13.070422535211268
sel213,hcrd_gaussian,71,0.0,20.028169014084508,21.014084507042252,19.04225352112676,17.070422535211268
sel213,hcrd_raw,71,0.23943661971830987,49.40845070422535,20.22222222222222,8.962962962962964,19.555555555555557
sel213,derivative_threshold,71,0.04225352112676062,48.67605633802817,50.588235294117645,36.94117647058823,24.470588235294116
sel213,official_pu0,71,0.0,18.338028169014084,22.929577464788732,13.746478873239436,20.0
sel213,official_pu1,71,0.0,10.47887323943662,10.422535211267606,10.535211267605634,19.154929577464788
sel310,hcrd_quadratic,30,0.0,6.0,7.733333333333333,4.266666666666667,11.2
sel310,hcrd_gaussian,30,0.0,7.0,9.066666666666666,4.933333333333334,13.733333333333333
sel310,hcrd_raw,30,0.0,18.733333333333334,15.466666666666667,22.0,36.666666666666664
sel310,derivative_threshold,30,0.0,16.6,20.533333333333335,12.666666666666666,31.6
sel310,official_pu0,30,0.0,5.8,4.4,7.2,8.666666666666666
sel310,official_pu1,30,0.0,6.533333333333333,8.133333333333333,4.933333333333334,6.666666666666667
sel31,hcrd_quadratic,30,0.0,24.333333333333332,27.866666666666667,20.8,14.0
sel31,hcrd_gaussian,30,0.0,25.6,30.8,20.4,16.0
sel31,hcrd_raw,30,0.6333333333333333,117.46666666666667,24.363636363636363,63.63636363636363,88.0
