record,beat_index,method,sampling_frequency,target_onset,target_fiducial,target_offset,predicted_onset,predicted_offset,success,onset_error_ms,offset_error_ms,duration_error_ms,joint_absolute_error_ms
sel52,0,hcrd_quadratic,250.0,150302,150314,150322,150300,150326,1,-8.0,16.0,24.0,12.0
sel52,0,hcrd_gaussian,250.0,150302,150314,150322,150300,150330,1,-8.0,32.0,40.0,20.0
sel52,0,hcrd_raw,250.0,150302,150314,150322,,,0,nan,nan,nan,160.0
sel52,0,derivative_threshold,250.0,150302,150314,150322,150302,150323,1,0.0,4.0,4.0,2.0
sel52,0,official_pu0,250.0,150302,150314,150322,150293,150319,1,-36.0,-12.0,24.0,24.0
sel52,0,official_pu1,250.0,150302,150314,150322,150285,150324,1,-68.0,8.0,76.0,38.0
sel52,1,hcrd_quadratic,250.0,150464,150472,150484,150458,150487,1,-24.0,12.0,36.0,18.0
sel52,1,hcrd_gaussian,250.0,150464,150472,150484,150456,150488,1,-32.0,16.0,48.0,24.0
sel52,1,hcrd_raw,250.0,150464,150472,150484,150458,150479,1,-24.0,-20.0,4.0,22.0
sel52,1,derivative_threshold,250.0,150464,150472,150484,150471,150484,1,28.0,0.0,-28.0,14.0
sel52,1,official_pu0,250.0,150464,150472,150484,150459,150489,1,-20.0,20.0,40.0,20.0
sel52,1,official_pu1,250.0,150464,150472,150484,150457,150482,1,-28.0,-8.0,20.0,18.0
sel52,2,hcrd_quadratic,250.0,150622,150632,150642,150618,150644,1,-16.0,8.0,24.0,12.0
sel52,2,hcrd_gaussian,250.0,150622,150632,150642,150618,150645,1,-16.0,12.0,28.0,14.0
sel52,2,hcrd_raw,250.0,150622,150632,150642,150616,150641,1,-24.0,-4.0,20.0,14.0
sel52,2,derivative_threshold,250.0,150622,150632,150642,150619,150642,1,-12.0,0.0,12.0,6.0
sel52,2,official_pu0,250.0,150622,150632,150642,150611,150638,1,-44.0,-16.0,28.0,30.0
sel52,2,official_pu1,250.0,150622,150632,150642,150616,150641,1,-24.0,-4.0,20.0,14.0
sel52,3,hcrd_quadratic,250.0,150781,150791,150801,150775,150809,1,-24.0,32.0,56.0,28.0
sel52,3,hcrd_gaussian,250.0,150781,150791,150801,150773,150810,1,-32.0,36.0,68.0,34.0
sel52,3,hcrd_raw,250.0,150781,150791,150801,150773,150801,1,-32.0,0.0,32.0,16.0
sel52,3,derivative_threshold,250.0,150781,150791,150801,150790,150802,1,36.0,4.0,-32.0,20.0
sel52,3,official_pu0,250.0,150781,150791,150801,150773,150821,1,-32.0,80.0,112.0,56.0
sel52,3,official_pu1,250.0,150781,150791,150801,150771,150803,1,-40.0,8.0,48.0,24.0
sel52,4,hcrd_quadratic,250.0,150938,150949,150960,150936,150962,1,-8.0,8.0,16.0,8.0
sel52,4,hcrd_gaussian,250.0,150938,150949,150960,150935,150962,1,-12.0,8.0,20.0,10.0
sel52,4,hcrd_raw,250.0,150938,150949,150960,150937,150964,1,-4.0,16.0,20.0,10.0
sel52,4,derivative_threshold,250.0,150938,150949,150960,150948,150960,1,40.0,0.0,-40.0,20.0
sel52,4,official_pu0,250.0,150938,150949,150960,150929,150955,1,-36.0,-20.0,16.0,28.0
sel52,4,official_pu1,250.0,150938,150949,150960,150933,150957,1,-20.0,-12.0,8.0,16.0
sel52,5,hcrd_quadratic,250.0,151096,151107,151118,151090,151120,1,-24.0,8.0,32.0,16.0
sel52,5,hcrd_gaussian,250.0,151096,151107,151118,151089,151126,1,-28.0,32.0,60.0,30.0
sel52,5,hcrd_raw,250.0,151096,151107,151118,151095,151113,1,-4.0,-20.0,-16.0,12.0
sel52,5,derivative_threshold,250.0,151096,151107,151118,151094,151118,1,-8.0,0.0,8.0,4.0
sel52,5,official_pu0,250.0,151096,151107,151118,151090,151113,1,-24.0,-20.0,4.0,22.0
sel52,5,official_pu1,250.0,151096,151107,151118,151091,151115,1,-20.0,-12.0,8.0,16.0
sel52,6,hcrd_quadratic,250.0,151255,151267,151285,151253,151279,1,-8.0,-24.0,-16.0,16.0
sel52,6,hcrd_gaussian,250.0,151255,151267,151285,151253,151287,1,-8.0,8.0,16.0,8.0
sel52,6,hcrd_raw,250.0,151255,151267,151285,151255,151274,1,0.0,-44.0,-44.0,22.0
sel52,6,derivative_threshold,250.0,151255,151267,151285,151266,151277,1,44.0,-32.0,-76.0,38.0
sel52,6,official_pu0,250.0,151255,151267,151285,151254,151273,1,-4.0,-48.0,-44.0,26.0
sel52,6,official_pu1,250.0,151255,151267,151285,151241,151274,1,-56.0,-44.0,12.0,50.0
sel52,7,hcrd_quadratic,250.0,151412,151424,151434,151407,151437,1,-20.0,12.0,32.0,16.0
sel52,7,hcrd_gaussian,250.0,151412,151424,151434,151407,151442,1,-20.0,32.0,52.0,26.0
sel52,7,hcrd_raw,250.0,151412,151424,151434,151414,151429,1,8.0,-20.0,-28.0,14.0
sel52,7,derivative_threshold,250.0,151412,151424,151434,151410,151434,1,-8.0,0.0,8.0,4.0
sel52,7,official_pu0,250.0,151412,151424,151434,151409,151446,1,-12.0,48.0,60.0,30.0
sel52,7,official_pu1,250.0,151412,151424,151434,151405,151431,1,-28.0,-12.0,16.0,20.0
sel52,8,hcrd_quadratic,250.0,151570,151581,151595,151567,151594,1,-12.0,-4.0,8.0,8.0
sel52,8,hcrd_gaussian,250.0,151570,151581,151595,151567,151594,1,-12.0,-4.0,8.0,8.0
sel52,8,hcrd_raw,250.0,151570,151581,151595,151567,151589,1,-12.0,-24.0,-12.0,18.0
sel52,8,derivative_threshold,250.0,151570,151581,151595,151569,151592,1,-4.0,-12.0,-8.0,8.0
sel52,8,official_pu0,250.0,151570,151581,151595,151561,151597,1,-36.0,8.0,44.0,22.0
sel52,8,official_pu1,250.0,151570,151581,151595,151564,151594,1,-24.0,-4.0,20.0,14.0
sel52,9,hcrd_quadratic,250.0,151727,151739,151747,151719,151750,1,-32.0,12.0,44.0,22.0
sel52,9,hcrd_gaussian,250.0,151727,151739,151747,151719,151755,1,-32.0,32.0,64.0,32.0
sel52,9,hcrd_raw,250.0,151727,151739,151747,151727,151745,1,0.0,-8.0,-8.0,4.0
sel52,9,derivative_threshold,250.0,151727,151739,151747,151725,151748,1,-8.0,4.0,12.0,6.0
sel52,9,official_pu0,250.0,151727,151739,151747,151723,151745,1,-16.0,-8.0,8.0,12.0
sel52,9,official_pu1,250.0,151727,151739,151747,151724,151747,1,-12.0,0.0,12.0,6.0
sel52,10,hcrd_quadratic,250.0,151887,151899,151911,151884,151909,1,-12.0,-8.0,4.0,10.0
sel52,10,hcrd_gaussian,250.0,151887,151899,151911,151872,151908,1,-60.0,-12.0,48.0,36.0
sel52,10,hcrd_raw,250.0,151887,151899,151911,151887,151904,1,0.0,-28.0,-28.0,14.0
sel52,10,derivative_threshold,250.0,151887,151899,151911,151885,151908,1,-8.0,-12.0,-4.0,10.0
sel52,10,official_pu0,250.0,151887,151899,151911,151880,151904,1,-28.0,-28.0,0.0,28.0
sel52,10,official_pu1,250.0,151887,151899,151911,151883,151905,1,-16.0,-24.0,-8.0,20.0
sel52,11,hcrd_quadratic,250.0,152046,152058,152069,152043,152069,1,-12.0,0.0,12.0,6.0
sel52,11,hcrd_gaussian,250.0,152046,152058,152069,152043,152069,1,-12.0,0.0,12.0,6.0
sel52,11,hcrd_raw,250.0,152046,152058,152069,152046,152068,1,0.0,-4.0,-4.0,2.0
sel52,11,derivative_threshold,250.0,152046,152058,152069,152044,152067,1,-8.0,-8.0,0.0,8.0
sel52,11,official_pu0,250.0,152046,152058,152069,152038,152063,1,-32.0,-24.0,8.0,28.0
sel52,11,official_pu1,250.0,152046,152058,152069,152042,152065,1,-16.0,-16.0,0.0,16.0
sel52,12,hcrd_quadratic,250.0,152204,152215,152228,152200,152228,1,-16.0,0.0,16.0,8.0
sel52,12,hcrd_gaussian,250.0,152204,152215,152228,152199,152231,1,-20.0,12.0,32.0,16.0
sel52,12,hcrd_raw,250.0,152204,152215,152228,152203,152225,1,-4.0,-12.0,-8.0,8.0
sel52,12,derivative_threshold,250.0,152204,152215,152228,152202,152225,1,-8.0,-12.0,-4.0,10.0
sel52,12,official_pu0,250.0,152204,152215,152228,152201,152221,1,-12.0,-28.0,-16.0,20.0
sel52,12,official_pu1,250.0,152204,152215,152228,152199,152222,1,-20.0,-24.0,-4.0,22.0
sel52,13,hcrd_quadratic,250.0,152355,152370,152383,152356,152383,1,4.0,0.0,-4.0,2.0
sel52,13,hcrd_gaussian,250.0,152355,152370,152383,152357,152384,1,8.0,4.0,-4.0,6.0
sel52,13,hcrd_raw,250.0,152355,152370,152383,152352,152381,1,-12.0,-8.0,4.0,10.0
sel52,13,derivative_threshold,250.0,152355,152370,152383,152368,152380,1,52.0,-12.0,-64.0,32.0
sel52,13,official_pu0,250.0,152355,152370,152383,152357,152390,1,8.0,28.0,20.0,18.0
sel52,13,official_pu1,250.0,152355,152370,152383,152349,152379,1,-24.0,-16.0,8.0,20.0
sel52,14,hcrd_quadratic,250.0,152514,152529,152542,152515,152545,1,4.0,12.0,8.0,8.0
sel52,14,hcrd_gaussian,250.0,152514,152529,152542,152507,152546,1,-28.0,16.0,44.0,22.0
sel52,14,hcrd_raw,250.0,152514,152529,152542,152517,152533,1,12.0,-36.0,-48.0,24.0
sel52,14,derivative_threshold,250.0,152514,152529,152542,152513,152541,1,-4.0,-4.0,0.0,4.0
sel52,14,official_pu0,250.0,152514,152529,152542,152510,152547,1,-16.0,20.0,36.0,18.0
sel52,14,official_pu1,250.0,152514,152529,152542,152508,152538,1,-24.0,-16.0,8.0,20.0
sel52,15,hcrd_quadratic,250.0,152672,152684,152697,152669,152695,1,-12.0,-8.0,4.0,10.0
sel52,15,hcrd_gaussian,250.0,152672,152684,152697,152669,152695,1,-12.0,-8.0,4.0,10.0
sel52,15,hcrd_raw,250.0,152672,152684,152697,152680,152704,1,32.0,28.0,-4.0,30.0
sel52,15,derivative_threshold,250.0,152672,152684,152697,152669,152693,1,-12.0,-16.0,-4.0,14.0
sel52,15,official_pu0,250.0,152672,152684,152697,152664,152695,1,-32.0,-8.0,24.0,20.0
sel52,15,official_pu1,250.0,152672,152684,152697,152653,152695,1,-76.0,-8.0,68.0,42.0
sel52,16,hcrd_quadratic,250.0,152833,152843,152857,152829,152856,1,-16.0,-4.0,12.0,10.0
sel52,16,hcrd_gaussian,250.0,152833,152843,152857,152829,152856,1,-16.0,-4.0,12.0,10.0
sel52,16,hcrd_raw,250.0,152833,152843,152857,,,0,nan,nan,nan,160.0
sel52,16,derivative_threshold,250.0,152833,152843,152857,152830,152853,1,-12.0,-16.0,-4.0,14.0
sel52,16,official_pu0,250.0,152833,152843,152857,152830,152858,1,-12.0,4.0,16.0,8.0
sel52,16,official_pu1,250.0,152833,152843,152857,152814,152853,1,-76.0,-16.0,60.0,46.0
