record,method,beats,failure_rate,mean_joint_absolute_error_ms
sel100,learned_ecgpuwave,30,0.0,9.8
sel100,learned_ecgpuwave_hcrd,30,0.0,13.133333333333333
sel100,official_pu0,30,0.0,4.8
sel100,official_pu1,30,0.0,8.933333333333334
sel102,learned_ecgpuwave,85,0.0,36.21176470588235
sel102,learned_ecgpuwave_hcrd,85,0.0,43.03529411764706
sel102,official_pu0,85,0.12941176470588234,46.705882352941174
sel102,official_pu1,85,0.0,10.75294117647059
sel103,learned_ecgpuwave,30,0.0,9.8
sel103,learned_ecgpuwave_hcrd,30,0.0,6.866666666666666
sel103,official_pu0,30,0.0,12.133333333333333
sel103,official_pu1,30,0.0,8.6
sel104,learned_ecgpuwave,77,0.0,29.68831168831169
sel104,learned_ecgpuwave_hcrd,77,0.0,32.02597402597402
sel104,official_pu0,77,0.038961038961038974,22.07792207792208
sel104,official_pu1,77,0.18181818181818177,40.25974025974026
sel114,learned_ecgpuwave,50,0.0,11.12
sel114,learned_ecgpuwave_hcrd,50,0.0,11.12
sel114,official_pu0,50,0.0,11.76
sel114,official_pu1,50,0.0,21.96
sel116,learned_ecgpuwave,50,0.0,8.56
sel116,learned_ecgpuwave_hcrd,50,0.0,7.04
sel116,official_pu0,50,0.0,6.84
sel116,official_pu1,50,0.0,17.68
sel123,learned_ecgpuwave,30,0.0,10.866666666666667
sel123,learned_ecgpuwave_hcrd,30,0.0,9.933333333333334
sel123,official_pu0,30,0.033333333333333326,17.733333333333334
sel123,official_pu1,30,0.033333333333333326,19.133333333333333
sel14157,learned_ecgpuwave,30,0.0,9.933333333333334
sel14157,learned_ecgpuwave_hcrd,30,0.0,10.933333333333334
sel14157,official_pu0,30,0.0,9.0
sel14157,official_pu1,30,0.0,10.866666666666667
sel15814,learned_ecgpuwave,30,0.0,20.2
sel15814,learned_ecgpuwave_hcrd,30,0.0,25.466666666666665
sel15814,official_pu0,30,0.0,16.066666666666666
sel15814,official_pu1,30,0.0,11.0
sel16272,learned_ecgpuwave,30,0.0,9.466666666666667
sel16272,learned_ecgpuwave_hcrd,30,0.0,10.933333333333334
sel16272,official_pu0,30,0.0,10.133333333333333
sel16272,official_pu1,30,0.0,20.333333333333332
sel16273,learned_ecgpuwave,30,0.0,4.666666666666667
sel16273,learned_ecgpuwave_hcrd,30,0.0,4.266666666666667
sel16273,official_pu0,30,0.0,6.466666666666667
sel16273,official_pu1,30,0.0,7.866666666666666
sel16420,learned_ecgpuwave,30,0.0,6.733333333333333
sel16420,learned_ecgpuwave_hcrd,30,0.0,6.866666666666666
sel16420,official_pu0,30,0.0,5.733333333333333
sel16420,official_pu1,30,0.0,9.533333333333333
sel16483,learned_ecgpuwave,30,0.0,8.533333333333333
sel16483,learned_ecgpuwave_hcrd,30,0.0,9.266666666666667
sel16483,official_pu0,30,0.0,10.0
sel16483,official_pu1,30,0.0,10.266666666666667
sel16786,learned_ecgpuwave,30,0.0,7.733333333333333
sel16786,learned_ecgpuwave_hcrd,30,0.0,7.733333333333333
sel16786,official_pu0,30,0.0,6.2
sel16786,official_pu1,30,0.0,10.2
sel16795,learned_ecgpuwave,30,0.0,7.933333333333334
sel16795,learned_ecgpuwave_hcrd,30,0.0,11.2
sel16795,official_pu0,30,0.0,14.933333333333334
sel16795,official_pu1,30,0.0,16.4
sel17152,learned_ecgpuwave,30,0.0,10.2
sel17152,learned_ecgpuwave_hcrd,30,0.0,11.4
sel17152,official_pu0,30,0.0,18.666666666666668
sel17152,official_pu1,30,0.0,11.266666666666667
sel17453,learned_ecgpuwave,30,0.0,6.4
sel17453,learned_ecgpuwave_hcrd,30,0.0,6.466666666666667
sel17453,official_pu0,30,0.0,5.8
sel17453,official_pu1,30,0.0,13.333333333333334
sel213,learned_ecgpuwave,71,0.0,18.676056338028168
sel213,learned_ecgpuwave_hcrd,71,0.0,20.056338028169016
sel213,official_pu0,71,0.0,18.338028169014084
sel213,official_pu1,71,0.0,10.47887323943662
sel223,learned_ecgpuwave,31,0.0,15.612903225806452
sel223,learned_ecgpuwave_hcrd,31,0.0,12.838709677419354
sel223,official_pu0,31,0.0,19.483870967741936
sel223,official_pu1,31,0.0,26.70967741935484
sel230,learned_ecgpuwave,50,0.0,12.64
sel230,learned_ecgpuwave_hcrd,50,0.0,13.48
sel230,official_pu0,50,0.0,10.72
sel230,official_pu1,50,0.0,18.68
sel231,learned_ecgpuwave,50,0.0,11.48
sel231,learned_ecgpuwave_hcrd,50,0.0,8.92
sel231,official_pu0,50,0.0,8.76
sel231,official_pu1,50,0.0,23.44
sel232,learned_ecgpuwave,30,0.0,26.933333333333334
sel232,learned_ecgpuwave_hcrd,30,0.0,31.133333333333333
sel232,official_pu0,30,0.0,18.2
sel232,official_pu1,30,0.0,13.733333333333333
sel233,learned_ecgpuwave,30,0.0,9.933333333333334
sel233,learned_ecgpuwave_hcrd,30,0.0,10.333333333333334
sel233,official_pu0,30,0.0,16.466666666666665
sel233,official_pu1,30,0.0,8.2
sel30,learned_ecgpuwave,30,0.0,10.733333333333333
sel30,learned_ecgpuwave_hcrd,30,0.0,8.0
sel30,official_pu0,30,0.0,19.466666666666665
sel30,official_pu1,30,0.0,16.2
sel301,learned_ecgpuwave,30,0.0,5.133333333333334
sel301,learned_ecgpuwave_hcrd,30,0.0,5.0
sel301,official_pu0,30,0.0,5.533333333333333
sel301,official_pu1,30,0.0,8.533333333333333
sel302,learned_ecgpuwave,30,0.0,6.666666666666667
sel302,learned_ecgpuwave_hcrd,30,0.0,6.0
sel302,official_pu0,30,0.0,5.466666666666667
sel302,official_pu1,30,0.0,11.333333333333334
sel306,learned_ecgpuwave,36,0.0,6.277777777777778
sel306,learned_ecgpuwave_hcrd,36,0.0,7.055555555555555
sel306,official_pu0,36,0.0,7.166666666666667
sel306,official_pu1,36,0.0,8.166666666666666
sel307,learned_ecgpuwave,30,0.0,6.2
sel307,learned_ecgpuwave_hcrd,30,0.0,6.466666666666667
sel307,official_pu0,30,0.033333333333333326,10.866666666666667
sel307,official_pu1,30,0.0,7.066666666666666
sel308,learned_ecgpuwave,50,0.0,14.12
sel308,learned_ecgpuwave_hcrd,50,0.0,15.24
sel308,official_pu0,50,0.0,10.8
sel308,official_pu1,50,0.0,8.96
sel31,learned_ecgpuwave,30,0.0,9.4
sel31,learned_ecgpuwave_hcrd,30,0.0,14.866666666666667
sel31,official_pu0,30,0.0,14.933333333333334
sel31,official_pu1,30,0.0,12.4
sel310,learned_ecgpuwave,30,0.0,6.2
sel310,learned_ecgpuwave_hcrd,30,0.0,4.733333333333333
sel310,official_pu0,30,0.0,5.8
sel310,official_pu1,30,0.0,6.533333333333333
sel32,learned_ecgpuwave,30,0.0,11.2
sel32,learned_ecgpuwave_hcrd,30,0.0,12.733333333333333
sel32,official_pu0,30,0.0,19.8
sel32,official_pu1,30,0.0,27.533333333333335
sel33,learned_ecgpuwave,30,0.0,19.066666666666666
sel33,learned_ecgpuwave_hcrd,30,0.0,22.133333333333333
sel33,official_pu0,30,0.033333333333333326,22.333333333333332
sel33,official_pu1,30,0.033333333333333326,20.666666666666668
sel34,learned_ecgpuwave,30,0.0,19.133333333333333
sel34,learned_ecgpuwave_hcrd,30,0.0,18.466666666666665
sel34,official_pu0,30,0.0,26.333333333333332
sel34,official_pu1,30,0.0,38.4
sel35,learned_ecgpuwave,31,0.0,9.096774193548388
sel35,learned_ecgpuwave_hcrd,31,0.0,9.870967741935484
sel35,official_pu0,31,0.0,21.677419354838708
sel35,official_pu1,31,0.0,9.35483870967742
sel36,learned_ecgpuwave,31,0.0,29.806451612903224
sel36,learned_ecgpuwave_hcrd,31,0.0,36.25806451612903
sel36,official_pu0,31,0.0,23.870967741935484
sel36,official_pu1,31,0.0,16.580645161290324
sel37,learned_ecgpuwave,50,0.0,14.72
sel37,learned_ecgpuwave_hcrd,50,0.0,17.52
sel37,official_pu0,50,0.0,19.6
sel37,official_pu1,50,0.0,21.0
sel38,learned_ecgpuwave,30,0.0,16.2
sel38,learned_ecgpuwave_hcrd,30,0.0,24.333333333333332
