record,channel,detected_r_peaks,pipeline_error
sel52,0,1411,
sel52,1,1407,
sel14157,0,1078,
sel14157,1,1080,
sel231,0,1008,
sel231,1,989,
sel50,0,678,
sel50,1,678,
sel38,0,1563,
sel38,1,1563,
sel102,0,1088,
sel102,1,1088,
sele0411,0,1202,
sele0411,1,1202,
sel821,0,1555,
sel821,1,1557,
sel871,0,915,
sel871,1,917,
sel811,0,704,
sel811,1,704,
sel49,0,826,
sel49,1,123,
sel30,0,1011,
sel30,1,1012,
sel35,0,877,
sel35,1,906,
sel47,0,885,
sel47,1,885,
sele0405,0,1214,
sele0405,1,1214,
sel104,0,1108,
sel104,1,1108,
sele0122,0,1413,
sele0122,1,1414,
sele0509,0,1028,
sele0509,1,1028,
sele0606,0,1442,
sele0606,1,1442,
sel51,0,750,
sel51,1,757,
sel213,0,1639,
sel213,1,1628,
sel310,0,2011,
sel310,1,2008,
sel31,0,1086,
sel31,1,47,
sel232,0,882,
sel232,1,904,
sel16786,0,925,
sel16786,1,925,
sel36,0,1151,
sel36,1,949,
sel37,0,704,
sel37,1,709,
sel230,0,1077,
sel230,1,1077,
sel33,0,540,
sel33,1,634,
sele0170,0,896,
sele0170,1,896,
sele0110,0,907,
sele0110,1,871,
sel39,0,1171,
sel39,1,1171,
sel872,0,989,
sel872,1,989,
sel883,0,895,
sel883,1,892,
sel306,0,1040,
sel306,1,1039,
sel16273,0,1111,
sel16273,1,1111,
sel116,0,1185,
sel116,1,1184,
sel223,0,1309,
sel223,1,547,
sel103,0,1048,
sel103,1,1048,
sel308,0,1280,
sel308,1,1279,
sele0704,0,1094,
sele0704,1,1094,
sel100,0,1134,
sel100,1,1134,
sel44,0,1319,
sel44,1,1317,
sel301,0,1350,
sel301,1,1355,
sel40,0,1044,
sel40,1,1040,
sele0210,0,1062,
sele0210,1,1062,
sele0129,0,866,
sele0129,1,677,
sele0604,0,1031,
sele0604,1,1031,
sele0166,0,815,
sele0166,1,924,
sel853,0,1112,
sel853,1,558,
sel803,0,1026,
sel803,1,1026,
sele0111,0,933,
sele0111,1,906,
sel15814,0,1035,
sel15814,1,1032,
sele0126,0,945,
sele0126,1,949,
sel307,0,853,
sel307,1,853,
sel32,0,1196,
sel32,1,140,
sel34,0,897,
sel34,1,897,
sel17453,0,1048,
sel17453,1,1047,
sel16272,0,850,
sel16272,1,851,
sele0104,0,803,
sele0104,1,804,
sel233,0,1529,
sel233,1,1481,
sele0211,0,1575,
sele0211,1,1575,
sel820,0,1159,
sel820,1,1160,
sel16420,0,1064,
sel16420,1,1063,
sel43,0,1429,
sel43,1,1429,
sele0133,0,839,
sele0133,1,840,
sel114,0,864,
sel114,1,862,
sel891,0,1266,
sel891,1,1222,
sel873,0,858,
sel873,1,858,
sel123,0,756,
sel123,1,756,
sel41,0,1338,
sel41,1,1313,
sel16795,0,761,
sel16795,1,761,
sele0406,0,959,
sele0406,1,960,
sel17152,0,1627,
sel17152,1,1618,
sel302,0,1500,
sel302,1,1500,
sel16483,0,1086,
sel16483,1,1086,
sele0203,0,1246,
sele0203,1,694,
sel808,0,903,
sel808,1,889,
sel42,0,686,
sel42,1,1244,
sele0112,0,685,
sele0112,1,684,
