record,method,beats,failure_rate,mean_joint_absolute_error_ms,mean_successful_onset_absolute_error_ms,mean_successful_offset_absolute_error_ms,mean_successful_duration_absolute_error_ms
sel52,neurokit_dwt_ch0,30,0.033333333333333326,54.4,66.89655172413794,34.62068965517241,101.51724137931035
sel52,neurokit_dwt_ch1,30,0.2666666666666667,76.4,69.0909090909091,22.90909090909091,49.81818181818182
sel14157,neurokit_dwt_ch0,30,0.5666666666666667,113.93333333333334,101.53846153846153,5.846153846153846,100.0
sel14157,neurokit_dwt_ch1,30,0.8333333333333334,139.53333333333333,46.4,28.0,34.4
sel231,neurokit_dwt_ch0,50,0.020000000000000018,15.72,9.959183673469388,15.591836734693878,22.612244897959183
sel231,neurokit_dwt_ch1,50,0.4,87.08,55.06666666666667,21.866666666666667,72.66666666666667
sel50,neurokit_dwt_ch0,32,0.375,107.6875,144.6,8.0,141.8
sel50,neurokit_dwt_ch1,32,0.4375,113.0,143.33333333333334,9.555555555555555,136.44444444444446
sel38,neurokit_dwt_ch0,30,1.0,160.0,,,
sel38,neurokit_dwt_ch1,30,1.0,160.0,,,
sel102,neurokit_dwt_ch0,85,0.8470588235294118,152.54117647058823,100.0,122.46153846153847,50.76923076923077
sel102,neurokit_dwt_ch1,85,1.0,160.0,,,
sele0411,neurokit_dwt_ch0,30,0.0,45.2,79.73333333333333,10.666666666666666,86.4
sele0411,neurokit_dwt_ch1,30,0.0,78.4,34.13333333333333,122.66666666666667,156.8
sel821,neurokit_dwt_ch0,30,0.19999999999999996,65.2,79.0,4.0,78.66666666666667
sel821,neurokit_dwt_ch1,30,0.9666666666666667,155.93333333333334,60.0,16.0,44.0
sel871,neurokit_dwt_ch0,70,0.014285714285714235,41.22857142857143,74.95652173913044,4.057971014492754,75.07246376811594
sel871,neurokit_dwt_ch1,70,0.4,88.77142857142857,78.19047619047619,4.380952380952381,75.9047619047619
sel811,neurokit_dwt_ch0,30,0.0,61.6,114.13333333333334,9.066666666666666,120.8
sel811,neurokit_dwt_ch1,30,1.0,160.0,,,
sel49,neurokit_dwt_ch0,30,0.5333333333333333,112.4,89.71428571428571,26.285714285714285,116.0
sel49,neurokit_dwt_ch1,30,1.0,160.0,,,
sel30,neurokit_dwt_ch0,30,0.0,90.0,121.2,58.8,180.0
sel30,neurokit_dwt_ch1,30,0.0,96.4,115.86666666666666,76.93333333333334,192.8
sel35,neurokit_dwt_ch0,31,0.09677419354838712,81.61290322580645,103.0,43.42857142857143,146.14285714285714
sel35,neurokit_dwt_ch1,31,0.967741935483871,155.48387096774192,36.0,4.0,32.0
sel47,neurokit_dwt_ch0,30,0.0,58.06666666666667,107.6,8.533333333333333,99.86666666666666
sel47,neurokit_dwt_ch1,30,0.16666666666666663,67.0,89.76,7.04,87.2
sele0405,neurokit_dwt_ch0,30,0.0,36.13333333333333,63.2,9.066666666666666,70.93333333333334
sele0405,neurokit_dwt_ch1,30,0.0,35.733333333333334,65.86666666666666,5.6,63.2
sel104,neurokit_dwt_ch0,77,0.7662337662337663,136.3896103896104,66.0,52.0,66.88888888888889
sel104,neurokit_dwt_ch1,77,0.7142857142857143,131.42857142857142,95.63636363636364,24.363636363636363,81.0909090909091
sele0122,neurokit_dwt_ch0,30,0.0,46.2,87.2,5.2,88.66666666666667
sele0122,neurokit_dwt_ch1,30,0.6333333333333333,119.53333333333333,5.818181818181818,93.45454545454545,87.63636363636364
sele0509,neurokit_dwt_ch0,30,0.06666666666666665,99.53333333333333,107.71428571428571,82.71428571428571,168.42857142857142
sele0509,neurokit_dwt_ch1,30,1.0,160.0,,,
sele0606,neurokit_dwt_ch0,30,0.0,51.93333333333333,91.06666666666666,12.8,103.6
