record,beat_index,method,sampling_frequency,target_onset,target_fiducial,target_offset,detected_r_peak,predicted_onset,predicted_offset,success,failure_reason,onset_error_ms,offset_error_ms,duration_error_ms,joint_absolute_error_ms
sel100,0,neurokit_dwt_ch0,250.0,150316,150330,150334,150329,150316,150339,1,,0.0,20.0,20.0,10.0
sel100,1,neurokit_dwt_ch0,250.0,150514,150529,150533,,,,0,missing_dwt_boundary,,,,160.0
sel100,2,neurokit_dwt_ch0,250.0,150715,150728,150732,150727,150714,150736,1,,-4.0,16.0,20.0,10.0
sel100,3,neurokit_dwt_ch0,250.0,150911,150925,150931,150924,150911,150935,1,,0.0,16.0,16.0,8.0
sel100,4,neurokit_dwt_ch0,250.0,151114,151129,151133,151127,151114,151138,1,,0.0,20.0,20.0,10.0
sel100,5,neurokit_dwt_ch0,250.0,151309,151327,151332,151325,151311,151337,1,,8.0,20.0,12.0,14.0
sel100,6,neurokit_dwt_ch0,250.0,151519,151535,151540,151534,151520,151544,1,,4.0,16.0,12.0,10.0
sel100,7,neurokit_dwt_ch0,250.0,151732,151747,151752,151745,151733,151757,1,,4.0,20.0,16.0,12.0
sel100,8,neurokit_dwt_ch0,250.0,151937,151952,151959,151951,151937,151963,1,,0.0,16.0,16.0,8.0
sel100,9,neurokit_dwt_ch0,250.0,152124,152139,152144,152137,152125,152147,1,,4.0,12.0,8.0,8.0
sel100,10,neurokit_dwt_ch0,250.0,152318,152332,152337,152330,152318,152341,1,,0.0,16.0,16.0,8.0
sel100,11,neurokit_dwt_ch0,250.0,152521,152530,152536,,,,0,missing_dwt_boundary,,,,160.0
sel100,12,neurokit_dwt_ch0,250.0,152718,152731,152736,,,,0,missing_dwt_boundary,,,,160.0
sel100,13,neurokit_dwt_ch0,250.0,152905,152921,152927,152920,152905,152930,1,,0.0,12.0,12.0,6.0
sel100,14,neurokit_dwt_ch0,250.0,153113,153126,153133,153127,153113,153137,1,,0.0,16.0,16.0,8.0
sel100,15,neurokit_dwt_ch0,250.0,153323,153339,153345,153337,153324,153348,1,,4.0,12.0,8.0,8.0
sel100,16,neurokit_dwt_ch0,250.0,153527,153542,153547,153540,153527,153551,1,,0.0,16.0,16.0,8.0
sel100,17,neurokit_dwt_ch0,250.0,153707,153721,153726,153720,153707,153730,1,,0.0,16.0,16.0,8.0
sel100,18,neurokit_dwt_ch0,250.0,153897,153913,153919,153912,153899,153922,1,,8.0,12.0,4.0,10.0
sel100,19,neurokit_dwt_ch0,250.0,154100,154114,154119,154113,154100,154123,1,,0.0,16.0,16.0,8.0
sel100,20,neurokit_dwt_ch0,250.0,154311,154326,154330,,,,0,missing_dwt_boundary,,,,160.0
sel100,21,neurokit_dwt_ch0,250.0,154503,154523,154528,154522,154505,154532,1,,8.0,16.0,8.0,12.0
sel100,22,neurokit_dwt_ch0,250.0,154708,154723,154727,154721,154708,154732,1,,0.0,20.0,20.0,10.0
sel100,23,neurokit_dwt_ch0,250.0,154916,154934,154939,154932,154918,154943,1,,8.0,16.0,8.0,12.0
sel100,24,neurokit_dwt_ch0,250.0,155124,155136,155143,,,,0,missing_dwt_boundary,,,,160.0
sel100,25,neurokit_dwt_ch0,250.0,155305,155316,155320,155315,155301,155325,1,,-16.0,20.0,36.0,18.0
sel100,26,neurokit_dwt_ch0,250.0,155490,155504,155507,155502,155490,155513,1,,0.0,24.0,24.0,12.0
sel100,27,neurokit_dwt_ch0,250.0,155691,155704,155710,155702,155689,155712,1,,-8.0,8.0,16.0,8.0
sel100,28,neurokit_dwt_ch0,250.0,155899,155914,155918,,,,0,missing_dwt_boundary,,,,160.0
sel100,29,neurokit_dwt_ch0,250.0,156092,156110,156114,156109,156095,156119,1,,12.0,20.0,8.0,16.0
sel100,0,neurokit_dwt_ch1,250.0,150316,150330,150334,150326,150314,150337,1,,-8.0,12.0,20.0,10.0
sel100,1,neurokit_dwt_ch1,250.0,150514,150529,150533,,,,0,missing_dwt_boundary,,,,160.0
sel100,2,neurokit_dwt_ch1,250.0,150715,150728,150732,,,,0,missing_dwt_boundary,,,,160.0
sel100,3,neurokit_dwt_ch1,250.0,150911,150925,150931,,,,0,missing_dwt_boundary,,,,160.0
sel100,4,neurokit_dwt_ch1,250.0,151114,151129,151133,151125,151112,151136,1,,-8.0,12.0,20.0,10.0
sel100,5,neurokit_dwt_ch1,250.0,151309,151327,151332,151323,151309,151333,1,,0.0,4.0,4.0,2.0
sel100,6,neurokit_dwt_ch1,250.0,151519,151535,151540,,,,0,missing_dwt_boundary,,,,160.0
sel100,7,neurokit_dwt_ch1,250.0,151732,151747,151752,151743,151731,151756,1,,-4.0,16.0,20.0,10.0
sel100,8,neurokit_dwt_ch1,250.0,151937,151952,151959,151949,151935,151961,1,,-8.0,8.0,16.0,8.0
sel100,9,neurokit_dwt_ch1,250.0,152124,152139,152144,,,,0,missing_dwt_boundary,,,,160.0
sel100,10,neurokit_dwt_ch1,250.0,152318,152332,152337,,,,0,missing_dwt_boundary,,,,160.0
sel100,11,neurokit_dwt_ch1,250.0,152521,152530,152536,152526,152515,152537,1,,-24.0,4.0,28.0,14.0
sel100,12,neurokit_dwt_ch1,250.0,152718,152731,152736,,,,0,missing_dwt_boundary,,,,160.0
sel100,13,neurokit_dwt_ch1,250.0,152905,152921,152927,,,,0,missing_dwt_boundary,,,,160.0
sel100,14,neurokit_dwt_ch1,250.0,153113,153126,153133,153124,153112,153146,1,,-4.0,52.0,56.0,28.0
sel100,15,neurokit_dwt_ch1,250.0,153323,153339,153345,153335,153323,153346,1,,0.0,4.0,4.0,2.0
sel100,16,neurokit_dwt_ch1,250.0,153527,153542,153547,153538,153525,153549,1,,-8.0,8.0,16.0,8.0
sel100,17,neurokit_dwt_ch1,250.0,153707,153721,153726,,,,0,missing_dwt_boundary,,,,160.0
sel100,18,neurokit_dwt_ch1,250.0,153897,153913,153919,153910,153897,153920,1,,0.0,4.0,4.0,2.0
sel100,19,neurokit_dwt_ch1,250.0,154100,154114,154119,154111,154099,154121,1,,-4.0,8.0,12.0,6.0
sel100,20,neurokit_dwt_ch1,250.0,154311,154326,154330,,,,0,missing_dwt_boundary,,,,160.0
sel100,21,neurokit_dwt_ch1,250.0,154503,154523,154528,,,,0,missing_dwt_boundary,,,,160.0
