record,method,beats,failure_rate,mean_joint_absolute_error_ms,mean_onset_absolute_error_ms,mean_offset_absolute_error_ms
sel100,learned_level1,30,0.0,19.266666666666666,7.2,31.333333333333332
sel100,learned_multilevel,30,0.0,16.066666666666666,7.466666666666667,24.666666666666668
sel100,official_pu0,30,0.0,4.8,3.6,6.0
sel100,official_pu1,30,0.0,8.933333333333334,7.733333333333333,10.133333333333333
sel100,pilot_constant,30,0.0,15.2,6.533333333333333,23.866666666666667
sel102,learned_level1,85,0.0,54.11764705882353,50.4,57.83529411764706
sel102,learned_multilevel,85,0.0,50.96470588235294,48.752941176470586,53.1764705882353
sel102,official_pu0,85,0.12941176470588234,46.705882352941174,12.216216216216216,47.513513513513516
sel102,official_pu1,85,0.0,10.75294117647059,9.08235294117647,12.423529411764706
sel102,pilot_constant,85,0.0,55.83529411764706,57.03529411764706,54.63529411764706
sel103,learned_level1,30,0.0,6.8,5.866666666666666,7.733333333333333
sel103,learned_multilevel,30,0.0,6.066666666666666,5.866666666666666,6.266666666666667
sel103,official_pu0,30,0.0,12.133333333333333,9.466666666666667,14.8
sel103,official_pu1,30,0.0,8.6,10.266666666666667,6.933333333333334
sel103,pilot_constant,30,0.0,8.333333333333334,8.266666666666667,8.4
sel104,learned_level1,77,0.0,35.79220779220779,23.064935064935064,48.51948051948052
sel104,learned_multilevel,77,0.0,36.18181818181818,23.74025974025974,48.62337662337662
sel104,official_pu0,77,0.038961038961038974,22.07792207792208,14.81081081081081,18.16216216216216
sel104,official_pu1,77,0.18181818181818177,40.25974025974026,11.365079365079366,15.936507936507937
sel104,pilot_constant,77,0.0,40.44155844155844,23.48051948051948,57.4025974025974
sel114,learned_level1,50,0.0,11.64,10.24,13.04
sel114,learned_multilevel,50,0.0,11.2,10.08,12.32
sel114,official_pu0,50,0.0,11.76,10.48,13.04
sel114,official_pu1,50,0.0,21.96,12.4,31.52
sel114,pilot_constant,50,0.0,12.16,11.6,12.72
sel116,learned_level1,50,0.0,9.6,8.48,10.72
sel116,learned_multilevel,50,0.0,9.44,9.6,9.28
sel116,official_pu0,50,0.0,6.84,8.16,5.52
sel116,official_pu1,50,0.0,17.68,26.8,8.56
sel116,pilot_constant,50,0.0,10.32,8.8,11.84
sel123,learned_level1,30,0.0,10.733333333333333,9.733333333333333,11.733333333333333
sel123,learned_multilevel,30,0.0,11.533333333333333,10.133333333333333,12.933333333333334
sel123,official_pu0,30,0.033333333333333326,17.733333333333334,15.448275862068966,10.206896551724139
sel123,official_pu1,30,0.033333333333333326,19.133333333333333,17.24137931034483,11.310344827586206
sel123,pilot_constant,30,0.0,11.066666666666666,10.933333333333334,11.2
sel14157,learned_level1,30,0.0,10.6,7.333333333333333,13.866666666666667
sel14157,learned_multilevel,30,0.0,11.066666666666666,8.4,13.733333333333333
sel14157,official_pu0,30,0.0,9.0,12.266666666666667,5.733333333333333
sel14157,official_pu1,30,0.0,10.866666666666667,16.133333333333333,5.6
sel14157,pilot_constant,30,0.0,18.466666666666665,12.0,24.933333333333334
sel15814,learned_level1,30,0.0,34.666666666666664,7.333333333333333,62.0
sel15814,learned_multilevel,30,0.0,33.93333333333333,9.866666666666667,58.0
sel15814,official_pu0,30,0.0,16.066666666666666,9.466666666666667,22.666666666666668
sel15814,official_pu1,30,0.0,11.0,6.4,15.6
sel15814,pilot_constant,30,0.0,39.46666666666667,11.466666666666667,67.46666666666667
sel16272,learned_level1,30,0.0,14.933333333333334,23.066666666666666,6.8
sel16272,learned_multilevel,30,0.0,15.2,24.666666666666668,5.733333333333333
sel16272,official_pu0,30,0.0,10.133333333333333,15.6,4.666666666666667
sel16272,official_pu1,30,0.0,20.333333333333332,32.666666666666664,8.0
sel16272,pilot_constant,30,0.0,12.4,17.866666666666667,6.933333333333334
sel16273,learned_level1,30,0.0,7.333333333333333,8.266666666666667,6.4
sel16273,learned_multilevel,30,0.0,4.8,4.4,5.2
sel16273,official_pu0,30,0.0,6.466666666666667,4.266666666666667,8.666666666666666
sel16273,official_pu1,30,0.0,7.866666666666666,8.266666666666667,7.466666666666667
sel16273,pilot_constant,30,0.0,10.066666666666666,5.066666666666666,15.066666666666666
sel16420,learned_level1,30,0.0,7.6,9.733333333333333,5.466666666666667
sel16420,learned_multilevel,30,0.0,8.0,10.0,6.0
sel16420,official_pu0,30,0.0,5.733333333333333,6.0,5.466666666666667
sel16420,official_pu1,30,0.0,9.533333333333333,11.066666666666666,8.0
sel16420,pilot_constant,30,0.0,11.733333333333333,17.2,6.266666666666667
sel16483,learned_level1,30,0.0,8.0,10.133333333333333,5.866666666666666
sel16483,learned_multilevel,30,0.0,8.266666666666667,10.266666666666667,6.266666666666667
sel16483,official_pu0,30,0.0,10.0,13.733333333333333,6.266666666666667
sel16483,official_pu1,30,0.0,10.266666666666667,6.133333333333334,14.4
sel16483,pilot_constant,30,0.0,6.266666666666667,5.6,6.933333333333334
sel16786,learned_level1,30,0.0,12.2,6.266666666666667,18.133333333333333
sel16786,learned_multilevel,30,0.0,10.266666666666667,7.466666666666667,13.066666666666666
sel16786,official_pu0,30,0.0,6.2,5.466666666666667,6.933333333333334
sel16786,official_pu1,30,0.0,10.2,13.466666666666667,6.933333333333334
sel16786,pilot_constant,30,0.0,14.0,6.666666666666667,21.333333333333332
sel16795,learned_level1,30,0.0,10.733333333333333,12.4,9.066666666666666
sel16795,learned_multilevel,30,0.0,9.0,8.933333333333334,9.066666666666666
sel16795,official_pu0,30,0.0,14.933333333333334,21.2,8.666666666666666
sel16795,official_pu1,30,0.0,16.4,24.0,8.8
sel16795,pilot_constant,30,0.0,6.8,6.4,7.2
sel17152,learned_level1,30,0.0,12.133333333333333,9.866666666666667,14.4
sel17152,learned_multilevel,30,0.0,11.8,9.6,14.0
sel17152,official_pu0,30,0.0,18.666666666666668,18.266666666666666,19.066666666666666
sel17152,official_pu1,30,0.0,11.266666666666667,13.333333333333334,9.2
sel17152,pilot_constant,30,0.0,10.0,11.2,8.8
sel17453,learned_level1,30,0.0,10.733333333333333,14.4,7.066666666666666
sel17453,learned_multilevel,30,0.0,9.066666666666666,10.8,7.333333333333333
sel17453,official_pu0,30,0.0,5.8,6.266666666666667,5.333333333333333
sel17453,official_pu1,30,0.0,13.333333333333334,19.733333333333334,6.933333333333334
sel17453,pilot_constant,30,0.0,7.133333333333334,7.466666666666667,6.8
sel213,learned_level1,71,0.0,17.971830985915492,21.859154929577464,14.084507042253522
sel213,learned_multilevel,71,0.0,19.211267605633804,24.450704225352112,13.971830985915492
sel213,official_pu0,71,0.0,18.338028169014084,22.929577464788732,13.746478873239436
sel213,official_pu1,71,0.0,10.47887323943662,10.422535211267606,10.535211267605634
sel213,pilot_constant,71,0.0,23.211267605633804,28.676056338028168,17.746478873239436
sel223,learned_level1,31,0.0,13.548387096774194,10.838709677419354,16.258064516129032
sel223,learned_multilevel,31,0.0,14.96774193548387,11.225806451612904,18.70967741935484
sel223,official_pu0,31,0.0,19.483870967741936,24.774193548387096,14.193548387096774
sel223,official_pu1,31,0.0,26.70967741935484,22.322580645161292,31.096774193548388
sel223,pilot_constant,31,0.0,13.35483870967742,8.258064516129032,18.451612903225808
sel230,learned_level1,50,0.0,13.08,19.12,7.04
sel230,learned_multilevel,50,0.0,13.6,17.92,9.28
sel230,official_pu0,50,0.0,10.72,15.6,5.84
sel230,official_pu1,50,0.0,18.68,22.4,14.96
sel230,pilot_constant,50,0.0,14.32,20.48,8.16
sel231,learned_level1,50,0.0,10.6,8.16,13.04
sel231,learned_multilevel,50,0.0,11.52,8.8,14.24
sel231,official_pu0,50,0.0,8.76,8.48,9.04
sel231,official_pu1,50,0.0,23.44,35.2,11.68
sel231,pilot_constant,50,0.0,14.84,7.92,21.76
sel232,learned_level1,30,0.0,41.06666666666667,15.466666666666667,66.66666666666667
sel232,learned_multilevel,30,0.0,40.0,14.666666666666666,65.33333333333333
sel232,official_pu0,30,0.0,18.2,26.4,10.0
sel232,official_pu1,30,0.0,13.733333333333333,10.266666666666667,17.2
sel232,pilot_constant,30,0.0,41.4,21.333333333333332,61.46666666666667
sel233,learned_level1,30,0.0,9.2,10.8,7.6
sel233,learned_multilevel,30,0.0,11.2,13.6,8.8
sel233,official_pu0,30,0.0,16.466666666666665,13.333333333333334,19.6
sel233,official_pu1,30,0.0,8.2,10.533333333333333,5.866666666666666
sel233,pilot_constant,30,0.0,6.933333333333334,6.8,7.066666666666666
sel30,learned_level1,30,0.0,9.266666666666667,9.733333333333333,8.8
sel30,learned_multilevel,30,0.0,8.4,8.0,8.8
sel30,official_pu0,30,0.0,19.466666666666665,22.133333333333333,16.8
sel30,official_pu1,30,0.0,16.2,16.666666666666668,15.733333333333333
sel30,pilot_constant,30,0.0,8.0,5.466666666666667,10.533333333333333
sel301,learned_level1,30,0.0,10.466666666666667,13.2,7.733333333333333
sel301,learned_multilevel,30,0.0,9.8,12.933333333333334,6.666666666666667
sel301,official_pu0,30,0.0,5.533333333333333,5.866666666666666,5.2
sel301,official_pu1,30,0.0,8.533333333333333,5.6,11.466666666666667
sel301,pilot_constant,30,0.0,9.066666666666666,13.733333333333333,4.4
sel302,learned_level1,30,0.0,7.6,5.466666666666667,9.733333333333333
sel302,learned_multilevel,30,0.0,7.2,4.666666666666667,9.733333333333333
sel302,official_pu0,30,0.0,5.466666666666667,4.666666666666667,6.266666666666667
sel302,official_pu1,30,0.0,11.333333333333334,17.6,5.066666666666666
sel302,pilot_constant,30,0.0,9.133333333333333,10.266666666666667,8.0
sel306,learned_level1,36,0.0,5.666666666666667,5.555555555555555,5.777777777777778
sel306,learned_multilevel,36,0.0,6.888888888888889,6.666666666666667,7.111111111111111
sel306,official_pu0,36,0.0,7.166666666666667,4.777777777777778,9.555555555555555
sel306,official_pu1,36,0.0,8.166666666666666,8.666666666666666,7.666666666666667
sel306,pilot_constant,36,0.0,13.333333333333334,12.444444444444445,14.222222222222221
