record,beat_index,method,success,onset_error_ms,offset_error_ms,joint_absolute_error_ms
sel52,0,pilot_constant,1,-8.0,12.0,10.0
sel52,0,learned_level1,1,-8.0,0.0,4.0
sel52,0,learned_multilevel,1,-4.0,4.0,4.0
sel52,0,official_pu0,1,-36.0,-12.0,24.0
sel52,0,official_pu1,1,-68.0,8.0,38.0
sel52,1,pilot_constant,1,-24.0,-4.0,14.0
sel52,1,learned_level1,1,-24.0,-16.0,20.0
sel52,1,learned_multilevel,1,-28.0,-12.0,20.0
sel52,1,official_pu0,1,-20.0,20.0,20.0
sel52,1,official_pu1,1,-28.0,-8.0,18.0
sel52,2,pilot_constant,1,-16.0,4.0,10.0
sel52,2,learned_level1,1,-12.0,-8.0,10.0
sel52,2,learned_multilevel,1,-12.0,-8.0,10.0
sel52,2,official_pu0,1,-44.0,-16.0,30.0
sel52,2,official_pu1,1,-24.0,-4.0,14.0
sel52,3,pilot_constant,1,-16.0,4.0,10.0
sel52,3,learned_level1,1,-20.0,8.0,14.0
sel52,3,learned_multilevel,1,-20.0,16.0,18.0
sel52,3,official_pu0,1,-32.0,80.0,56.0
sel52,3,official_pu1,1,-40.0,8.0,24.0
sel52,4,pilot_constant,1,-12.0,0.0,6.0
sel52,4,learned_level1,1,-12.0,-8.0,10.0
sel52,4,learned_multilevel,1,-8.0,-8.0,8.0
sel52,4,official_pu0,1,-36.0,-20.0,28.0
sel52,4,official_pu1,1,-20.0,-12.0,16.0
sel52,5,pilot_constant,1,-12.0,0.0,6.0
sel52,5,learned_level1,1,-16.0,-12.0,14.0
sel52,5,learned_multilevel,1,-16.0,-12.0,14.0
sel52,5,official_pu0,1,-24.0,-20.0,22.0
sel52,5,official_pu1,1,-20.0,-12.0,16.0
sel52,6,pilot_constant,1,-8.0,-28.0,18.0
sel52,6,learned_level1,1,-12.0,-40.0,26.0
sel52,6,learned_multilevel,1,-8.0,-44.0,26.0
sel52,6,official_pu0,1,-4.0,-48.0,26.0
sel52,6,official_pu1,1,-56.0,-44.0,50.0
sel52,7,pilot_constant,1,-8.0,4.0,6.0
sel52,7,learned_level1,1,-16.0,-8.0,12.0
sel52,7,learned_multilevel,1,-16.0,-8.0,12.0
sel52,7,official_pu0,1,-12.0,48.0,30.0
sel52,7,official_pu1,1,-28.0,-12.0,20.0
sel52,8,pilot_constant,1,-12.0,-12.0,12.0
sel52,8,learned_level1,1,-12.0,-24.0,18.0
sel52,8,learned_multilevel,1,-8.0,-24.0,16.0
sel52,8,official_pu0,1,-36.0,8.0,22.0
sel52,8,official_pu1,1,-24.0,-4.0,14.0
sel52,9,pilot_constant,1,-8.0,12.0,10.0
sel52,9,learned_level1,1,-16.0,4.0,10.0
sel52,9,learned_multilevel,1,-16.0,0.0,8.0
sel52,9,official_pu0,1,-16.0,-8.0,12.0
sel52,9,official_pu1,1,-12.0,0.0,6.0
sel52,10,pilot_constant,1,-8.0,-4.0,6.0
sel52,10,learned_level1,1,-12.0,-20.0,16.0
sel52,10,learned_multilevel,1,-4.0,-16.0,10.0
sel52,10,official_pu0,1,-28.0,-28.0,28.0
sel52,10,official_pu1,1,-16.0,-24.0,20.0
sel52,11,pilot_constant,1,-8.0,0.0,4.0
sel52,11,learned_level1,1,-8.0,-4.0,6.0
sel52,11,learned_multilevel,1,-12.0,-4.0,8.0
sel52,11,official_pu0,1,-32.0,-24.0,28.0
sel52,11,official_pu1,1,-16.0,-16.0,16.0
sel52,12,pilot_constant,1,-12.0,-8.0,10.0
sel52,12,learned_level1,1,-12.0,-12.0,12.0
sel52,12,learned_multilevel,1,-8.0,-12.0,10.0
sel52,12,official_pu0,1,-12.0,-28.0,20.0
sel52,12,official_pu1,1,-20.0,-24.0,22.0
sel52,13,pilot_constant,1,4.0,-8.0,6.0
sel52,13,learned_level1,1,0.0,-4.0,2.0
sel52,13,learned_multilevel,1,8.0,0.0,4.0
sel52,13,official_pu0,1,8.0,28.0,18.0
sel52,13,official_pu1,1,-24.0,-16.0,20.0
sel52,14,pilot_constant,1,4.0,-8.0,6.0
sel52,14,learned_level1,1,8.0,-16.0,12.0
sel52,14,learned_multilevel,1,4.0,-16.0,10.0
sel52,14,official_pu0,1,-16.0,20.0,18.0
sel52,14,official_pu1,1,-24.0,-16.0,20.0
sel52,15,pilot_constant,1,-8.0,-8.0,8.0
sel52,15,learned_level1,1,-16.0,-16.0,16.0
sel52,15,learned_multilevel,1,-8.0,-8.0,8.0
sel52,15,official_pu0,1,-32.0,-8.0,20.0
sel52,15,official_pu1,1,-76.0,-8.0,42.0
sel52,16,pilot_constant,1,-16.0,-12.0,14.0
sel52,16,learned_level1,1,-12.0,-24.0,18.0
sel52,16,learned_multilevel,1,-16.0,-20.0,18.0
sel52,16,official_pu0,1,-12.0,4.0,8.0
sel52,16,official_pu1,1,-76.0,-16.0,46.0
sel52,17,pilot_constant,1,-8.0,-4.0,6.0
sel52,17,learned_level1,1,0.0,-16.0,8.0
sel52,17,learned_multilevel,1,0.0,-12.0,6.0
sel52,17,official_pu0,1,-36.0,20.0,28.0
sel52,17,official_pu1,1,-12.0,8.0,10.0
sel52,18,pilot_constant,1,-16.0,0.0,8.0
sel52,18,learned_level1,1,-12.0,-12.0,12.0
sel52,18,learned_multilevel,1,-12.0,-16.0,14.0
sel52,18,official_pu0,1,-28.0,-20.0,24.0
sel52,18,official_pu1,1,-16.0,-16.0,16.0
sel52,19,pilot_constant,1,-16.0,8.0,12.0
sel52,19,learned_level1,1,-20.0,-4.0,12.0
sel52,19,learned_multilevel,1,-28.0,-8.0,18.0
sel52,19,official_pu0,1,-12.0,-12.0,12.0
sel52,19,official_pu1,1,-64.0,-4.0,34.0
sel52,20,pilot_constant,1,-12.0,8.0,10.0
sel52,20,learned_level1,1,-16.0,-4.0,10.0
sel52,20,learned_multilevel,1,-20.0,-8.0,14.0
sel52,20,official_pu0,1,-20.0,-16.0,18.0
sel52,20,official_pu1,1,-56.0,0.0,28.0
sel52,21,pilot_constant,1,-8.0,8.0,8.0
sel52,21,learned_level1,1,-12.0,4.0,8.0
sel52,21,learned_multilevel,1,-8.0,0.0,4.0
sel52,21,official_pu0,1,-36.0,-16.0,26.0
sel52,21,official_pu1,1,-24.0,-12.0,18.0
sel52,22,pilot_constant,1,-4.0,-12.0,8.0
sel52,22,learned_level1,1,-8.0,-16.0,12.0
sel52,22,learned_multilevel,1,-8.0,-16.0,12.0
sel52,22,official_pu0,1,-8.0,20.0,14.0
sel52,22,official_pu1,1,-52.0,-20.0,36.0
sel52,23,pilot_constant,1,-16.0,0.0,8.0
sel52,23,learned_level1,1,-12.0,-12.0,12.0
sel52,23,learned_multilevel,1,-16.0,-12.0,14.0
sel52,23,official_pu0,1,-36.0,24.0,30.0
sel52,23,official_pu1,1,-20.0,-12.0,16.0
sel52,24,pilot_constant,1,-4.0,-20.0,12.0
sel52,24,learned_level1,1,-4.0,-32.0,18.0
sel52,24,learned_multilevel,1,-4.0,-28.0,16.0
sel52,24,official_pu0,1,-20.0,20.0,20.0
sel52,24,official_pu1,1,-8.0,-32.0,20.0
sel52,25,pilot_constant,1,-8.0,8.0,8.0
sel52,25,learned_level1,1,-8.0,4.0,6.0
sel52,25,learned_multilevel,1,-4.0,0.0,2.0
sel52,25,official_pu0,1,-28.0,32.0,30.0
sel52,25,official_pu1,1,-12.0,12.0,12.0
sel52,26,pilot_constant,1,-12.0,-8.0,10.0
sel52,26,learned_level1,1,-16.0,-20.0,18.0
sel52,26,learned_multilevel,1,-20.0,-20.0,20.0
sel52,26,official_pu0,1,-12.0,-28.0,20.0
sel52,26,official_pu1,1,-24.0,-20.0,22.0
sel52,27,pilot_constant,1,-8.0,-16.0,12.0
sel52,27,learned_level1,1,-20.0,-16.0,18.0
sel52,27,learned_multilevel,1,-20.0,-12.0,16.0
sel52,27,official_pu0,1,-20.0,-4.0,12.0
sel52,27,official_pu1,1,-56.0,-20.0,38.0
sel52,28,pilot_constant,1,0.0,-8.0,4.0
sel52,28,learned_level1,1,4.0,-16.0,10.0
sel52,28,learned_multilevel,1,-4.0,-16.0,10.0
sel52,28,official_pu0,1,4.0,12.0,8.0
sel52,28,official_pu1,1,-20.0,-16.0,18.0
sel52,29,pilot_constant,1,-4.0,4.0,4.0
sel52,29,learned_level1,1,-4.0,-8.0,6.0
sel52,29,learned_multilevel,1,0.0,-8.0,4.0
sel52,29,official_pu0,1,4.0,-16.0,10.0
sel52,29,official_pu1,1,-8.0,8.0,8.0
sel14157,0,pilot_constant,1,24.0,-24.0,24.0
sel14157,0,learned_level1,1,20.0,-4.0,12.0
sel14157,0,learned_multilevel,1,12.0,-4.0,8.0
sel14157,0,official_pu0,1,12.0,-4.0,8.0
sel14157,0,official_pu1,1,40.0,0.0,20.0
sel14157,1,pilot_constant,1,16.0,-32.0,24.0
sel14157,1,learned_level1,1,12.0,-20.0,16.0
sel14157,1,learned_multilevel,1,4.0,-16.0,10.0
sel14157,1,official_pu0,1,-24.0,-12.0,18.0
sel14157,1,official_pu1,1,24.0,-12.0,18.0
sel14157,2,pilot_constant,1,12.0,-28.0,20.0
sel14157,2,learned_level1,1,4.0,-12.0,8.0
sel14157,2,learned_multilevel,1,4.0,-12.0,8.0
sel14157,2,official_pu0,1,-16.0,-8.0,12.0
sel14157,2,official_pu1,1,4.0,-8.0,6.0
sel14157,3,pilot_constant,1,4.0,-28.0,16.0
sel14157,3,learned_level1,1,0.0,-12.0,6.0
sel14157,3,learned_multilevel,1,-8.0,-8.0,8.0
sel14157,3,official_pu0,1,-20.0,-8.0,14.0
sel14157,3,official_pu1,1,12.0,-8.0,10.0
sel14157,4,pilot_constant,1,4.0,-20.0,12.0
sel14157,4,learned_level1,1,-4.0,-8.0,6.0
sel14157,4,learned_multilevel,1,4.0,-8.0,6.0
sel14157,4,official_pu0,1,-32.0,0.0,16.0
sel14157,4,official_pu1,1,-4.0,0.0,2.0
sel14157,5,pilot_constant,1,12.0,-20.0,16.0
sel14157,5,learned_level1,1,0.0,-8.0,4.0
sel14157,5,learned_multilevel,1,8.0,-8.0,8.0
sel14157,5,official_pu0,1,-4.0,0.0,2.0
sel14157,5,official_pu1,1,4.0,0.0,2.0
sel14157,6,pilot_constant,1,0.0,-32.0,16.0
sel14157,6,learned_level1,1,-4.0,-12.0,8.0
sel14157,6,learned_multilevel,1,-12.0,-8.0,10.0
sel14157,6,official_pu0,1,-16.0,-4.0,10.0
sel14157,6,official_pu1,1,0.0,-4.0,2.0
sel14157,7,pilot_constant,1,16.0,-20.0,18.0
sel14157,7,learned_level1,1,8.0,-8.0,8.0
sel14157,7,learned_multilevel,1,4.0,-12.0,8.0
sel14157,7,official_pu0,1,4.0,-4.0,4.0
sel14157,7,official_pu1,1,28.0,0.0,14.0
