record,beat_index,sampling_frequency,target_onset,target_fiducial,target_offset,predicted_onset,predicted_offset,success,onset_error_ms,offset_error_ms,duration_error_ms,joint_absolute_error_ms,family,method,channel,guide_parameter,selection_ratio
sel117,0,250.0,150492,150503,150516,150486,150515,1,-24.0,-4.0,20.0,14.0,official_ecgpuwave,official_pu0,0,0.0,0.0
sel117,0,250.0,150492,150503,150516,150494,150509,1,8.0,-28.0,-36.0,18.0,hcrd,hcrd_raw,0,0.0,0.1
sel117,0,250.0,150492,150503,150516,150492,150510,1,0.0,-24.0,-24.0,12.0,hcrd,hcrd_gaussian,0,1.0,0.1
sel117,0,250.0,150492,150503,150516,150491,150519,1,-4.0,12.0,16.0,8.0,hcrd,hcrd_gaussian,0,2.0,0.1
sel117,0,250.0,150492,150503,150516,150475,150548,1,-68.0,128.0,196.0,98.0,hcrd,hcrd_gaussian,0,4.0,0.1
sel117,0,250.0,150492,150503,150516,150492,150518,1,0.0,8.0,8.0,4.0,hcrd,hcrd_quadratic,0,1.0,0.1
sel117,0,250.0,150492,150503,150516,150484,150519,1,-32.0,12.0,44.0,22.0,hcrd,hcrd_quadratic,0,10.0,0.1
sel117,0,250.0,150492,150503,150516,150468,150528,1,-96.0,48.0,144.0,72.0,hcrd,hcrd_quadratic,0,100.0,0.1
sel117,0,250.0,150492,150503,150516,150468,150542,1,-96.0,104.0,200.0,100.0,hcrd,hcrd_quadratic,0,1000.0,0.1
sel117,0,250.0,150492,150503,150516,150500,150509,1,32.0,-28.0,-60.0,30.0,hcrd,hcrd_raw,0,0.0,0.2
sel117,0,250.0,150492,150503,150516,150492,150510,1,0.0,-24.0,-24.0,12.0,hcrd,hcrd_gaussian,0,1.0,0.2
sel117,0,250.0,150492,150503,150516,150491,150519,1,-4.0,12.0,16.0,8.0,hcrd,hcrd_gaussian,0,2.0,0.2
sel117,0,250.0,150492,150503,150516,150475,150548,1,-68.0,128.0,196.0,98.0,hcrd,hcrd_gaussian,0,4.0,0.2
sel117,0,250.0,150492,150503,150516,150492,150518,1,0.0,8.0,8.0,4.0,hcrd,hcrd_quadratic,0,1.0,0.2
sel117,0,250.0,150492,150503,150516,150484,150519,1,-32.0,12.0,44.0,22.0,hcrd,hcrd_quadratic,0,10.0,0.2
sel117,0,250.0,150492,150503,150516,150468,150528,1,-96.0,48.0,144.0,72.0,hcrd,hcrd_quadratic,0,100.0,0.2
sel117,0,250.0,150492,150503,150516,150468,150542,1,-96.0,104.0,200.0,100.0,hcrd,hcrd_quadratic,0,1000.0,0.2
sel117,0,250.0,150492,150503,150516,150500,150509,1,32.0,-28.0,-60.0,30.0,hcrd,hcrd_raw,0,0.0,0.3
sel117,0,250.0,150492,150503,150516,150492,150510,1,0.0,-24.0,-24.0,12.0,hcrd,hcrd_gaussian,0,1.0,0.3
sel117,0,250.0,150492,150503,150516,150497,150519,1,20.0,12.0,-8.0,16.0,hcrd,hcrd_gaussian,0,2.0,0.3
sel117,0,250.0,150492,150503,150516,150475,150548,1,-68.0,128.0,196.0,98.0,hcrd,hcrd_gaussian,0,4.0,0.3
sel117,0,250.0,150492,150503,150516,150492,150518,1,0.0,8.0,8.0,4.0,hcrd,hcrd_quadratic,0,1.0,0.3
sel117,0,250.0,150492,150503,150516,150484,150512,1,-32.0,-16.0,16.0,24.0,hcrd,hcrd_quadratic,0,10.0,0.3
sel117,0,250.0,150492,150503,150516,150468,150528,1,-96.0,48.0,144.0,72.0,hcrd,hcrd_quadratic,0,100.0,0.3
sel117,0,250.0,150492,150503,150516,150468,150542,1,-96.0,104.0,200.0,100.0,hcrd,hcrd_quadratic,0,1000.0,0.3
sel117,0,250.0,150492,150503,150516,150493,150517,1,4.0,4.0,0.0,4.0,derivative,derivative_threshold,0,1.0,0.05
sel117,0,250.0,150492,150503,150516,150501,150516,1,36.0,0.0,-36.0,18.0,derivative,derivative_threshold,0,1.0,0.1
sel117,0,250.0,150492,150503,150516,150501,150508,1,36.0,-32.0,-68.0,34.0,derivative,derivative_threshold,0,1.0,0.2
sel117,0,250.0,150492,150503,150516,150501,150507,1,36.0,-36.0,-72.0,36.0,derivative,derivative_threshold,0,1.0,0.3
sel117,0,250.0,150492,150503,150516,150492,150508,1,0.0,-32.0,-32.0,16.0,derivative,derivative_threshold,0,2.0,0.05
sel117,0,250.0,150492,150503,150516,150500,150508,1,32.0,-32.0,-64.0,32.0,derivative,derivative_threshold,0,2.0,0.1
sel117,0,250.0,150492,150503,150516,150500,150508,1,32.0,-32.0,-64.0,32.0,derivative,derivative_threshold,0,2.0,0.2
sel117,0,250.0,150492,150503,150516,150501,150508,1,36.0,-32.0,-68.0,34.0,derivative,derivative_threshold,0,2.0,0.3
sel117,0,250.0,150492,150503,150516,150499,150532,1,28.0,64.0,36.0,46.0,derivative,derivative_threshold,0,4.0,0.05
sel117,0,250.0,150492,150503,150516,150499,150509,1,28.0,-28.0,-56.0,28.0,derivative,derivative_threshold,0,4.0,0.1
sel117,0,250.0,150492,150503,150516,150499,150509,1,28.0,-28.0,-56.0,28.0,derivative,derivative_threshold,0,4.0,0.2
sel117,0,250.0,150492,150503,150516,150500,150509,1,32.0,-28.0,-60.0,30.0,derivative,derivative_threshold,0,4.0,0.3
sel117,0,250.0,150492,150503,150516,150492,150513,1,0.0,-12.0,-12.0,6.0,official_ecgpuwave,official_pu1,1,0.0,0.0
sel117,0,250.0,150492,150503,150516,150493,150514,1,4.0,-8.0,-12.0,6.0,hcrd,hcrd_raw,1,0.0,0.1
sel117,0,250.0,150492,150503,150516,150493,150518,1,4.0,8.0,4.0,6.0,hcrd,hcrd_gaussian,1,1.0,0.1
sel117,0,250.0,150492,150503,150516,150490,150518,1,-8.0,8.0,16.0,8.0,hcrd,hcrd_gaussian,1,2.0,0.1
sel117,0,250.0,150492,150503,150516,150475,150531,1,-68.0,60.0,128.0,64.0,hcrd,hcrd_gaussian,1,4.0,0.1
sel117,0,250.0,150492,150503,150516,150493,150518,1,4.0,8.0,4.0,6.0,hcrd,hcrd_quadratic,1,1.0,0.1
sel117,0,250.0,150492,150503,150516,150490,150519,1,-8.0,12.0,20.0,10.0,hcrd,hcrd_quadratic,1,10.0,0.1
sel117,0,250.0,150492,150503,150516,150475,150532,1,-68.0,64.0,132.0,66.0,hcrd,hcrd_quadratic,1,100.0,0.1
sel117,0,250.0,150492,150503,150516,150468,150528,1,-96.0,48.0,144.0,72.0,hcrd,hcrd_quadratic,1,1000.0,0.1
sel117,0,250.0,150492,150503,150516,150500,150510,1,32.0,-24.0,-56.0,28.0,hcrd,hcrd_raw,1,0.0,0.2
sel117,0,250.0,150492,150503,150516,150493,150518,1,4.0,8.0,4.0,6.0,hcrd,hcrd_gaussian,1,1.0,0.2
sel117,0,250.0,150492,150503,150516,150490,150511,1,-8.0,-20.0,-12.0,14.0,hcrd,hcrd_gaussian,1,2.0,0.2
sel117,0,250.0,150492,150503,150516,150475,150515,1,-68.0,-4.0,64.0,36.0,hcrd,hcrd_gaussian,1,4.0,0.2
sel117,0,250.0,150492,150503,150516,150493,150518,1,4.0,8.0,4.0,6.0,hcrd,hcrd_quadratic,1,1.0,0.2
sel117,0,250.0,150492,150503,150516,150490,150512,1,-8.0,-16.0,-8.0,12.0,hcrd,hcrd_quadratic,1,10.0,0.2
sel117,0,250.0,150492,150503,150516,150475,150516,1,-68.0,0.0,68.0,34.0,hcrd,hcrd_quadratic,1,100.0,0.2
sel117,0,250.0,150492,150503,150516,150468,150528,1,-96.0,48.0,144.0,72.0,hcrd,hcrd_quadratic,1,1000.0,0.2
sel117,0,250.0,150492,150503,150516,150500,150510,1,32.0,-24.0,-56.0,28.0,hcrd,hcrd_raw,1,0.0,0.3
sel117,0,250.0,150492,150503,150516,150493,150510,1,4.0,-24.0,-28.0,14.0,hcrd,hcrd_gaussian,1,1.0,0.3
sel117,0,250.0,150492,150503,150516,150490,150511,1,-8.0,-20.0,-12.0,14.0,hcrd,hcrd_gaussian,1,2.0,0.3
sel117,0,250.0,150492,150503,150516,150475,150515,1,-68.0,-4.0,64.0,36.0,hcrd,hcrd_gaussian,1,4.0,0.3
sel117,0,250.0,150492,150503,150516,150493,150510,1,4.0,-24.0,-28.0,14.0,hcrd,hcrd_quadratic,1,1.0,0.3
sel117,0,250.0,150492,150503,150516,150490,150512,1,-8.0,-16.0,-8.0,12.0,hcrd,hcrd_quadratic,1,10.0,0.3
sel117,0,250.0,150492,150503,150516,150475,150516,1,-68.0,0.0,68.0,34.0,hcrd,hcrd_quadratic,1,100.0,0.3
sel117,0,250.0,150492,150503,150516,150468,150528,1,-96.0,48.0,144.0,72.0,hcrd,hcrd_quadratic,1,1000.0,0.3
sel117,0,250.0,150492,150503,150516,150494,150515,1,8.0,-4.0,-12.0,6.0,derivative,derivative_threshold,1,1.0,0.05
sel117,0,250.0,150492,150503,150516,150495,150514,1,12.0,-8.0,-20.0,10.0,derivative,derivative_threshold,1,1.0,0.1
sel117,0,250.0,150492,150503,150516,150502,150509,1,40.0,-28.0,-68.0,34.0,derivative,derivative_threshold,1,1.0,0.2
sel117,0,250.0,150492,150503,150516,,,0,nan,nan,nan,160.0,derivative,derivative_threshold,1,1.0,0.3
sel117,0,250.0,150492,150503,150516,150493,150516,1,4.0,0.0,-4.0,2.0,derivative,derivative_threshold,1,2.0,0.05
sel117,0,250.0,150492,150503,150516,150502,150515,1,40.0,-4.0,-44.0,22.0,derivative,derivative_threshold,1,2.0,0.1
sel117,0,250.0,150492,150503,150516,150502,150509,1,40.0,-28.0,-68.0,34.0,derivative,derivative_threshold,1,2.0,0.2
sel117,0,250.0,150492,150503,150516,150502,150509,1,40.0,-28.0,-68.0,34.0,derivative,derivative_threshold,1,2.0,0.3
sel117,0,250.0,150492,150503,150516,150489,150512,1,-12.0,-16.0,-4.0,14.0,derivative,derivative_threshold,1,4.0,0.05
sel117,0,250.0,150492,150503,150516,150490,150512,1,-8.0,-16.0,-8.0,12.0,derivative,derivative_threshold,1,4.0,0.1
sel117,0,250.0,150492,150503,150516,150502,150511,1,40.0,-20.0,-60.0,30.0,derivative,derivative_threshold,1,4.0,0.2
sel117,0,250.0,150492,150503,150516,150502,150511,1,40.0,-20.0,-60.0,30.0,derivative,derivative_threshold,1,4.0,0.3
sel117,1,250.0,150789,150799,150807,150784,150807,1,-20.0,0.0,20.0,10.0,official_ecgpuwave,official_pu0,0,0.0,0.0
sel117,1,250.0,150789,150799,150807,150789,150810,1,0.0,12.0,12.0,6.0,hcrd,hcrd_raw,0,0.0,0.1
sel117,1,250.0,150789,150799,150807,150783,150810,1,-24.0,12.0,36.0,18.0,hcrd,hcrd_gaussian,0,1.0,0.1
sel117,1,250.0,150789,150799,150807,150783,150811,1,-24.0,16.0,40.0,20.0,hcrd,hcrd_gaussian,0,2.0,0.1
sel117,1,250.0,150789,150799,150807,150769,150826,1,-80.0,76.0,156.0,78.0,hcrd,hcrd_gaussian,0,4.0,0.1
sel117,1,250.0,150789,150799,150807,150783,150810,1,-24.0,12.0,36.0,18.0,hcrd,hcrd_quadratic,0,1.0,0.1
sel117,1,250.0,150789,150799,150807,150783,150812,1,-24.0,20.0,44.0,22.0,hcrd,hcrd_quadratic,0,10.0,0.1
