noise_sigma,regularization,latent_index,knot_jaccard,guide_l2_ratio,hcrd_baseline_l2_ratio
0.01,0.0003,0,0.42857142857142855,0.5954684008110349,23.89806125667989
0.01,0.0003,0,0.4642857142857143,0.6529744029885526,18.750874808759118
0.01,0.0003,0,0.49122807017543857,0.6297124681255344,23.76349787268173
0.01,0.0003,0,0.31343283582089554,0.6461656888464808,23.178295112440143
0.01,0.0003,0,0.45161290322580644,0.5959562555960961,31.639607127693697
0.01,0.0003,0,0.47619047619047616,0.6165729177495134,3.514918813273622
0.01,0.0003,0,0.43283582089552236,0.6132845947305979,6.542447214981273
0.01,0.0003,0,0.4166666666666667,0.65606165282408,31.250246292482426
0.01,0.0003,0,0.4666666666666667,0.6774559116618802,30.880355600275326
0.01,0.0003,0,0.3188405797101449,0.615207262010441,7.615281334409229
0.01,0.0003,1,0.2553191489361702,0.675251876018772,30.995546958045825
0.01,0.0003,1,0.4090909090909091,0.6238464446210334,18.717436785688527
0.01,0.0003,1,0.2916666666666667,0.6234229896402382,34.68154001613742
0.01,0.0003,1,0.3,0.6152227029480174,24.85191278118502
0.01,0.0003,1,0.23255813953488372,0.6767270057748378,34.93682403183795
0.01,0.0003,1,0.2619047619047619,0.6435002213100639,33.61090414888048
0.01,0.0003,1,0.2727272727272727,0.6378554672668785,36.451437544008336
0.01,0.0003,1,0.3023255813953488,0.6591144594361567,34.75938651151118
0.01,0.0003,1,0.3111111111111111,0.6515749943131227,34.141659935388105
0.01,0.0003,1,0.3409090909090909,0.6267466578741335,33.55557551869654
0.01,0.0003,2,0.38461538461538464,0.682803561358984,10.806744257099147
0.01,0.0003,2,0.3064516129032258,0.6912403137481865,19.191815509414475
0.01,0.0003,2,0.3484848484848485,0.6772307156006139,20.277234860832824
0.01,0.0003,2,0.3220338983050847,0.6743535860395143,14.039510829477516
0.01,0.0003,2,0.4262295081967213,0.6557027598363234,13.503457899630023
0.01,0.0003,2,0.46153846153846156,0.6486541587971246,21.280169227557675
0.01,0.0003,2,0.2923076923076923,0.6872713292360524,13.875852406600922
0.01,0.0003,2,0.34375,0.6117376582386264,23.512100351394643
0.01,0.0003,2,0.36363636363636365,0.6613584214021834,17.61189743019584
0.01,0.0003,2,0.4067796610169492,0.6476496700207036,21.849428559689308
0.01,0.0003,3,0.3191489361702128,0.640019512370312,26.8196063318418
0.01,0.0003,3,0.3695652173913043,0.6358374363297564,24.711362534746904
0.01,0.0003,3,0.40816326530612246,0.6676667912167857,11.048129583820732
0.01,0.0003,3,0.3488372093023256,0.6511051720462967,25.541790299595302
0.01,0.0003,3,0.38636363636363635,0.5972913209260161,19.389228718313717
0.01,0.0003,3,0.45652173913043476,0.6324983785056397,22.94016808161313
0.01,0.0003,3,0.5555555555555556,0.6597046343368149,11.43644248430745
0.01,0.0003,3,0.44680851063829785,0.6051361045231993,23.368826675796985
0.01,0.0003,3,0.5,0.6315580519377715,19.932969231669272
0.01,0.0003,3,0.46511627906976744,0.6117420611099547,20.673676686893334
0.01,0.0003,4,0.34,0.5950087074341567,34.09600255804761
0.01,0.0003,4,0.40384615384615385,0.6670332963287737,16.848442084716126
0.01,0.0003,4,0.3541666666666667,0.628537903664761,20.778497517405413
0.01,0.0003,4,0.28846153846153844,0.5991767782642592,31.438166477262296
0.01,0.0003,4,0.34615384615384615,0.5875785700123543,23.4778010802902
0.01,0.0003,4,0.37777777777777777,0.6226160083403349,28.588657628833413
0.01,0.0003,4,0.391304347826087,0.6364269172843575,24.510967485715405
0.01,0.0003,4,0.36,0.5988089848560557,21.639155302103664
0.01,0.0003,4,0.2962962962962963,0.6330638202923862,24.614922107941133
0.01,0.0003,4,0.4418604651162791,0.6166303011003882,24.004738244093346
0.01,0.0003,5,0.2727272727272727,0.6428526307072246,25.26366751225189
0.01,0.0003,5,0.3333333333333333,0.6473793856529444,24.29743643314743
0.01,0.0003,5,0.4067796610169492,0.5803029192155184,21.74188604207335
0.01,0.0003,5,0.38596491228070173,0.6076393602065687,27.65516211144535
0.01,0.0003,5,0.2653061224489796,0.6452693706879536,20.128235462996745
0.01,0.0003,5,0.37735849056603776,0.5892560063494157,29.445514626635934
0.01,0.0003,5,0.23214285714285715,0.6520179364550404,21.849505855475638
0.01,0.0003,5,0.2711864406779661,0.5905943971127791,27.349071178666925
0.01,0.0003,5,0.36538461538461536,0.6245236972262156,26.045538628531336
0.01,0.0003,5,0.41379310344827586,0.5877393241146218,23.398386517022992
0.01,0.0003,6,0.45454545454545453,0.6481141295955365,33.652549803260335
0.01,0.0003,6,0.42,0.6460130874680226,20.23353346850788
0.01,0.0003,6,0.4782608695652174,0.6466531324031614,23.05550768624582
0.01,0.0003,6,0.4583333333333333,0.602507947401963,23.612992470722606
