noise_sigma,regularization,latent_index,repetition,baseline_mse,guide_mse,target_knot_f1,knot_count
0.01,0.0003,0,0,0.3701884969942231,0.7174819606945637,0.13043478260869565,41
0.01,0.0003,0,1,0.518440337541727,0.7179170837661721,0.1111111111111111,49
0.01,0.0003,0,2,0.32014191177925727,0.7179930009603165,0.13043478260869565,41
0.01,0.0003,0,3,0.5144460903346583,0.716765955773599,0.12244897959183672,44
0.01,0.0003,0,4,0.533766141928929,0.717781473119128,0.11538461538461539,47
0.01,0.0003,1,0,0.4104077192276888,0.8603872523508759,0.30769230769230765,34
0.01,0.0003,1,1,0.24245063502162206,0.865263201655982,0.4666666666666667,25
0.01,0.0003,1,2,0.39008256271686104,0.8641472012329644,0.42424242424242425,28
0.01,0.0003,1,3,0.45165660217878806,0.8634252945601519,0.42424242424242425,28
0.01,0.0003,1,4,0.504745610901645,0.8631470531081799,0.3888888888888889,31
0.01,0.0003,2,0,0.3910862143632644,0.6783561793324284,0.2127659574468085,42
0.01,0.0003,2,1,0.4222186325928097,0.6805579165500759,0.18867924528301885,48
0.01,0.0003,2,2,0.3405774962198797,0.6791813380586177,0.27272727272727276,39
0.01,0.0003,2,3,0.5778390618825834,0.6793204456843845,0.15384615384615385,47
0.01,0.0003,2,4,0.3357937143028695,0.6780450398976337,0.29268292682926833,36
0.01,0.0003,3,0,0.5120150523637444,0.9656290326792293,0.16216216216216217,32
0.01,0.0003,3,1,0.259808899690274,0.9638435042473538,0.17142857142857143,30
0.01,0.0003,3,2,0.33534404219074515,0.9654774929419924,0.16666666666666663,31
0.01,0.0003,3,3,0.4419752391167686,0.9667594859540952,0.19047619047619044,37
0.01,0.0003,3,4,0.2371909225525579,0.966519615825573,0.19354838709677416,26
0.01,0.0003,4,0,0.5346804700048066,0.7865228980518679,0.30000000000000004,35
0.01,0.0003,4,1,0.3871579816327435,0.7867475843876394,0.37837837837837834,32
0.01,0.0003,4,2,0.5277464011371751,0.7869450487100148,0.27906976744186046,38
0.01,0.0003,4,3,0.479271708606278,0.7861644913488077,0.34285714285714286,30
0.01,0.0003,4,4,0.4580106599991589,0.7867394867170917,0.37837837837837834,32
0.01,0.0003,5,0,0.5966178511125533,0.7923683787791502,0.2222222222222222,40
0.01,0.0003,5,1,0.41658007391720525,0.7949121179959799,0.17142857142857143,30
0.01,0.0003,5,2,0.4229004430903153,0.7956635618435371,0.32432432432432434,32
0.01,0.0003,5,3,0.4445673428091181,0.7941425286728275,0.20833333333333334,43
0.01,0.0003,5,4,0.3568601295634621,0.7942293359234617,0.18181818181818182,39
0.01,0.0003,6,0,0.42000834162359085,0.7645704797058096,0.37837837837837834,32
0.01,0.0003,6,1,0.3651297519115393,0.7637803946071433,0.32432432432432434,32
0.01,0.0003,6,2,0.4157180831790067,0.7634704380911816,0.22727272727272727,39
0.01,0.0003,6,3,0.4898562067920754,0.7647367840249036,0.24390243902439024,36
0.01,0.0003,6,4,0.5737536060741842,0.763793891310199,0.23255813953488372,38
0.01,0.0003,7,0,0.5281886810213942,0.7942087654417549,0.34285714285714286,30
0.01,0.0003,7,1,0.540092499133228,0.7933017486712307,0.29268292682926833,36
0.01,0.0003,7,2,0.3315633024849681,0.7950357077618861,0.35294117647058826,29
0.01,0.0003,7,3,0.4023188099420802,0.795710944736568,0.25,35
0.01,0.0003,7,4,0.4469396249585201,0.7937703030207646,0.21739130434782608,41
0.01,0.001,0,0,0.09805030671345565,0.7173165363942153,0.23529411764705882,12
0.01,0.001,0,1,0.10302837687274276,0.7177544016404718,0.2,15
0.01,0.001,0,2,0.107437432245505,0.7178300998675419,0.2,15
0.01,0.001,0,3,0.07368774960707873,0.7166044448652511,0.25,11
0.01,0.001,0,4,0.09700113474523377,0.7176179797558595,0.33333333333333326,13
0.01,0.001,1,0,0.020230870122752664,0.8602348924725971,0.8571428571428571,9
0.01,0.001,1,1,0.035568527049278126,0.8651073449314762,0.6250000000000001,11
0.01,0.001,1,2,0.020992944952934797,0.8639920253209622,0.7058823529411764,12
0.01,0.001,1,3,0.016208220874041106,0.8632696003153404,0.7999999999999999,10
0.01,0.001,1,4,0.018962909005556285,0.8629923320519989,0.8571428571428571,9
0.01,0.001,2,0,0.11085191176602355,0.6782151444968596,0.5,15
0.01,0.001,2,1,0.06226943861905143,0.6804142889499087,0.6250000000000001,11
0.01,0.001,2,2,0.12990131421006124,0.6790380926577808,0.5555555555555556,13
0.01,0.001,2,3,0.10314765241973689,0.6791757821346397,0.4,15
0.01,0.001,2,4,0.06970460217064793,0.6779064096564041,0.4444444444444444,13
0.01,0.001,3,0,0.09676381653670942,0.9654109580605013,0.23529411764705882,12
0.01,0.001,3,1,0.07556013963197304,0.9636230798199786,0.2857142857142857,9
0.01,0.001,3,2,0.08020319537877822,0.9652615609432791,0.11764705882352941,12
0.01,0.001,3,3,0.10658749422424806,0.9665433114355362,0.2222222222222222,13
0.01,0.001,3,4,0.07143610248085183,0.9663015424401661,0.125,11
0.01,0.001,4,0,0.07054983984994238,0.7863750979119453,0.5333333333333333,10
0.01,0.001,4,1,0.028960504451611902,0.7866026876294061,0.7999999999999999,10
0.01,0.001,4,2,0.04042372294198959,0.7867966747019943,0.6250000000000001,11
0.01,0.001,4,3,0.03799768521726575,0.7860239649586843,0.9333333333333333,10
0.01,0.001,4,4,0.028776234561917427,0.7865941553262188,0.8571428571428571,9
0.01,0.001,5,0,0.10094456729362226,0.7921813406969834,0.4444444444444444,13
0.01,0.001,5,1,0.068378724707461,0.7947219260456043,0.42857142857142855,9
0.01,0.001,5,2,0.11370348869501364,0.7954744007366868,0.4444444444444444,13
0.01,0.001,5,3,0.09991755179920812,0.7939494189283238,0.5,11
0.01,0.001,5,4,0.06682967830360763,0.794044447789663,0.5,11
0.01,0.001,6,0,0.09617854141066993,0.7644233541257409,0.47058823529411764,12
0.01,0.001,6,1,0.05046779692518081,0.7636364421614047,0.6666666666666666,10
0.01,0.001,6,2,0.04273583493456581,0.7633257683617394,0.5333333333333333,10
0.01,0.001,6,3,0.05523982509324759,0.7645874755368787,0.5333333333333333,10
0.01,0.001,6,4,0.057474256807836945,0.7636474113079421,0.5333333333333333,10
0.01,0.001,7,0,0.031007283207353607,0.7940558296531074,0.8571428571428571,9
0.01,0.001,7,1,0.0467363165382295,0.7931502578286221,0.588235294117647,12
0.01,0.001,7,2,0.04941817932697886,0.7948824242536313,0.5333333333333333,10
0.01,0.001,7,3,0.03176145869510979,0.7955584154769996,0.6666666666666666,10
0.01,0.001,7,4,0.06386719596462374,0.7936158217251539,0.75,11
0.01,0.003,0,0,0.06175699515228212,0.7169172973493814,0.2857142857142857,9
0.01,0.003,0,1,0.062186203774161196,0.7173621471395546,0.2857142857142857,9
0.01,0.003,0,2,0.06275428481468483,0.7174383508438034,0.2857142857142857,9
0.01,0.003,0,3,0.06236654260199815,0.716214929356383,0.2857142857142857,9
0.01,0.003,0,4,0.07688645551140505,0.7172250731508358,0.2857142857142857,9
0.01,0.003,1,0,0.02413426738860547,0.8598425409670806,0.7142857142857143,9
0.01,0.003,1,1,0.024789851291468747,0.8647088350435143,0.7142857142857143,9
0.01,0.003,1,2,0.023994715303256354,0.8635944295878525,0.7142857142857143,9
0.01,0.003,1,3,0.024546075698743525,0.8628714859243374,0.7142857142857143,9
0.01,0.003,1,4,0.024382566649768244,0.8625962643019123,0.7142857142857143,9
0.01,0.003,2,0,0.03770550977485623,0.6778690425540945,0.5714285714285714,9
0.01,0.003,2,1,0.05278805815467663,0.6800634641084197,0.5714285714285714,9
0.01,0.003,2,2,0.03645482049002579,0.6786894783481,0.5714285714285714,9
0.01,0.003,2,3,0.036978495350754675,0.6788249299867647,0.5714285714285714,9
0.01,0.003,2,4,0.0358117772377922,0.6775629535382852,0.5714285714285714,9
0.01,0.003,3,0,0.09954033767428673,0.9648784954736184,0.0,9
0.01,0.003,3,1,0.09738057143145164,0.9630875619587723,0.0,9
0.01,0.003,3,2,0.0989963730187898,0.9647286727677346,0.0,9
0.01,0.003,3,3,0.09772412160538985,0.9660131673484165,0.0,9
0.01,0.003,3,4,0.10364256449022442,0.9657669691700426,0.14285714285714285,9
0.01,0.003,4,0,0.03275613554215328,0.7860040569897302,0.5714285714285714,9
0.01,0.003,4,1,0.03563661528082902,0.7862315601597426,0.7142857142857143,9
