noise_sigma,regularization,latent_index,knot_jaccard,guide_l2_ratio,hcrd_baseline_l2_ratio
0.01,0.3,0,1.0,0.23515510575601808,0.23007528396601318
0.01,0.3,0,1.0,0.3575158994300807,1.7805439271174246
0.01,0.3,0,1.0,0.2555386759150879,1.98026077145019
0.01,0.3,0,1.0,0.2477425013774875,0.23857159682298243
0.01,0.3,0,1.0,0.20621968269494934,1.9458997723674882
0.01,0.3,0,1.0,0.23063796000750453,2.0761394823920574
0.01,0.3,0,1.0,0.21234052591079214,0.2048259780337637
0.01,0.3,0,1.0,0.3265623557170943,0.4072394489445201
0.01,0.3,0,1.0,0.3431000845671737,1.8692501282884206
0.01,0.3,0,1.0,0.23163965679147583,2.020935921690444
0.01,0.3,1,1.0,0.38229380233715,0.3406350539489306
0.01,0.3,1,1.0,0.2623934705253108,0.23222253908121082
0.01,0.3,1,1.0,0.25958169998823094,2.734166406434194
0.01,0.3,1,1.0,0.23067678158536023,2.5331571784504567
0.01,0.3,1,1.0,0.30104169683978854,0.20765104506302517
0.01,0.3,1,1.0,0.27932251475106845,2.6031688637849535
0.01,0.3,1,1.0,0.27859971162158875,2.475650127655291
0.01,0.3,1,1.0,0.24424429620144733,2.832303518570623
0.01,0.3,1,1.0,0.22585620312318316,2.3738747933416247
0.01,0.3,1,1.0,0.24887328401555212,0.22626320718300386
0.01,0.3,2,1.0,0.2964153537072781,0.11143862129184323
0.01,0.3,2,1.0,0.24800140241266302,0.1702412303109459
0.01,0.3,2,1.0,0.30703988937924137,0.18554895240444416
0.01,0.3,2,1.0,0.2835157656073786,0.2509347961428041
0.01,0.3,2,1.0,0.21093582929807805,0.19903594939856098
0.01,0.3,2,1.0,0.19140837339949396,0.18502191300472962
0.01,0.3,2,1.0,0.2758959151609628,0.18172411330613583
0.01,0.3,2,1.0,0.19458021041399634,0.1927732016863575
0.01,0.3,2,1.0,0.299625614177036,0.23971159813787718
0.01,0.3,2,1.0,0.27103786072049924,0.24839385908003492
0.01,0.3,3,1.0,0.2560080132434841,2.4095380653164074
0.01,0.3,3,1.0,0.23646206023760608,0.20453720283180535
0.01,0.3,3,1.0,0.23386962547040163,0.193101052120638
0.01,0.3,3,1.0,0.2841480927989952,2.441607231565336
0.01,0.3,3,1.0,0.2743565501152905,2.459710011959436
0.01,0.3,3,1.0,0.2671720064794588,2.5903994880306644
