noise_sigma,regularization,latent_index,repetition,baseline_mse,guide_mse,target_knot_f1,knot_count
0.01,0.3,0,0,0.13047406331900316,0.6766436573518702,0.2857142857142857,9
0.01,0.3,0,1,0.13042225843004243,0.6770539051358696,0.2857142857142857,9
0.01,0.3,0,2,0.13184024870541156,0.6771420349926197,0.2857142857142857,9
0.01,0.3,0,3,0.1315588162808263,0.676050935516305,0.2857142857142857,9
0.01,0.3,0,4,0.13102632696756278,0.6769346761958136,0.2857142857142857,9
0.01,0.3,1,0,0.028691238638921816,0.8142110743514605,0.7142857142857143,9
0.01,0.3,1,1,0.02851499029771479,0.8188019477298769,0.7142857142857143,9
0.01,0.3,1,2,0.02851481268085936,0.8176353561176515,0.7142857142857143,9
0.01,0.3,1,3,0.029973356067929294,0.8170013488395698,0.7142857142857143,9
0.01,0.3,1,4,0.02992079128042656,0.816808951317087,0.7142857142857143,9
0.01,0.3,2,0,0.06983293436277888,0.6407293740307944,0.42857142857142855,9
0.01,0.3,2,1,0.07005930637239188,0.6428383661096857,0.42857142857142855,9
0.01,0.3,2,2,0.0693333491632601,0.6415081878977069,0.42857142857142855,9
0.01,0.3,2,3,0.06942790780264792,0.6416928093777791,0.42857142857142855,9
0.01,0.3,2,4,0.06963176796153192,0.6404733015471472,0.42857142857142855,9
0.01,0.3,3,0,0.1592760775387442,0.9123212949342923,0.14285714285714285,9
0.01,0.3,3,1,0.1687620610691423,0.910456472560001,0.0,9
0.01,0.3,3,2,0.15900338208672116,0.9119439097938142,0.14285714285714285,9
0.01,0.3,3,3,0.15901804506444195,0.9132760779674056,0.14285714285714285,9
0.01,0.3,3,4,0.14978823528514992,0.9130462694872612,0.2857142857142857,9
0.01,0.3,4,0,0.03956266790206721,0.743645457774463,0.7142857142857143,9
0.01,0.3,4,1,0.03563111591225944,0.7437922601824385,0.7142857142857143,9
0.01,0.3,4,2,0.03588448542789556,0.7440607998825938,0.7142857142857143,9
0.01,0.3,4,3,0.04055487264094084,0.7434377229962891,0.7142857142857143,9
0.01,0.3,4,4,0.04449985416375994,0.7439143553069345,0.5714285714285714,9
0.01,0.3,5,0,0.14273628923412596,0.7471606296564295,0.42857142857142855,9
0.01,0.3,5,1,0.11981821071439161,0.7495710385122245,0.42857142857142855,9
0.01,0.3,5,2,0.14287592763731707,0.750174513424217,0.42857142857142855,9
0.01,0.3,5,3,0.12024812145559458,0.7488060026751532,0.42857142857142855,9
0.01,0.3,5,4,0.11909383046282887,0.7489085978256824,0.42857142857142855,9
0.01,0.3,6,0,0.06711047856859977,0.7228562916444703,0.5714285714285714,9
0.01,0.3,6,1,0.06674185662526888,0.7220734505195294,0.5714285714285714,9
0.01,0.3,6,2,0.06645394736822274,0.7216867465173648,0.5714285714285714,9
0.01,0.3,6,3,0.06717929253960424,0.722990742986516,0.5714285714285714,9
0.01,0.3,6,4,0.06679085872733675,0.7221074924042161,0.5714285714285714,9
0.01,0.3,7,0,0.03653006941756723,0.7503146241649536,0.7142857142857143,9
0.01,0.3,7,1,0.039136924378932736,0.749490048467757,0.7142857142857143,9
0.01,0.3,7,2,0.036480891438003794,0.7510751930192332,0.7142857142857143,9
0.01,0.3,7,3,0.038603490825680896,0.7517088011003968,0.7142857142857143,9
0.01,0.3,7,4,0.037220405139447875,0.7500600523034788,0.7142857142857143,9
0.01,1.0,0,0,0.12022766944617035,0.6023011338530647,0.2857142857142857,9
0.01,1.0,0,1,0.12073275238409391,0.6025999284548885,0.2857142857142857,9
0.01,1.0,0,2,0.10583500106329452,0.6027027175122286,0.2857142857142857,9
0.01,1.0,0,3,0.10561176803405145,0.6017754841349122,0.2857142857142857,9
0.01,1.0,0,4,0.10558464027778947,0.6024192423978396,0.2857142857142857,9
0.01,1.0,1,0,0.03398331395627982,0.7284445657856983,0.8571428571428571,9
0.01,1.0,1,1,0.033755770386143844,0.732421320471151,0.8571428571428571,9
0.01,1.0,1,2,0.03387286111744303,0.7313594145903576,0.8571428571428571,9
0.01,1.0,1,3,0.03386101700900684,0.730819873765863,0.8571428571428571,9
0.01,1.0,1,4,0.03394290638386454,0.7307368059037257,0.8571428571428571,9
