configuration,curvature_ratio,trials,exact_recovery_probability,exact_wilson_low,exact_wilson_high,joint_certificate_probability,joint_wilson_low,joint_wilson_high,mean_knot_f1,mean_localisation_error_widths,mean_baseline_mse,median_compression_ratio,median_elapsed_microseconds
"K=16,m=8,n=129",0.5,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.0,2.168404344971009e-19,0.0038267584855551234,0.00011764705882352942,14.0705,147.34964086422664,64.5,191.7
"K=16,m=8,n=129",0.75,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.0,2.168404344971009e-19,0.0038267584855551234,0.016177560543508183,2.941875,1462.8595222292342,16.125,225.9
"K=16,m=8,n=129",1.0,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.0,2.168404344971009e-19,0.0038267584855551234,0.22537931034482758,0.388875,1601.570406345902,7.588235294117647,247.85
"K=16,m=8,n=129",1.15,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.0,2.168404344971009e-19,0.0038267584855551234,0.5331333333333333,0.255,968.3184558253281,7.588235294117647,291.54999999999995
"K=16,m=8,n=129",1.3,1000,0.036,0.026115571407387315,0.04943566046720784,0.036,0.026115571407387315,0.04943566046720784,0.8163333333333335,0.192,410.7373305585644,7.588235294117647,415.15
"K=16,m=8,n=129",1.45,1000,0.433,0.4026038718810217,0.46390891375604265,0.433,0.4026038718810217,0.46390891375604265,0.9466666666666668,0.087875,128.81597539332466,7.588235294117647,412.79999999999995
"K=16,m=8,n=129",1.6,1000,0.891,0.8701675082488096,0.9088399666154863,0.89,0.8690945010531241,0.9079206273281428,0.9922000000000001,0.01575,22.352940985577145,7.588235294117647,300.9
"K=16,m=8,n=129",1.75,1000,0.98,0.9693099947702822,0.987016317083585,0.979,0.9681097049387625,0.9862242604320758,0.9986666666666667,0.002625,4.484100857763538,7.588235294117647,314.6
"K=16,m=8,n=129",1.9,1000,0.999,0.9943574414020421,0.9998234536293739,0.999,0.9943574414020421,0.9998234536293739,0.9999333333333333,0.000125,0.8763068713768842,7.588235294117647,485.4
"K=16,m=8,n=129",2.05,1000,1.0,0.996173241514445,1.0,0.998,0.9927371921365079,0.9994513564118793,1.0,0.0,0.6742813203310626,7.588235294117647,454.1
"K=16,m=8,n=129",2.25,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,1.0,0.0,0.660683888372879,7.588235294117647,372.75
"K=2,m=4,n=9",0.5,1000,0.002,0.000548643588120728,0.007262807863492177,0.002,0.000548643588120728,0.007262807863492177,0.002,2.21825,1.1253452427907842,4.5,145.45
"K=2,m=4,n=9",0.75,1000,0.026,0.017803938201616326,0.03782382884268993,0.026,0.017803938201616326,0.03782382884268993,0.026,1.76275,12.690907534195967,4.5,134.75
"K=2,m=4,n=9",1.0,1000,0.217,0.19256080207751963,0.24360514322530458,0.217,0.19256080207751963,0.24360514322530458,0.217,0.39875,55.08504308469287,3.0,259.79999999999995
"K=2,m=4,n=9",1.15,1000,0.463,0.43229566915425255,0.49398751097367855,0.463,0.43229566915425255,0.49398751097367855,0.463,0.19375,50.883214089238535,3.0,140.5
"K=2,m=4,n=9",1.3,1000,0.774,0.7470576210232625,0.7988453153266535,0.773,0.7460212141343303,0.7978893757325567,0.774,0.074,25.518633662389774,3.0,149.1
"K=2,m=4,n=9",1.45,1000,0.879,0.8573230993571588,0.8977762177107904,0.878,0.8562557152982502,0.8968512552866701,0.879,0.039,16.95374048902248,3.0,164.45
"K=2,m=4,n=9",1.6,1000,0.978,0.9669143266526004,0.985427292235209,0.975,0.9633547107321566,0.9830098687065659,0.978,0.00675,4.311953296836287,3.0,127.85
"K=2,m=4,n=9",1.75,1000,0.99,0.9816905311296853,0.9945592455544707,0.988,0.9791427315245017,0.9931223521935965,0.99,0.00325,2.7557896505531905,3.0,174.9
"K=2,m=4,n=9",1.9,1000,0.999,0.9943574414020421,0.9998234536293739,0.998,0.9927371921365079,0.9994513564118793,0.999,0.00025,0.9306062865217359,3.0,141.1
"K=2,m=4,n=9",2.05,1000,1.0,0.996173241514445,1.0,0.999,0.9943574414020421,0.9998234536293739,1.0,0.0,0.698019825035082,3.0,142.0
"K=2,m=4,n=9",2.25,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,1.0,0.0,0.707451812713147,3.0,291.75
"K=4,m=8,n=33",0.5,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.0,2.168404344971009e-19,0.0038267584855551234,0.0005,3.952875,25.951597492409725,16.5,163.9
"K=4,m=8,n=33",0.75,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.0,2.168404344971009e-19,0.0038267584855551234,0.0215,1.632875,720.2692352200921,11.0,179.5
"K=4,m=8,n=33",1.0,1000,0.009,0.0047420606674770625,0.01701581616533807,0.009,0.0047420606674770625,0.01701581616533807,0.22466666666666668,0.282125,1099.5864557534558,6.6,295.05
"K=4,m=8,n=33",1.15,1000,0.131,0.11149250620200898,0.15333164156033072,0.131,0.11149250620200898,0.15333164156033072,0.5203333333333332,0.1775,681.8569078787506,6.6,313.2
"K=4,m=8,n=33",1.3,1000,0.456,0.42535751292751345,0.4869792418192155,0.456,0.42535751292751345,0.4869792418192155,0.763,0.092,359.84724963164246,6.6,193.35000000000002
