run,conc_0.0488281,conc_0.195312,conc_0.390625,conc_0.78125,conc_1.5625,conc_3.125,conc_6.25,conc_12.5
1,0.0175,0.1225,0.2105,0.3755,0.6114999999999999,1.0099999999999998,1.3490000000000002,1.72
2,0.0475,0.13,0.216,0.392,0.6765000000000001,1.097,1.54,1.923
3,0.069,0.16899999999999998,0.2625,0.43,0.696,1.072,1.554,1.9435
4,0.0135,0.11299999999999999,0.203,0.362,0.63,0.976,1.4115,1.736
5,0.035,0.1335,0.222,0.3875,0.6525000000000001,1.0455,1.417,1.744
6,0.0945,0.19,0.2745,0.433,0.681,1.0670000000000002,1.4415,1.787
7,0.093,0.182,0.27749999999999997,0.4415,0.677,1.0434999999999999,1.4005,1.749
8,0.054,0.15,0.224,0.3875,0.651,1.0225,1.4235,1.7335
9,0.0375,0.1485,0.2405,0.4075,0.6645,1.036,1.4015,1.711
10,0.073,0.165,0.2575,0.439,0.6955,1.0585,1.373,1.7035
11,0.052000000000000005,0.157,0.249,0.419,0.694,0.987,1.403,1.718
