cell,signal,design,n,trials,target_left,target_right,target_diameter,generating_point_coverage,identified_set_coverage,identified_set_wilson_low,identified_set_wilson_high,point_vs_set_differences,median_width_among_nonempty,empty_probability
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,5000,0.2991025704064599,0.30169600362171384,0.0025934332152539596,0.9784,0.9784,0.9739880967674184,0.9820773660115512,0,0.17365269461077842,0.0178
paper_f1_cusp__uniform__n1000,paper_f1_cusp,uniform,1000,5000,0.29955110816314906,0.30084868943874826,0.0012975812755992022,0.9804,0.9804,0.9761726918525208,0.9838897001186685,0,0.11088911088911091,0.0182
paper_f1_cusp__beta_4_8__n500,paper_f1_cusp,beta_4_8,500,5000,0.2994911559277728,0.30041933524113373,0.0009281793133609217,0.9798,0.9798,0.9755163018279663,0.983347011385557,0,0.08774231249826636,0.0142
paper_f1_cusp__beta_4_8__n1000,paper_f1_cusp,beta_4_8,1000,5000,0.2996727102125305,0.30022458173641037,0.0005518715238798655,0.9772,0.9772,0.9726816973620263,0.9809856079016113,0,0.07117608785083024,0.0174
paper_f2_onset__uniform__n500,paper_f2_onset,uniform,500,5000,0.29999998093913377,0.3046180297021063,0.004618048762972504,0.9772,0.977,0.972464258435715,0.9808033539087004,1,0.7325349301397206,0.006
paper_f2_onset__uniform__n1000,paper_f2_onset,uniform,1000,5000,0.29999999761026486,0.3023113241862324,0.002311326575967554,0.9788,0.9786,0.9742061347688524,0.9822590209293391,1,0.6703296703296704,0.0066
paper_f2_onset__beta_4_8__n500,paper_f2_onset,beta_4_8,500,5000,0.2999999997872446,0.3013504756712264,0.0013504758839817943,0.9778,0.9778,0.9733345120945426,0.9815318719267608,0,0.8148959245379948,0.0038
paper_f2_onset__beta_4_8__n1000,paper_f2_onset,beta_4_8,1000,5000,0.29999999999375593,0.30060758342982014,0.0006075834360642074,0.9774,0.9774,0.9728992185701278,0.9811677796127317,0,0.7610542889260773,0.0054
paper_f3_jump__uniform__n500,paper_f3_jump,uniform,500,5000,0.2994011976047895,0.30139720558882327,0.0019960079840337652,0.9798,0.9798,0.9755163018279663,0.983347011385557,0,0.009980039920159722,0.0202
paper_f3_jump__uniform__n1000,paper_f3_jump,uniform,1000,5000,0.29970029970029927,0.3006993006993011,0.0009990009990018534,0.9786,0.9786,0.9742061347688524,0.9822590209293391,0,0.005994005994005958,0.0214
paper_f3_jump__beta_4_8__n500,paper_f3_jump,beta_4_8,500,5000,0.29955846702425454,0.30023851382821803,0.0006800468039634966,0.9784,0.9784,0.9739880967674184,0.9820773660115512,0,0.0034003578114527033,0.0214
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,5000,0.2997045313318521,0.3000448942271015,0.0003403628952494131,0.977,0.977,0.972464258435715,0.9808033539087004,0,0.002042193132494874,0.0228
paper_f4_logistic__uniform__n500,paper_f4_logistic,uniform,500,5000,0.2977794436005949,0.30281103938090054,0.005031595780305653,0.979,0.979,0.9746424826691497,0.9826220588674858,0,1.0,0.0006
paper_f4_logistic__uniform__n1000,paper_f4_logistic,uniform,1000,5000,0.29888861166568353,0.3014069258311129,0.0025183141654293584,0.9776,0.9776,0.9731168231198777,0.9813498679822039,0,0.999000999000999,0.0004
paper_f4_logistic__beta_4_8__n500,paper_f4_logistic,beta_4_8,500,5000,0.299070501578021,0.3007783861507503,0.0017078845727293013,0.9798,0.9798,0.9755163018279663,0.983347011385557,0,1.0,0.0004
paper_f4_logistic__beta_4_8__n1000,paper_f4_logistic,beta_4_8,1000,5000,0.29947215195631977,0.30034973496336353,0.0008775830070437696,0.9784,0.9784,0.9739880967674184,0.9820773660115512,0,1.0,0.0002
