cell,signal,design,n,trials,coverage,coverage_wilson_low,coverage_wilson_high,joint_contrast_coverage,joint_wilson_low,joint_wilson_high,mean_width,median_width,nontrivial_probability,empty_probability
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,5000,0.9784,0.9739880967674184,0.9820773660115512,0.9544,0.9482604246805078,0.9598418877918244,0.16862751792281858,0.17365269461077842,0.9822,0.0178
paper_f1_cusp__uniform__n1000,paper_f1_cusp,uniform,1000,5000,0.9804,0.9761726918525208,0.9838897001186685,0.9608,0.9550574231485996,0.9658350627388358,0.1217826785152106,0.11088911088911091,0.9818,0.0182
paper_f1_cusp__beta_4_8__n500,paper_f1_cusp,beta_4_8,500,5000,0.9798,0.9755163018279663,0.983347011385557,0.9572,0.9512298846365752,0.9624681287048646,0.09459792639086428,0.08774231249826636,0.9858,0.0142
paper_f1_cusp__beta_4_8__n1000,paper_f1_cusp,beta_4_8,1000,5000,0.9772,0.9726816973620263,0.9809856079016113,0.9542,0.9480485542546059,0.9596540652985045,0.06983417271828068,0.07117608785083024,0.9826,0.0174
paper_f2_onset__uniform__n500,paper_f2_onset,uniform,500,5000,0.9772,0.9726816973620263,0.9809856079016113,0.9564,0.9503808291024459,0.961718412562106,0.7182122676176793,0.7325349301397206,0.994,0.006
paper_f2_onset__uniform__n1000,paper_f2_onset,uniform,1000,5000,0.9788,0.9744242629893666,0.9824405856280468,0.9572,0.9512298846365752,0.9624681287048646,0.6617918019166258,0.6703296703296704,0.9934,0.0066
paper_f2_onset__beta_4_8__n500,paper_f2_onset,beta_4_8,500,5000,0.9778,0.9733345120945426,0.9815318719267608,0.957,0.9510175715099949,0.9622807489122229,0.7881410226547986,0.8148959245379948,0.9954,0.0038
paper_f2_onset__beta_4_8__n1000,paper_f2_onset,beta_4_8,1000,5000,0.9774,0.9728992185701278,0.9811677796127317,0.9574,0.9514422309563567,0.9626554753043052,0.7623423747923631,0.7610542889260773,0.9946,0.0054
paper_f3_jump__uniform__n500,paper_f3_jump,uniform,500,5000,0.9798,0.9755163018279663,0.983347011385557,0.9604,0.9546315666979023,0.9654615333510893,0.010737455482992007,0.009980039920159722,0.9798,0.0202
paper_f3_jump__uniform__n1000,paper_f3_jump,uniform,1000,5000,0.9786,0.9742061347688524,0.9822590209293391,0.9618,0.9561227277633483,0.9667682227201971,0.0057224606580829705,0.005994005994005958,0.9786,0.0214
paper_f3_jump__beta_4_8__n500,paper_f3_jump,beta_4_8,500,5000,0.9784,0.9739880967674184,0.9820773660115512,0.9598,0.9539930595435459,0.9649009617477796,0.004329577077438924,0.0034003578114527033,0.9786,0.0214
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,5000,0.977,0.972464258435715,0.9808033539087004,0.9574,0.9514422309563567,0.9626554753043052,0.001956103467980328,0.002042193132494874,0.9772,0.0228
paper_f4_logistic__uniform__n500,paper_f4_logistic,uniform,500,5000,0.979,0.9746424826691497,0.9826220588674858,0.9596,0.9537802967754346,0.964714031596669,0.9770289319300162,1.0,0.1888,0.0006
paper_f4_logistic__uniform__n1000,paper_f4_logistic,uniform,1000,5000,0.9776,0.9731168231198777,0.9813498679822039,0.9524,0.9461430548218944,0.957962328458218,0.9666661869543023,0.999000999000999,0.5546,0.0004
paper_f4_logistic__beta_4_8__n500,paper_f4_logistic,beta_4_8,500,5000,0.9798,0.9755163018279663,0.983347011385557,0.9616,0.9559095898889262,0.9665816676753972,0.9790869727176656,1.0,0.0382,0.0004
paper_f4_logistic__beta_4_8__n1000,paper_f4_logistic,beta_4_8,1000,5000,0.9784,0.9739880967674184,0.9820773660115512,0.9562,0.9501686465740613,0.9615309021712688,0.9778812697476873,1.0,0.0436,0.0002
