cell,signal,design,n,trials,sci_coverage,sci_median_width,sci_mean_width,sci_empty_probability,pbp_coverage,pbp_median_width,pbp_mean_width,pbp_empty_probability
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,200,0.985,0.17365269461077845,0.1711526442065364,0.01,1.0,0.4121756487025948,0.42048902195608784,0.0
paper_f1_cusp__uniform__n1000,paper_f1_cusp,uniform,1000,200,0.965,0.11088911088911091,0.11940121733936168,0.03,1.0,0.38611388611388614,0.38073926073926073,0.0
paper_f1_cusp__beta_4_8__n500,paper_f1_cusp,beta_4_8,500,200,0.95,0.08774231249826636,0.0967228439777017,0.04,1.0,0.31512511894905765,0.31204738459901266,0.0
paper_f1_cusp__beta_4_8__n1000,paper_f1_cusp,beta_4_8,1000,200,0.995,0.07117608785083024,0.07066554139339595,0.005,1.0,0.2934318995258187,0.29382913881477235,0.0
paper_f2_onset__uniform__n500,paper_f2_onset,uniform,500,200,0.975,0.7325349301397206,0.7073491208537698,0.005,0.995,0.996007984031936,0.9717964071856285,0.0
paper_f2_onset__uniform__n1000,paper_f2_onset,uniform,1000,200,0.98,0.6703296703296704,0.6625274725274726,0.0,1.0,0.9980019980019981,0.9747802197802199,0.0
paper_f2_onset__beta_4_8__n500,paper_f2_onset,beta_4_8,500,200,0.98,0.5459779173571657,0.5183165523849266,0.005,1.0,0.677567211718936,0.6696604305487699,0.0
paper_f2_onset__beta_4_8__n1000,paper_f2_onset,beta_4_8,1000,200,0.985,0.5170364799663607,0.5276871938760843,0.0,1.0,0.7115563708289641,0.7013442124588576,0.0
paper_f3_jump__uniform__n500,paper_f3_jump,uniform,500,200,0.965,0.009980039920159722,0.011386553318234039,0.035,1.0,0.017964071856287456,0.02166666666666669,0.0
paper_f3_jump__uniform__n1000,paper_f3_jump,uniform,1000,200,0.98,0.004995004995004992,0.005841097677832367,0.02,0.995,0.00899100899100902,0.012058293465328636,0.005
paper_f3_jump__beta_4_8__n500,paper_f3_jump,beta_4_8,500,200,0.975,0.0040804162758545925,0.0044573160448147554,0.025,0.995,0.00680109291448594,0.0074343036992333385,0.005
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,200,0.985,0.0017018320369563411,0.0019748233801115873,0.015,1.0,0.0034037052857954775,0.0039927184956074675,0.0
paper_f4_logistic__uniform__n500,paper_f4_logistic,uniform,500,200,0.97,0.996007984031936,0.977275449101796,0.0,1.0,0.996007984031936,0.9960079840319358,0.0
paper_f4_logistic__uniform__n1000,paper_f4_logistic,uniform,1000,200,0.965,0.9980019980019981,0.96015984015984,0.0,1.0,0.9980019980019981,0.9980019980019981,0.0
paper_f4_logistic__beta_4_8__n500,paper_f4_logistic,beta_4_8,500,200,0.975,0.677567211718936,0.6566795845709948,0.0,1.0,0.677567211718936,0.6751500454772931,0.0
paper_f4_logistic__beta_4_8__n1000,paper_f4_logistic,beta_4_8,1000,200,0.975,0.7115563708289641,0.6915459148875178,0.0,1.0,0.7115563708289641,0.711556370828964,0.0
