cell,signal,design,n,trials,target_left,target_right,sci_identified_set_coverage,sci_wilson_low,sci_wilson_high,pbp_identified_set_coverage,pbp_wilson_low,pbp_wilson_high,sci_empty_probability,pbp_empty_probability,sci_median_width_among_own_nonempty,pbp_median_width_among_own_nonempty,own_nonempty_width_reduction,both_nonempty_trials,sci_median_width_when_both_nonempty,pbp_median_width_when_both_nonempty,both_nonempty_width_reduction,point_vs_set_differences
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,200,0.2991025704064599,0.30169600362171384,0.985,0.9568342712073097,0.9948857622067417,1.0,0.9811546736227335,1.0,0.01,0.0,0.17365269461077845,0.4121756487025948,0.5786924939467313,198,0.17365269461077845,0.41417165668662675,0.580722891566265,0
paper_f1_cusp__uniform__n1000,paper_f1_cusp,uniform,1000,200,0.29955110816314906,0.30084868943874826,0.965,0.9295293884777092,0.9829444579914328,1.0,0.9811546736227335,1.0,0.03,0.0,0.11088911088911091,0.38611388611388614,0.7128072445019404,194,0.11088911088911091,0.3891108891108891,0.7150192554557124,0
paper_f1_cusp__beta_4_8__n500,paper_f1_cusp,beta_4_8,500,200,0.2994911559277728,0.30041933524113373,0.95,0.9104218518612239,0.972617354399236,1.0,0.9811546736227335,1.0,0.04,0.0,0.08774231249826636,0.31512511894905765,0.7215635719840836,192,0.08774231249826636,0.31426720151925674,0.7208034689140479,0
paper_f1_cusp__beta_4_8__n1000,paper_f1_cusp,beta_4_8,1000,200,0.2996727102125305,0.30022458173641037,0.995,0.9722262956021069,0.9991168312843989,1.0,0.9811546736227335,1.0,0.005,0.0,0.07117608785083024,0.2934318995258187,0.7574357526708935,199,0.07117608785083024,0.293465988590373,0.7574639289795876,0
paper_f2_onset__uniform__n500,paper_f2_onset,uniform,500,200,0.29999998093913377,0.3046180297021063,0.975,0.942821659593358,0.9892752803482386,0.995,0.9722262956021069,0.9991168312843989,0.005,0.0,0.7325349301397206,0.996007984031936,0.2645290581162324,199,0.7325349301397206,0.996007984031936,0.2645290581162324,0
paper_f2_onset__uniform__n1000,paper_f2_onset,uniform,1000,200,0.29999999761026486,0.3023113241862324,0.98,0.9497129130941735,0.9921955735836505,1.0,0.9811546736227335,1.0,0.0,0.0,0.6703296703296704,0.9980019980019981,0.32832832832832837,200,0.6703296703296704,0.9980019980019981,0.32832832832832837,0
paper_f2_onset__beta_4_8__n500,paper_f2_onset,beta_4_8,500,200,0.2999999997872446,0.3013504756712264,0.98,0.9497129130941735,0.9921955735836505,1.0,0.9811546736227335,1.0,0.005,0.0,0.5459779173571657,0.677567211718936,0.19420847420868892,199,0.5459779173571657,0.677567211718936,0.19420847420868892,0
paper_f2_onset__beta_4_8__n1000,paper_f2_onset,beta_4_8,1000,200,0.29999999999375593,0.30060758342982014,0.985,0.9568342712073097,0.9948857622067417,1.0,0.9811546736227335,1.0,0.0,0.0,0.5170364799663607,0.7115563708289641,0.2733724253441613,200,0.5170364799663607,0.7115563708289641,0.2733724253441613,0
paper_f3_jump__uniform__n500,paper_f3_jump,uniform,500,200,0.2994011976047895,0.30139720558882327,0.965,0.9295293884777092,0.9829444579914328,1.0,0.9811546736227335,1.0,0.035,0.0,0.009980039920159722,0.017964071856287456,0.4444444444444431,193,0.009980039920159722,0.017964071856287456,0.4444444444444431,0
paper_f3_jump__uniform__n1000,paper_f3_jump,uniform,1000,200,0.29970029970029927,0.3006993006993011,0.98,0.9497129130941735,0.9921955735836505,0.995,0.9722262956021069,0.9991168312843989,0.02,0.005,0.004995004995004992,0.00899100899100902,0.44444444444444653,196,0.004995004995004992,0.00899100899100902,0.44444444444444653,0
paper_f3_jump__beta_4_8__n500,paper_f3_jump,beta_4_8,500,200,0.29955846702425454,0.30023851382821803,0.975,0.942821659593358,0.9892752803482386,0.995,0.9722262956021069,0.9991168312843989,0.025,0.005,0.0040804162758545925,0.00680109291448594,0.40003521093447514,194,0.0040804162758545925,0.0061209382314859895,0.3333675130284751,0
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,200,0.2997045313318521,0.3000448942271015,0.985,0.9568342712073097,0.9948857622067417,1.0,0.9811546736227335,1.0,0.015,0.0,0.0017018320369563411,0.0034037052857954775,0.5000060539734399,197,0.0017018320369563411,0.0034037052857954775,0.5000060539734399,0
paper_f4_logistic__uniform__n500,paper_f4_logistic,uniform,500,200,0.2977794436005949,0.30281103938090054,0.97,0.9361057075454807,0.9861796856598887,1.0,0.9811546736227335,1.0,0.0,0.0,0.996007984031936,0.996007984031936,0.0,200,0.996007984031936,0.996007984031936,0.0,0
paper_f4_logistic__uniform__n1000,paper_f4_logistic,uniform,1000,200,0.29888861166568353,0.3014069258311129,0.965,0.9295293884777092,0.9829444579914328,1.0,0.9811546736227335,1.0,0.0,0.0,0.9980019980019981,0.9980019980019981,0.0,200,0.9980019980019981,0.9980019980019981,0.0,0
paper_f4_logistic__beta_4_8__n500,paper_f4_logistic,beta_4_8,500,200,0.299070501578021,0.3007783861507503,0.975,0.942821659593358,0.9892752803482386,1.0,0.9811546736227335,1.0,0.0,0.0,0.677567211718936,0.677567211718936,0.0,200,0.677567211718936,0.677567211718936,0.0,0
paper_f4_logistic__beta_4_8__n1000,paper_f4_logistic,beta_4_8,1000,200,0.29947215195631977,0.30034973496336353,0.975,0.942821659593358,0.9892752803482386,1.0,0.9811546736227335,1.0,0.0,0.0,0.7115563708289641,0.7115563708289641,0.0,200,0.7115563708289641,0.7115563708289641,0.0,0
