cell,trial,method,covered,left,right,width,empty
paper_f1_cusp__uniform__n500,0,SCI,True,0.20958083832335328,0.3992015968063872,0.18962075848303395,False
paper_f1_cusp__uniform__n500,0,PBP,True,0.08582834331337326,0.5968063872255489,0.5109780439121756,False
paper_f1_cusp__uniform__n500,1,SCI,True,0.24151696606786427,0.3992015968063872,0.15768463073852296,False
paper_f1_cusp__uniform__n500,1,PBP,True,0.1217564870259481,0.564870259481038,0.44311377245508987,False
paper_f1_cusp__uniform__n500,2,SCI,True,0.25748502994011974,0.35129740518962077,0.09381237524950103,False
paper_f1_cusp__uniform__n500,2,PBP,True,0.18363273453093812,0.437125748502994,0.2534930139720559,False
paper_f1_cusp__uniform__n500,3,SCI,True,0.1936127744510978,0.4151696606786427,0.22155688622754488,False
paper_f1_cusp__uniform__n500,3,PBP,True,0.13972055888223553,0.5848303393213573,0.44510978043912175,False
paper_f1_cusp__uniform__n500,4,SCI,True,0.20958083832335328,0.36726546906187624,0.15768463073852296,False
paper_f1_cusp__uniform__n500,4,PBP,True,0.11976047904191617,0.47904191616766467,0.3592814371257485,False
paper_f1_cusp__uniform__n500,5,SCI,True,0.20958083832335328,0.3992015968063872,0.18962075848303395,False
paper_f1_cusp__uniform__n500,5,PBP,True,0.13373253493013973,0.5528942115768463,0.41916167664670656,False
paper_f1_cusp__uniform__n500,6,SCI,True,0.24151696606786427,0.35129740518962077,0.1097804391217565,False
paper_f1_cusp__uniform__n500,6,PBP,True,0.05788423153692615,0.656686626746507,0.5988023952095809,False
paper_f1_cusp__uniform__n500,7,SCI,True,0.22554890219560877,0.3992015968063872,0.17365269461077845,False
paper_f1_cusp__uniform__n500,7,PBP,True,0.1437125748502994,0.562874251497006,0.41916167664670656,False
paper_f1_cusp__uniform__n500,8,SCI,True,0.249500998003992,0.3992015968063872,0.14970059880239522,False
paper_f1_cusp__uniform__n500,8,PBP,True,0.1536926147704591,0.4590818363273453,0.3053892215568862,False
paper_f1_cusp__uniform__n500,9,SCI,True,0.20958083832335328,0.4151696606786427,0.2055888223552894,False
paper_f1_cusp__uniform__n500,9,PBP,True,0.05788423153692615,0.626746506986028,0.5688622754491018,False
paper_f1_cusp__uniform__n500,10,SCI,True,0.22554890219560877,0.3992015968063872,0.17365269461077845,False
paper_f1_cusp__uniform__n500,10,PBP,True,0.12574850299401197,0.5149700598802395,0.3892215568862275,False
paper_f1_cusp__uniform__n500,11,SCI,True,0.22554890219560877,0.4151696606786427,0.18962075848303392,False
paper_f1_cusp__uniform__n500,11,PBP,True,0.15768463073852296,0.5129740518962076,0.35528942115768464,False
paper_f1_cusp__uniform__n500,12,SCI,True,0.1936127744510978,0.3592814371257485,0.1656686626746507,False
paper_f1_cusp__uniform__n500,12,PBP,True,0.1377245508982036,0.5449101796407185,0.40718562874251496,False
paper_f1_cusp__uniform__n500,13,SCI,True,0.249500998003992,0.3992015968063872,0.14970059880239522,False
paper_f1_cusp__uniform__n500,13,PBP,True,0.17764471057884232,0.5149700598802395,0.3373253493013971,False
paper_f1_cusp__uniform__n500,14,SCI,True,0.20958083832335328,0.3592814371257485,0.14970059880239522,False
paper_f1_cusp__uniform__n500,14,PBP,True,0.18363273453093812,0.469061876247505,0.28542914171656686,False
paper_f1_cusp__uniform__n500,15,SCI,True,0.20958083832335328,0.3992015968063872,0.18962075848303395,False
paper_f1_cusp__uniform__n500,15,PBP,True,0.13972055888223553,0.5189620758483033,0.3792415169660678,False
paper_f1_cusp__uniform__n500,16,SCI,True,0.24151696606786427,0.4151696606786427,0.17365269461077842,False
paper_f1_cusp__uniform__n500,16,PBP,True,0.10978043912175649,0.5508982035928144,0.4411177644710579,False
paper_f1_cusp__uniform__n500,17,SCI,True,0.20958083832335328,0.4151696606786427,0.2055888223552894,False
paper_f1_cusp__uniform__n500,17,PBP,True,0.15568862275449102,0.5209580838323353,0.3652694610778443,False
paper_f1_cusp__uniform__n500,18,SCI,True,0.24151696606786427,0.3992015968063872,0.15768463073852296,False
paper_f1_cusp__uniform__n500,18,PBP,True,0.13373253493013973,0.5169660678642715,0.38323353293413176,False
paper_f1_cusp__uniform__n500,19,SCI,True,0.1936127744510978,0.3992015968063872,0.2055888223552894,False
paper_f1_cusp__uniform__n500,19,PBP,True,0.023952095808383235,0.6447105788423154,0.6207584830339322,False
paper_f1_cusp__uniform__n500,20,SCI,True,0.281437125748503,0.36726546906187624,0.08582834331337325,False
paper_f1_cusp__uniform__n500,20,PBP,True,0.16766467065868262,0.5149700598802395,0.34730538922155685,False
paper_f1_cusp__uniform__n500,21,SCI,True,0.22554890219560877,0.4151696606786427,0.18962075848303392,False
paper_f1_cusp__uniform__n500,21,PBP,True,0.07385229540918163,0.6167664670658682,0.5429141716566867,False
paper_f1_cusp__uniform__n500,22,SCI,True,0.24151696606786427,0.3992015968063872,0.15768463073852296,False
paper_f1_cusp__uniform__n500,22,PBP,True,0.08582834331337326,0.590818363273453,0.5049900199600798,False
paper_f1_cusp__uniform__n500,23,SCI,True,0.20958083832335328,0.4151696606786427,0.2055888223552894,False
paper_f1_cusp__uniform__n500,23,PBP,True,0.0718562874251497,0.6067864271457086,0.5349301397205589,False
paper_f1_cusp__uniform__n500,24,SCI,True,0.20958083832335328,0.4151696606786427,0.2055888223552894,False
paper_f1_cusp__uniform__n500,24,PBP,True,0.13972055888223553,0.5588822355289421,0.41916167664670656,False
paper_f1_cusp__uniform__n500,25,SCI,True,0.24151696606786427,0.4151696606786427,0.17365269461077842,False
paper_f1_cusp__uniform__n500,25,PBP,True,0.13572854291417166,0.5249500998003992,0.3892215568862275,False
paper_f1_cusp__uniform__n500,26,SCI,True,0.24151696606786427,0.4151696606786427,0.17365269461077842,False
paper_f1_cusp__uniform__n500,26,PBP,True,0.11377245508982035,0.5588822355289421,0.44510978043912175,False
paper_f1_cusp__uniform__n500,27,SCI,True,0.24151696606786427,0.4151696606786427,0.17365269461077842,False
paper_f1_cusp__uniform__n500,27,PBP,True,0.1157684630738523,0.5409181636726547,0.42514970059880236,False
paper_f1_cusp__uniform__n500,28,SCI,True,0.20958083832335328,0.36726546906187624,0.15768463073852296,False
paper_f1_cusp__uniform__n500,28,PBP,True,0.12974051896207583,0.5668662674650699,0.437125748502994,False
paper_f1_cusp__uniform__n500,29,SCI,True,0.20958083832335328,0.3992015968063872,0.18962075848303395,False
paper_f1_cusp__uniform__n500,29,PBP,True,0.09780439121756487,0.5668662674650699,0.46906187624750495,False
paper_f1_cusp__uniform__n500,30,SCI,True,0.24151696606786427,0.4151696606786427,0.17365269461077842,False
paper_f1_cusp__uniform__n500,30,PBP,True,0.05189620758483034,0.6187624750499002,0.5668662674650699,False
paper_f1_cusp__uniform__n500,31,SCI,True,0.22554890219560877,0.3992015968063872,0.17365269461077845,False
paper_f1_cusp__uniform__n500,31,PBP,True,0.08582834331337326,0.590818363273453,0.5049900199600798,False
paper_f1_cusp__uniform__n500,32,SCI,True,0.20958083832335328,0.4151696606786427,0.2055888223552894,False
paper_f1_cusp__uniform__n500,32,PBP,True,0.12375249500998003,0.5329341317365269,0.4091816367265469,False
paper_f1_cusp__uniform__n500,33,SCI,True,0.20958083832335328,0.36726546906187624,0.15768463073852296,False
paper_f1_cusp__uniform__n500,33,PBP,True,0.1596806387225549,0.5289421157684631,0.36926147704590817,False
paper_f1_cusp__uniform__n500,34,SCI,True,0.24151696606786427,0.3992015968063872,0.15768463073852296,False
paper_f1_cusp__uniform__n500,34,PBP,True,0.07584830339321358,0.6207584830339321,0.5449101796407185,False
paper_f1_cusp__uniform__n500,35,SCI,True,0.20958083832335328,0.4151696606786427,0.2055888223552894,False
paper_f1_cusp__uniform__n500,35,PBP,True,0.1377245508982036,0.5528942115768463,0.4151696606786427,False
paper_f1_cusp__uniform__n500,36,SCI,True,0.20958083832335328,0.3992015968063872,0.18962075848303395,False
paper_f1_cusp__uniform__n500,36,PBP,True,0.10778443113772455,0.5528942115768463,0.4451097804391217,False
paper_f1_cusp__uniform__n500,37,SCI,True,0.22554890219560877,0.36726546906187624,0.14171656686626746,False
paper_f1_cusp__uniform__n500,37,PBP,True,0.09580838323353294,0.5948103792415169,0.499001996007984,False
paper_f1_cusp__uniform__n500,38,SCI,True,0.20958083832335328,0.4151696606786427,0.2055888223552894,False
paper_f1_cusp__uniform__n500,38,PBP,True,0.14770459081836326,0.5089820359281437,0.36127744510978044,False
paper_f1_cusp__uniform__n500,39,SCI,True,0.27345309381237526,0.35528942115768464,0.08183632734530938,False
paper_f1_cusp__uniform__n500,39,PBP,True,0.19560878243512975,0.4031936127744511,0.20758483033932135,False
paper_f1_cusp__uniform__n500,40,SCI,False,0.20958083832335328,0.17564870259481039,nan,True
paper_f1_cusp__uniform__n500,40,PBP,True,0.16966067864271456,0.5668662674650699,0.3972055888223553,False
paper_f1_cusp__uniform__n500,41,SCI,True,0.20958083832335328,0.4151696606786427,0.2055888223552894,False
paper_f1_cusp__uniform__n500,41,PBP,True,0.08383233532934131,0.5369261477045908,0.4530938123752495,False
paper_f1_cusp__uniform__n500,42,SCI,False,0.3413173652694611,0.3992015968063872,0.05788423153692612,False
paper_f1_cusp__uniform__n500,42,PBP,True,0.14770459081836326,0.5029940119760479,0.3552894211576846,False
paper_f1_cusp__uniform__n500,43,SCI,True,0.1936127744510978,0.4151696606786427,0.22155688622754488,False
paper_f1_cusp__uniform__n500,43,PBP,True,0.031936127744510975,0.6167664670658682,0.5848303393213573,False
paper_f1_cusp__uniform__n500,44,SCI,True,0.24151696606786427,0.33532934131736525,0.09381237524950098,False
paper_f1_cusp__uniform__n500,44,PBP,True,0.1317365269461078,0.530938123752495,0.3992015968063872,False
paper_f1_cusp__uniform__n500,45,SCI,True,0.22554890219560877,0.3992015968063872,0.17365269461077845,False
paper_f1_cusp__uniform__n500,45,PBP,True,0.13572854291417166,0.5249500998003992,0.3892215568862275,False
paper_f1_cusp__uniform__n500,46,SCI,True,0.22554890219560877,0.3992015968063872,0.17365269461077845,False
paper_f1_cusp__uniform__n500,46,PBP,True,0.1277445109780439,0.5688622754491018,0.44111776447105794,False
paper_f1_cusp__uniform__n500,47,SCI,True,0.22554890219560877,0.3992015968063872,0.17365269461077845,False
paper_f1_cusp__uniform__n500,47,PBP,True,0.13373253493013973,0.4870259481037924,0.3532934131736527,False
paper_f1_cusp__uniform__n500,48,SCI,True,0.22554890219560877,0.3992015968063872,0.17365269461077845,False
paper_f1_cusp__uniform__n500,48,PBP,True,0.09181636726546906,0.5469061876247505,0.45508982035928147,False
paper_f1_cusp__uniform__n500,49,SCI,True,0.20958083832335328,0.36726546906187624,0.15768463073852296,False
paper_f1_cusp__uniform__n500,49,PBP,True,0.11976047904191617,0.5109780439121756,0.39121756487025944,False
paper_f1_cusp__uniform__n500,50,SCI,True,0.24151696606786427,0.36726546906187624,0.12574850299401197,False
paper_f1_cusp__uniform__n500,50,PBP,True,0.1217564870259481,0.5429141716566867,0.42115768463073855,False
paper_f1_cusp__uniform__n500,51,SCI,True,0.20958083832335328,0.3992015968063872,0.18962075848303395,False
paper_f1_cusp__uniform__n500,51,PBP,True,0.1157684630738523,0.49500998003992014,0.37924151696606784,False
paper_f1_cusp__uniform__n500,52,SCI,True,0.22554890219560877,0.4151696606786427,0.18962075848303392,False
paper_f1_cusp__uniform__n500,52,PBP,True,0.17165668662674652,0.5189620758483033,0.34730538922155685,False
paper_f1_cusp__uniform__n500,53,SCI,True,0.24151696606786427,0.4151696606786427,0.17365269461077842,False
paper_f1_cusp__uniform__n500,53,PBP,True,0.1157684630738523,0.5249500998003992,0.4091816367265469,False
paper_f1_cusp__uniform__n500,54,SCI,True,0.20958083832335328,0.4151696606786427,0.2055888223552894,False
paper_f1_cusp__uniform__n500,54,PBP,True,0.12574850299401197,0.6027944111776448,0.4770459081836328,False
paper_f1_cusp__uniform__n500,55,SCI,True,0.20958083832335328,0.36726546906187624,0.15768463073852296,False
paper_f1_cusp__uniform__n500,55,PBP,True,0.1656686626746507,0.45109780439121755,0.28542914171656686,False
paper_f1_cusp__uniform__n500,56,SCI,True,0.25748502994011974,0.3592814371257485,0.10179640718562877,False
paper_f1_cusp__uniform__n500,56,PBP,True,0.08383233532934131,0.5968063872255489,0.5129740518962076,False
paper_f1_cusp__uniform__n500,57,SCI,True,0.22554890219560877,0.3992015968063872,0.17365269461077845,False
paper_f1_cusp__uniform__n500,57,PBP,True,0.0998003992015968,0.5389221556886228,0.439121756487026,False
paper_f1_cusp__uniform__n500,58,SCI,True,0.20958083832335328,0.3992015968063872,0.18962075848303395,False
paper_f1_cusp__uniform__n500,58,PBP,True,0.07584830339321358,0.6067864271457086,0.530938123752495,False
paper_f1_cusp__uniform__n500,59,SCI,True,0.20958083832335328,0.4151696606786427,0.2055888223552894,False
paper_f1_cusp__uniform__n500,59,PBP,True,0.09780439121756487,0.5349301397205589,0.437125748502994,False
paper_f1_cusp__uniform__n500,60,SCI,True,0.22554890219560877,0.3992015968063872,0.17365269461077845,False
paper_f1_cusp__uniform__n500,60,PBP,True,0.05389221556886228,0.6407185628742516,0.5868263473053893,False
paper_f1_cusp__uniform__n500,61,SCI,True,0.24151696606786427,0.4151696606786427,0.17365269461077842,False
paper_f1_cusp__uniform__n500,61,PBP,True,0.15568862275449102,0.5109780439121756,0.3552894211576846,False
paper_f1_cusp__uniform__n500,62,SCI,True,0.20958083832335328,0.36726546906187624,0.15768463073852296,False
paper_f1_cusp__uniform__n500,62,PBP,True,0.1497005988023952,0.530938123752495,0.3812375249500999,False
paper_f1_cusp__uniform__n500,63,SCI,True,0.20958083832335328,0.3992015968063872,0.18962075848303395,False
paper_f1_cusp__uniform__n500,63,PBP,True,0.09181636726546906,0.5329341317365269,0.4411177644710579,False
paper_f1_cusp__uniform__n500,64,SCI,True,0.22554890219560877,0.31137724550898205,0.08582834331337327,False
paper_f1_cusp__uniform__n500,64,PBP,True,0.08782435129740519,0.5888223552894212,0.500998003992016,False
paper_f1_cusp__uniform__n500,65,SCI,True,0.24151696606786427,0.4151696606786427,0.17365269461077842,False
paper_f1_cusp__uniform__n500,65,PBP,True,0.13572854291417166,0.5349301397205589,0.3992015968063872,False
paper_f1_cusp__uniform__n500,66,SCI,True,0.20958083832335328,0.4151696606786427,0.2055888223552894,False
paper_f1_cusp__uniform__n500,66,PBP,True,0.13572854291417166,0.5169660678642715,0.38123752495009977,False
paper_f1_cusp__uniform__n500,67,SCI,True,0.20958083832335328,0.4151696606786427,0.2055888223552894,False
paper_f1_cusp__uniform__n500,67,PBP,True,0.13373253493013973,0.5728542914171657,0.439121756487026,False
paper_f1_cusp__uniform__n500,68,SCI,True,0.22554890219560877,0.4151696606786427,0.18962075848303392,False
paper_f1_cusp__uniform__n500,68,PBP,True,0.11377245508982035,0.5429141716566867,0.4291417165668663,False
paper_f1_cusp__uniform__n500,69,SCI,True,0.22554890219560877,0.3992015968063872,0.17365269461077845,False
paper_f1_cusp__uniform__n500,69,PBP,True,0.12375249500998003,0.5329341317365269,0.4091816367265469,False
paper_f1_cusp__uniform__n500,70,SCI,True,0.20958083832335328,0.4151696606786427,0.2055888223552894,False
paper_f1_cusp__uniform__n500,70,PBP,True,0.06786427145708583,0.5868263473053892,0.5189620758483033,False
paper_f1_cusp__uniform__n500,71,SCI,True,0.22554890219560877,0.3992015968063872,0.17365269461077845,False
paper_f1_cusp__uniform__n500,71,PBP,True,0.13972055888223553,0.5169660678642715,0.3772455089820359,False
paper_f1_cusp__uniform__n500,72,SCI,True,0.20958083832335328,0.4151696606786427,0.2055888223552894,False
paper_f1_cusp__uniform__n500,72,PBP,True,0.07984031936127745,0.5728542914171657,0.49301397205588826,False
paper_f1_cusp__uniform__n500,73,SCI,True,0.1936127744510978,0.36726546906187624,0.17365269461077842,False
