cell,signal,design,n,trials,sci_coverage,sci_wilson_low,sci_wilson_high,pbp_coverage,pbp_wilson_low,pbp_wilson_high,median_width_reduction,bootstrap_reduction_low,bootstrap_reduction_high
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,200,0.985,0.9568342712073097,0.9948857622067417,1.0,0.9811546736227335,1.0,0.5786924939467313,0.5671641791044777,0.5953488372093023
paper_f1_cusp__uniform__n1000,paper_f1_cusp,uniform,1000,200,0.965,0.9295293884777092,0.9829444579914328,1.0,0.9811546736227335,1.0,0.7128072445019404,0.6901041666666667,0.7196969696969696
paper_f1_cusp__beta_4_8__n500,paper_f1_cusp,beta_4_8,500,200,0.95,0.9104218518612239,0.972617354399236,1.0,0.9811546736227335,1.0,0.7215635719840836,0.6739400018435155,0.7288384596060234
paper_f1_cusp__beta_4_8__n1000,paper_f1_cusp,beta_4_8,1000,200,0.995,0.9722262956021069,0.9991168312843989,1.0,0.9811546736227335,1.0,0.7574357526708935,0.7512461624830056,0.767087711940261
paper_f2_onset__uniform__n500,paper_f2_onset,uniform,500,200,0.975,0.942821659593358,0.9892752803482386,0.995,0.9722262956021069,0.9991168312843989,0.2645290581162324,0.2645290581162324,0.29659318637274545
paper_f2_onset__uniform__n1000,paper_f2_onset,uniform,1000,200,0.98,0.9497129130941735,0.9921955735836505,1.0,0.9811546736227335,1.0,0.32832832832832837,0.2962962962962964,0.32832832832832837
paper_f2_onset__beta_4_8__n500,paper_f2_onset,beta_4_8,500,200,0.98,0.9497129130941735,0.9921955735836505,1.0,0.9811546736227335,1.0,0.19420847420868892,0.19420847420868892,0.236955066225361
paper_f2_onset__beta_4_8__n1000,paper_f2_onset,beta_4_8,1000,200,0.985,0.9568342712073097,0.9948857622067417,1.0,0.9811546736227335,1.0,0.2733724253441613,0.2669425122667708,0.2733724253441613
paper_f3_jump__uniform__n500,paper_f3_jump,uniform,500,200,0.965,0.9295293884777092,0.9829444579914328,1.0,0.9811546736227335,1.0,0.4444444444444431,0.33333333333333226,0.4736842105263144
paper_f3_jump__uniform__n1000,paper_f3_jump,uniform,1000,200,0.98,0.9497129130941735,0.9921955735836505,0.995,0.9722262956021069,0.9991168312843989,0.44444444444444653,0.3333333333333395,0.5
paper_f3_jump__beta_4_8__n500,paper_f3_jump,beta_4_8,500,200,0.975,0.942821659593358,0.9892752803482386,0.995,0.9722262956021069,0.9991168312843989,0.40003521093447514,0.3333601659113252,0.45458560059230324
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,200,0.985,0.9568342712073097,0.9948857622067417,1.0,0.9811546736227335,1.0,0.5000060539734399,0.40001006228551883,0.5000070847332032
paper_f4_logistic__uniform__n500,paper_f4_logistic,uniform,500,200,0.97,0.9361057075454807,0.9861796856598887,1.0,0.9811546736227335,1.0,0.0,0.0,0.0
paper_f4_logistic__uniform__n1000,paper_f4_logistic,uniform,1000,200,0.965,0.9295293884777092,0.9829444579914328,1.0,0.9811546736227335,1.0,0.0,0.0,0.0
paper_f4_logistic__beta_4_8__n500,paper_f4_logistic,beta_4_8,500,200,0.975,0.942821659593358,0.9892752803482386,1.0,0.9811546736227335,1.0,0.0,0.0,0.0
paper_f4_logistic__beta_4_8__n1000,paper_f4_logistic,beta_4_8,1000,200,0.975,0.942821659593358,0.9892752803482386,1.0,0.9811546736227335,1.0,0.0,0.0,0.0
