repetition,backend,workers,seconds,signals_per_second,pre_cpu_samples,pre_cpu_max,digest,exact_knots
0,process,8,6.6681019,575.8760225304895,"[12.3, 5.2, 5.6, 6.2, 11.2]",12.3,68e1a16d3c9fa2861111b8e8aecfb0c6c23cb5c8bac9a5e31deb4d373c079733,True
0,serial,1,13.6823526,280.6534893714112,"[8.2, 8.3, 11.1, 8.0, 2.8]",11.1,68e1a16d3c9fa2861111b8e8aecfb0c6c23cb5c8bac9a5e31deb4d373c079733,True
0,process,4,8.6694325,442.93556700510675,"[8.9, 8.2, 7.1, 19.6, 13.4]",19.6,68e1a16d3c9fa2861111b8e8aecfb0c6c23cb5c8bac9a5e31deb4d373c079733,True
0,process,2,11.9107622,322.3975036626959,"[7.2, 8.7, 3.6, 3.9, 16.8]",16.8,68e1a16d3c9fa2861111b8e8aecfb0c6c23cb5c8bac9a5e31deb4d373c079733,True
1,process,4,10.2836075,373.40981751783113,"[10.5, 9.3, 15.5, 6.6, 4.1]",15.5,68e1a16d3c9fa2861111b8e8aecfb0c6c23cb5c8bac9a5e31deb4d373c079733,True
1,process,2,11.986691,320.35530072477883,"[14.0, 8.0, 4.1, 9.5, 14.2]",14.2,68e1a16d3c9fa2861111b8e8aecfb0c6c23cb5c8bac9a5e31deb4d373c079733,True
1,serial,1,16.856455,227.80590580878362,"[2.2, 2.4, 10.2, 4.4, 4.2]",10.2,68e1a16d3c9fa2861111b8e8aecfb0c6c23cb5c8bac9a5e31deb4d373c079733,True
1,process,8,7.8340253,490.1694662640418,"[14.6, 8.6, 3.3, 6.1, 6.8]",14.6,68e1a16d3c9fa2861111b8e8aecfb0c6c23cb5c8bac9a5e31deb4d373c079733,True
2,process,8,6.9634099,551.4539651040792,"[7.4, 4.7, 10.7, 4.8, 6.4]",10.7,68e1a16d3c9fa2861111b8e8aecfb0c6c23cb5c8bac9a5e31deb4d373c079733,True
2,process,4,6.6307082,579.1236598226416,"[18.4, 3.7, 2.6, 11.5, 6.4]",18.4,68e1a16d3c9fa2861111b8e8aecfb0c6c23cb5c8bac9a5e31deb4d373c079733,True
2,process,2,8.7658332,438.0644614592941,"[1.6, 7.8, 5.3, 8.3, 2.8]",8.3,68e1a16d3c9fa2861111b8e8aecfb0c6c23cb5c8bac9a5e31deb4d373c079733,True
2,serial,1,10.733269,357.7661195298469,"[19.4, 10.6, 7.0, 8.7, 7.0]",19.4,68e1a16d3c9fa2861111b8e8aecfb0c6c23cb5c8bac9a5e31deb4d373c079733,True
