repetition,representation,backend,workers,seconds,signals_per_second,pre_cpu_percent,digest,exact_knots
0,sparse,thread,8,2.9471821,130.29395095742473,15.2,2aadbfdae86a2abf34b5821d0fd0e54884157fba46b6a23b7cd89edba159b62f,True
0,dense,serial,1,19.0029602,20.207378006296093,10.8,2aadbfdae86a2abf34b5821d0fd0e54884157fba46b6a23b7cd89edba159b62f,True
0,sparse,process,2,1.4962358,256.6440396627323,16.7,2aadbfdae86a2abf34b5821d0fd0e54884157fba46b6a23b7cd89edba159b62f,True
0,sparse,process,8,2.1393301,179.495441119629,5.9,2aadbfdae86a2abf34b5821d0fd0e54884157fba46b6a23b7cd89edba159b62f,True
0,sparse,process,16,4.4364561,86.55557303948076,18.5,2aadbfdae86a2abf34b5821d0fd0e54884157fba46b6a23b7cd89edba159b62f,True
0,sparse,process,4,1.6838198,228.0529068490583,19.7,2aadbfdae86a2abf34b5821d0fd0e54884157fba46b6a23b7cd89edba159b62f,True
0,sparse,thread,4,2.2803179,168.39757298752073,21.2,2aadbfdae86a2abf34b5821d0fd0e54884157fba46b6a23b7cd89edba159b62f,True
0,sparse,serial,1,1.1445601,335.5000755312019,9.5,2aadbfdae86a2abf34b5821d0fd0e54884157fba46b6a23b7cd89edba159b62f,True
1,sparse,process,2,1.3127557,292.5144411865818,4.1,2aadbfdae86a2abf34b5821d0fd0e54884157fba46b6a23b7cd89edba159b62f,True
1,sparse,process,8,1.6269391,236.0260442446801,22.9,2aadbfdae86a2abf34b5821d0fd0e54884157fba46b6a23b7cd89edba159b62f,True
1,sparse,thread,8,1.8901305,203.16057542058604,6.8,2aadbfdae86a2abf34b5821d0fd0e54884157fba46b6a23b7cd89edba159b62f,True
1,sparse,process,16,3.0102471,127.56427869326741,21.0,2aadbfdae86a2abf34b5821d0fd0e54884157fba46b6a23b7cd89edba159b62f,True
1,sparse,process,4,1.8113735,211.99382678392945,14.6,2aadbfdae86a2abf34b5821d0fd0e54884157fba46b6a23b7cd89edba159b62f,True
1,sparse,thread,4,1.6605864,231.24361370176223,12.6,2aadbfdae86a2abf34b5821d0fd0e54884157fba46b6a23b7cd89edba159b62f,True
1,sparse,serial,1,0.9445906,406.52532430451885,3.5,2aadbfdae86a2abf34b5821d0fd0e54884157fba46b6a23b7cd89edba159b62f,True
1,dense,serial,1,12.3498926,31.093387808085065,5.5,2aadbfdae86a2abf34b5821d0fd0e54884157fba46b6a23b7cd89edba159b62f,True
2,sparse,process,4,1.0933491,351.2144474258039,14.0,2aadbfdae86a2abf34b5821d0fd0e54884157fba46b6a23b7cd89edba159b62f,True
2,sparse,process,2,1.429962,268.53860452235796,5.3,2aadbfdae86a2abf34b5821d0fd0e54884157fba46b6a23b7cd89edba159b62f,True
2,dense,serial,1,13.7897245,27.846821740347313,12.0,2aadbfdae86a2abf34b5821d0fd0e54884157fba46b6a23b7cd89edba159b62f,True
2,sparse,thread,4,1.8037684,212.88764122932855,12.5,2aadbfdae86a2abf34b5821d0fd0e54884157fba46b6a23b7cd89edba159b62f,True
2,sparse,process,16,2.6702569,143.80638806700583,6.5,2aadbfdae86a2abf34b5821d0fd0e54884157fba46b6a23b7cd89edba159b62f,True
