repetition,representation,backend,workers,seconds,signals_per_second,pre_cpu_samples,pre_cpu_max,digest,exact_knots
0,sparse,process,2,0.943186,407.1307250107614,"[4.9, 9.0, 7.7, 7.5, 9.4]",9.4,2aadbfdae86a2abf34b5821d0fd0e54884157fba46b6a23b7cd89edba159b62f,True
0,sparse,serial,1,1.2086852,317.7005890367484,"[12.4, 7.7, 4.8, 6.0, 4.7]",12.4,2aadbfdae86a2abf34b5821d0fd0e54884157fba46b6a23b7cd89edba159b62f,True
0,sparse,process,8,1.4205073,270.32596031009484,"[9.6, 9.7, 6.3, 3.8, 11.8]",11.8,2aadbfdae86a2abf34b5821d0fd0e54884157fba46b6a23b7cd89edba159b62f,True
0,dense,serial,1,14.6774504,26.16258202446387,"[5.5, 4.4, 4.9, 13.9, 6.7]",13.9,2aadbfdae86a2abf34b5821d0fd0e54884157fba46b6a23b7cd89edba159b62f,True
0,sparse,process,4,1.0803849,355.428884650276,"[5.1, 6.2, 2.9, 11.1, 5.5]",11.1,2aadbfdae86a2abf34b5821d0fd0e54884157fba46b6a23b7cd89edba159b62f,True
1,sparse,process,4,0.9755452,393.6260462354794,"[4.7, 9.9, 13.3, 4.9, 5.5]",13.3,2aadbfdae86a2abf34b5821d0fd0e54884157fba46b6a23b7cd89edba159b62f,True
1,sparse,process,2,1.1616325,330.56926351492405,"[6.4, 18.0, 7.6, 9.7, 5.1]",18.0,2aadbfdae86a2abf34b5821d0fd0e54884157fba46b6a23b7cd89edba159b62f,True
1,dense,serial,1,14.460849,26.55445748724712,"[12.6, 13.4, 3.1, 6.1, 5.8]",13.4,2aadbfdae86a2abf34b5821d0fd0e54884157fba46b6a23b7cd89edba159b62f,True
1,sparse,process,8,1.7817071,215.5236402212238,"[15.2, 11.6, 7.4, 6.3, 5.7]",15.2,2aadbfdae86a2abf34b5821d0fd0e54884157fba46b6a23b7cd89edba159b62f,True
1,sparse,serial,1,1.5663927,245.14925280231452,"[18.8, 11.5, 5.0, 14.2, 12.3]",18.8,2aadbfdae86a2abf34b5821d0fd0e54884157fba46b6a23b7cd89edba159b62f,True
2,sparse,serial,1,1.49857,256.2442862195293,"[3.9, 6.9, 19.1, 8.7, 4.7]",19.1,2aadbfdae86a2abf34b5821d0fd0e54884157fba46b6a23b7cd89edba159b62f,True
2,sparse,process,2,1.5771492,243.47728166745415,"[9.5, 13.8, 2.9, 3.9, 11.0]",13.8,2aadbfdae86a2abf34b5821d0fd0e54884157fba46b6a23b7cd89edba159b62f,True
2,sparse,process,8,1.7896349,214.56890452907462,"[3.5, 3.0, 9.6, 8.8, 4.2]",9.6,2aadbfdae86a2abf34b5821d0fd0e54884157fba46b6a23b7cd89edba159b62f,True
2,dense,serial,1,14.4778847,26.523211640164533,"[16.5, 18.4, 8.6, 14.2, 7.8]",18.4,2aadbfdae86a2abf34b5821d0fd0e54884157fba46b6a23b7cd89edba159b62f,True
2,sparse,process,4,1.7358352,221.21915721031584,"[8.0, 14.4, 18.6, 17.6, 13.4]",18.6,2aadbfdae86a2abf34b5821d0fd0e54884157fba46b6a23b7cd89edba159b62f,True
3,sparse,serial,1,1.2166006,315.63357769180783,"[19.1, 15.4, 13.3, 16.7, 15.5]",19.1,2aadbfdae86a2abf34b5821d0fd0e54884157fba46b6a23b7cd89edba159b62f,True
3,sparse,process,2,1.2483328,307.61027828476506,"[3.9, 3.3, 15.8, 5.8, 6.1]",15.8,2aadbfdae86a2abf34b5821d0fd0e54884157fba46b6a23b7cd89edba159b62f,True
3,sparse,process,4,0.809126,474.58615839807396,"[4.4, 3.5, 8.0, 11.7, 3.6]",11.7,2aadbfdae86a2abf34b5821d0fd0e54884157fba46b6a23b7cd89edba159b62f,True
3,dense,serial,1,10.1399375,37.870055905176926,"[4.4, 4.2, 18.9, 3.8, 5.4]",18.9,2aadbfdae86a2abf34b5821d0fd0e54884157fba46b6a23b7cd89edba159b62f,True
3,sparse,process,8,1.1306407,339.6304413948657,"[4.5, 8.2, 7.6, 9.1, 2.8]",9.1,2aadbfdae86a2abf34b5821d0fd0e54884157fba46b6a23b7cd89edba159b62f,True
4,sparse,process,2,1.3148633,292.04556853933025,"[16.8, 15.8, 17.0, 10.9, 9.8]",17.0,2aadbfdae86a2abf34b5821d0fd0e54884157fba46b6a23b7cd89edba159b62f,True
4,sparse,process,4,0.8959792,428.58137778198426,"[17.5, 7.0, 7.6, 2.9, 9.1]",17.5,2aadbfdae86a2abf34b5821d0fd0e54884157fba46b6a23b7cd89edba159b62f,True
4,sparse,process,8,1.0982737,349.63962079762086,"[16.1, 4.8, 3.1, 14.2, 9.6]",16.1,2aadbfdae86a2abf34b5821d0fd0e54884157fba46b6a23b7cd89edba159b62f,True
4,sparse,serial,1,1.0162157,377.8725323767385,"[18.0, 3.9, 12.9, 4.3, 10.2]",18.0,2aadbfdae86a2abf34b5821d0fd0e54884157fba46b6a23b7cd89edba159b62f,True
4,dense,serial,1,9.8484983,38.99071597544978,"[4.2, 10.7, 4.9, 3.6, 5.4]",10.7,2aadbfdae86a2abf34b5821d0fd0e54884157fba46b6a23b7cd89edba159b62f,True
