noise_sigma,latent_index,method,mean_pairwise_jaccard,mean_knot_count,mean_target_knot_f1,mean_pointwise_baseline_variance
0.01,0,hcrd_raw,0.7366450240813561,100.7,0.12525223612257955,0.0005858751090719163
0.01,0,hcrd_robust,0.7222222222222222,2.6,0.15,0.01345219925466648
0.01,0,hcrd_guided,1.0,11.0,0.1,0.0007160556619728008
0.01,0,hcrd_adaptive_guided,0.9353535353535354,9.4,0.11249999999999998,0.0025518630648472093
0.01,1,hcrd_raw,0.7104571482705649,96.8,0.1337491423270952,0.0011763179620412642
0.01,1,hcrd_robust,0.9333333333333333,2.1,0.0,0.05627628719849266
0.01,1,hcrd_guided,1.0,11.0,0.4375,0.0009617456238985882
0.01,1,hcrd_adaptive_guided,1.0,11.0,0.4375,0.0014264041402781908
0.01,2,hcrd_raw,0.7715757666218763,104.7,0.11878036397319473,0.0002796304445150773
0.01,2,hcrd_robust,0.8814814814814814,2.2,0.05,0.005316065154411571
0.01,2,hcrd_guided,1.0,11.0,0.2375,0.0016540108766719705
0.01,2,hcrd_adaptive_guided,0.9533333333333333,9.3,0.2657142857142857,0.002884528507013766
0.01,3,hcrd_raw,0.7701319155574308,103.8,0.12917224788463194,0.00030476208653178123
0.01,3,hcrd_robust,1.0,2.0,0.0,2.6755977294465207e-05
0.01,3,hcrd_guided,1.0,11.0,0.6250000000000001,0.0007499664524433566
0.01,3,hcrd_adaptive_guided,0.9353535353535354,9.4,0.6964285714285715,0.002599864843763942
0.01,4,hcrd_raw,0.7916689297533182,105.7,0.12654086807451487,0.00022631219101864879
0.01,4,hcrd_robust,0.9333333333333331,2.1,0.0,0.0338573050166036
0.01,4,hcrd_guided,1.0,11.0,0.425,0.0006172955539479818
0.01,4,hcrd_adaptive_guided,0.9066666666666666,9.9,0.4430952380952381,0.0036674537219542956
0.01,5,hcrd_raw,0.7188554538126207,96.8,0.13187796531037346,0.00070994427510294
0.01,5,hcrd_robust,0.6962962962962962,2.7,0.125,0.022857986288976347
0.01,5,hcrd_guided,1.0,11.0,0.0125,0.0011470654987189779
0.01,5,hcrd_adaptive_guided,0.9353535353535354,9.4,0.0,0.004203557673795422
0.01,6,hcrd_raw,0.736215308398301,101.0,0.12640637323931475,0.00027142497924925084
0.01,6,hcrd_robust,1.0,2.0,0.0,8.218893671279165e-05
0.01,6,hcrd_guided,1.0,11.0,0.575,0.001132779271470363
0.01,6,hcrd_adaptive_guided,0.9636363636363637,10.8,0.5964285714285714,0.002343919618535154
0.01,7,hcrd_raw,0.7498554307254861,101.8,0.1293752700441693,0.0005939857169170965
0.01,7,hcrd_robust,0.9333333333333333,2.1,0.0,0.18306281437764557
0.01,7,hcrd_guided,1.0,11.0,0.3625,0.0005671142350478451
0.01,7,hcrd_adaptive_guided,0.9030303030303033,10.2,0.3821428571428572,0.0024306596496846368
0.01,8,hcrd_raw,0.7260929896827523,100.0,0.12571774387040707,0.0006678871264984282
0.01,8,hcrd_robust,0.9333333333333333,2.1,0.0,0.05932965719727568
0.01,8,hcrd_guided,1.0,11.0,0.5,0.0011762548483371597
0.01,8,hcrd_adaptive_guided,0.9030303030303033,10.2,0.5285714285714285,0.00329139353393002
0.01,9,hcrd_raw,0.7592453749198564,101.9,0.1291466601013005,0.0002897545712088264
0.01,9,hcrd_robust,0.8703703703703701,2.2,0.025,0.011743235495676366
0.01,9,hcrd_guided,1.0,11.0,0.525,0.0010548749099511005
0.01,9,hcrd_adaptive_guided,1.0,11.0,0.525,0.0010733799033337097
0.01,10,hcrd_raw,0.717988200000078,97.3,0.1333555410300718,0.0006446553079284414
0.01,10,hcrd_robust,0.9333333333333333,2.1,0.025,0.00021370582256066846
0.01,10,hcrd_guided,1.0,11.0,0.4375,0.0013725012756727962
0.01,10,hcrd_adaptive_guided,0.9325252525252524,9.4,0.5576190476190476,0.004640482510826148
0.01,11,hcrd_raw,0.761391754979156,102.8,0.12453603344557976,0.00030515111352823746
0.01,11,hcrd_robust,0.9333333333333333,2.1,0.0,0.021154564439021823
0.01,11,hcrd_guided,1.0,11.0,0.3875,0.0007847027458347571
0.01,11,hcrd_adaptive_guided,0.9159595959595959,10.3,0.4333333333333333,0.003266796564878202
0.01,12,hcrd_raw,0.737554573775967,100.6,0.1250583479151395,0.0005383110355369242
0.01,12,hcrd_robust,0.8703703703703703,2.2,0.05,0.03227237986115875
0.01,12,hcrd_guided,0.9515151515151514,10.4,0.38916666666666666,0.0014825135261499426
0.01,12,hcrd_adaptive_guided,0.9466666666666664,9.6,0.44000000000000006,0.002624316140242288
0.01,13,hcrd_raw,0.7406175339141607,101.3,0.12823476434964104,0.0005046041725304568
0.01,13,hcrd_robust,1.0,2.0,0.0,9.622497444465003e-05
0.01,13,hcrd_guided,1.0,11.0,0.6875,0.0007878267457047149
0.01,13,hcrd_adaptive_guided,1.0,11.0,0.6875,0.0009740755835225261
0.01,14,hcrd_raw,0.7097508263754376,98.2,0.13189788613560596,0.0004301922980647911
0.01,14,hcrd_robust,0.9333333333333333,2.1,0.025,0.008407682055844872
0.01,14,hcrd_guided,1.0,11.0,0.525,0.0013007841318879538
0.01,14,hcrd_adaptive_guided,1.0,11.0,0.525,0.0013162720151670968
0.01,15,hcrd_raw,0.7601000980318501,102.9,0.12811407466333405,0.00038314301803912956
0.01,15,hcrd_robust,1.0,2.0,0.0,6.877184353532617e-05
0.01,15,hcrd_guided,1.0,11.0,0.6375,0.0010563116868855477
0.01,15,hcrd_adaptive_guided,0.9030303030303033,9.8,0.6928571428571428,0.0027909474812699625
0.01,16,hcrd_raw,0.8019806127499828,106.5,0.12388087356237953,0.00022966199727148193
0.01,16,hcrd_robust,0.8444444444444444,2.3,0.075,8.51259119238036e-05
0.01,16,hcrd_guided,1.0,11.0,0.4125,0.0006713321679727101
0.01,16,hcrd_adaptive_guided,0.9800000000000002,9.1,0.45428571428571435,0.0010026099654669282
0.01,17,hcrd_raw,0.7480947653179087,100.5,0.12903679770912838,0.000773720718103214
0.01,17,hcrd_robust,1.0,2.0,0.0,9.03491653817637e-05
