latent_index,max_quadratic_guide_l2_ratio,max_quadratic_hard_l2_ratio,median_pairwise_knot_jaccard,method,noise_sigma
0,,,0.788135593220339,hcrd_raw,0.01
0,,,1.0,hcrd_robust,0.01
0,,,1.0,hcrd_gaussian_guided,0.01
0,,,1.0,hcrd_adaptive_guided,0.01
0,0.2655002925198346,0.24727316139849714,1.0,hcrd_quadratic_guided,0.01
1,,,0.7043478260869566,hcrd_raw,0.01
1,,,1.0,hcrd_robust,0.01
1,,,1.0,hcrd_gaussian_guided,0.01
1,,,1.0,hcrd_adaptive_guided,0.01
1,0.267339570515712,2.0719822118915263,1.0,hcrd_quadratic_guided,0.01
2,,,0.7610619469026548,hcrd_raw,0.01
2,,,0.6666666666666666,hcrd_robust,0.01
2,,,1.0,hcrd_gaussian_guided,0.01
2,,,1.0,hcrd_adaptive_guided,0.01
2,0.2895986785685398,0.2529978781399482,1.0,hcrd_quadratic_guided,0.01
3,,,0.7982456140350878,hcrd_raw,0.01
3,,,0.6666666666666666,hcrd_robust,0.01
3,,,1.0,hcrd_gaussian_guided,0.01
3,,,1.0,hcrd_adaptive_guided,0.01
3,0.27820223075244216,1.7543196321556631,1.0,hcrd_quadratic_guided,0.01
4,,,0.6991150442477876,hcrd_raw,0.01
4,,,1.0,hcrd_robust,0.01
4,,,1.0,hcrd_gaussian_guided,0.01
4,,,1.0,hcrd_adaptive_guided,0.01
4,0.28367347815856553,0.2567251534685987,1.0,hcrd_quadratic_guided,0.01
5,,,0.7372881355932204,hcrd_raw,0.01
5,,,1.0,hcrd_robust,0.01
5,,,1.0,hcrd_gaussian_guided,0.01
5,,,0.9090909090909091,hcrd_adaptive_guided,0.01
5,0.267579016753256,0.29301487690903927,1.0,hcrd_quadratic_guided,0.01
6,,,0.7431192660550459,hcrd_raw,0.01
6,,,0.6666666666666666,hcrd_robust,0.01
6,,,1.0,hcrd_gaussian_guided,0.01
6,,,1.0,hcrd_adaptive_guided,0.01
6,0.24301113216315318,2.2589623713780758,1.0,hcrd_quadratic_guided,0.01
7,,,0.7264957264957265,hcrd_raw,0.01
7,,,0.6666666666666666,hcrd_robust,0.01
7,,,1.0,hcrd_gaussian_guided,0.01
7,,,1.0,hcrd_adaptive_guided,0.01
7,0.3389897434814399,1.7601915390989489,1.0,hcrd_quadratic_guided,0.01
8,,,0.7207207207207207,hcrd_raw,0.01
8,,,1.0,hcrd_robust,0.01
8,,,1.0,hcrd_gaussian_guided,0.01
8,,,0.8181818181818182,hcrd_adaptive_guided,0.01
8,0.2871515430274527,0.2576748029738673,1.0,hcrd_quadratic_guided,0.01
9,,,0.7105263157894737,hcrd_raw,0.01
9,,,1.0,hcrd_robust,0.01
9,,,1.0,hcrd_gaussian_guided,0.01
9,,,1.0,hcrd_adaptive_guided,0.01
9,0.2629771877096572,2.062160588409202,1.0,hcrd_quadratic_guided,0.01
10,,,0.7586206896551724,hcrd_raw,0.01
10,,,1.0,hcrd_robust,0.01
10,,,1.0,hcrd_gaussian_guided,0.01
10,,,1.0,hcrd_adaptive_guided,0.01
10,0.2592858583734933,0.23790222630375268,1.0,hcrd_quadratic_guided,0.01
11,,,0.7565217391304347,hcrd_raw,0.01
11,,,1.0,hcrd_robust,0.01
11,,,1.0,hcrd_gaussian_guided,0.01
11,,,1.0,hcrd_adaptive_guided,0.01
11,0.308209018899688,0.2901114878225478,1.0,hcrd_quadratic_guided,0.01
12,,,0.7350427350427351,hcrd_raw,0.01
12,,,1.0,hcrd_robust,0.01
12,,,1.0,hcrd_gaussian_guided,0.01
12,,,1.0,hcrd_adaptive_guided,0.01
12,0.24595010120420452,2.164581940249925,1.0,hcrd_quadratic_guided,0.01
13,,,0.7350427350427351,hcrd_raw,0.01
13,,,1.0,hcrd_robust,0.01
13,,,1.0,hcrd_gaussian_guided,0.01
13,,,1.0,hcrd_adaptive_guided,0.01
13,0.2894815754910669,2.243047197123153,1.0,hcrd_quadratic_guided,0.01
14,,,0.7543859649122807,hcrd_raw,0.01
14,,,1.0,hcrd_robust,0.01
14,,,1.0,hcrd_gaussian_guided,0.01
14,,,0.9090909090909091,hcrd_adaptive_guided,0.01
14,0.250666782482801,0.242235473441578,1.0,hcrd_quadratic_guided,0.01
15,,,0.7280701754385965,hcrd_raw,0.01
15,,,0.6666666666666666,hcrd_robust,0.01
15,,,1.0,hcrd_gaussian_guided,0.01
15,,,1.0,hcrd_adaptive_guided,0.01
15,0.25505555173159994,0.24186326548435136,1.0,hcrd_quadratic_guided,0.01
16,,,0.7692307692307693,hcrd_raw,0.01
16,,,1.0,hcrd_robust,0.01
16,,,1.0,hcrd_gaussian_guided,0.01
16,,,1.0,hcrd_adaptive_guided,0.01
16,0.27063877596591857,0.28126486774316944,1.0,hcrd_quadratic_guided,0.01
17,,,0.7863247863247863,hcrd_raw,0.01
17,,,1.0,hcrd_robust,0.01
17,,,1.0,hcrd_gaussian_guided,0.01
17,,,1.0,hcrd_adaptive_guided,0.01
17,0.25223402021038405,0.21900976147329745,1.0,hcrd_quadratic_guided,0.01
18,,,0.7155963302752294,hcrd_raw,0.01
18,,,1.0,hcrd_robust,0.01
18,,,1.0,hcrd_gaussian_guided,0.01
18,,,1.0,hcrd_adaptive_guided,0.01
18,0.2958486115259378,2.173934840641201,1.0,hcrd_quadratic_guided,0.01
19,,,0.7478260869565218,hcrd_raw,0.01
19,,,1.0,hcrd_robust,0.01
19,,,1.0,hcrd_gaussian_guided,0.01
19,,,1.0,hcrd_adaptive_guided,0.01
19,0.27699789890499354,0.2595936705591896,1.0,hcrd_quadratic_guided,0.01
20,,,0.7256637168141593,hcrd_raw,0.01
20,,,0.6666666666666666,hcrd_robust,0.01
20,,,1.0,hcrd_gaussian_guided,0.01
20,,,0.9090909090909091,hcrd_adaptive_guided,0.01
20,0.30667132374831635,0.3066369913348024,1.0,hcrd_quadratic_guided,0.01
21,,,0.6991150442477876,hcrd_raw,0.01
21,,,1.0,hcrd_robust,0.01
21,,,1.0,hcrd_gaussian_guided,0.01
21,,,1.0,hcrd_adaptive_guided,0.01
21,0.22558593173233327,1.9836907885394681,1.0,hcrd_quadratic_guided,0.01
22,,,0.6929824561403509,hcrd_raw,0.01
22,,,1.0,hcrd_robust,0.01
22,,,1.0,hcrd_gaussian_guided,0.01
22,,,0.9090909090909091,hcrd_adaptive_guided,0.01
22,0.24902826151675803,0.2239248009538698,1.0,hcrd_quadratic_guided,0.01
23,,,0.768595041322314,hcrd_raw,0.01
23,,,1.0,hcrd_robust,0.01
23,,,1.0,hcrd_gaussian_guided,0.01
23,,,1.0,hcrd_adaptive_guided,0.01
23,0.24012849724765767,2.195804036490496,1.0,hcrd_quadratic_guided,0.01
24,,,0.7913043478260869,hcrd_raw,0.01
24,,,1.0,hcrd_robust,0.01
24,,,1.0,hcrd_gaussian_guided,0.01
24,,,1.0,hcrd_adaptive_guided,0.01
24,0.2699542038415653,0.29482428997753823,1.0,hcrd_quadratic_guided,0.01
25,,,0.7478260869565218,hcrd_raw,0.01
25,,,0.6666666666666666,hcrd_robust,0.01
25,,,1.0,hcrd_gaussian_guided,0.01
25,,,1.0,hcrd_adaptive_guided,0.01
25,0.27298422398055866,0.24329755880397616,1.0,hcrd_quadratic_guided,0.01
26,,,0.8145161290322581,hcrd_raw,0.01
26,,,1.0,hcrd_robust,0.01
26,,,1.0,hcrd_gaussian_guided,0.01
26,,,1.0,hcrd_adaptive_guided,0.01
26,0.31615379344237055,0.32012460933335646,1.0,hcrd_quadratic_guided,0.01
27,,,0.8,hcrd_raw,0.01
27,,,1.0,hcrd_robust,0.01
27,,,1.0,hcrd_gaussian_guided,0.01
27,,,1.0,hcrd_adaptive_guided,0.01
27,0.26133750016638546,2.543047174042662,1.0,hcrd_quadratic_guided,0.01
28,,,0.7155172413793104,hcrd_raw,0.01
28,,,0.6666666666666666,hcrd_robust,0.01
28,,,1.0,hcrd_gaussian_guided,0.01
28,,,1.0,hcrd_adaptive_guided,0.01
28,0.2984597468113935,2.2215336114398516,1.0,hcrd_quadratic_guided,0.01
29,,,0.7950819672131147,hcrd_raw,0.01
29,,,1.0,hcrd_robust,0.01
29,,,1.0,hcrd_gaussian_guided,0.01
29,,,1.0,hcrd_adaptive_guided,0.01
29,0.25181842512045527,0.21269029286880017,1.0,hcrd_quadratic_guided,0.01
0,,,0.921875,hcrd_raw,0.03
0,,,1.0,hcrd_robust,0.03
0,,,0.8333333333333334,hcrd_gaussian_guided,0.03
