noise_sigma,latent_index,method,mean_target_knot_f1,mean_baseline_mse,median_pairwise_knot_jaccard
0.01,0,hcrd_raw,0.1242447757066704,0.7245212634562357,0.788135593220339
0.01,0,hcrd_robust,0.0,0.03518087463033453,1.0
0.01,0,hcrd_gaussian_guided,0.5375,0.04992043723615379,1.0
0.01,0,hcrd_adaptive_guided,0.6142857142857142,0.03086164625790615,1.0
0.01,0,hcrd_quadratic_guided,0.7142857142857143,0.04248776064935171,1.0
0.01,1,hcrd_raw,0.13592312127580858,0.9818519902479463,0.7043478260869566
0.01,1,hcrd_robust,0.0,0.2919821891125037,1.0
0.01,1,hcrd_gaussian_guided,0.4375,0.09776453888361947,1.0
0.01,1,hcrd_adaptive_guided,0.4928571428571429,0.06838562060138864,1.0
0.01,1,hcrd_quadratic_guided,0.6571428571428571,0.08944565192512594,1.0
0.01,2,hcrd_raw,0.12505337492452076,0.7642462922424609,0.7610619469026548
0.01,2,hcrd_robust,0.175,0.11037994427547607,0.6666666666666666
0.01,2,hcrd_gaussian_guided,0.225,0.07683337744798045,1.0
0.01,2,hcrd_adaptive_guided,0.24642857142857139,0.07169367928498,1.0
0.01,2,hcrd_quadratic_guided,0.8571428571428571,0.06304516828072802,1.0
0.01,3,hcrd_raw,0.12387219823545954,0.7012585041436228,0.7982456140350878
0.01,3,hcrd_robust,0.125,0.17898578517478983,0.6666666666666666
0.01,3,hcrd_gaussian_guided,0.3625,0.10269366976868495,1.0
0.01,3,hcrd_adaptive_guided,0.3666666666666666,0.08982278967303702,1.0
0.01,3,hcrd_quadratic_guided,0.5428571428571428,0.08278486733367155,1.0
0.01,4,hcrd_raw,0.1317105031353186,0.9931208502378579,0.6991150442477876
0.01,4,hcrd_robust,0.0,0.06808570338058961,1.0
0.01,4,hcrd_gaussian_guided,0.575,0.07077314846602965,1.0
0.01,4,hcrd_adaptive_guided,0.5982142857142858,0.06098275350661717,1.0
0.01,4,hcrd_quadratic_guided,0.7142857142857143,0.06298381656750462,1.0
0.01,5,hcrd_raw,0.1284259272741834,0.8134262168271919,0.7372881355932204
0.01,5,hcrd_robust,0.0,0.6673459789769094,1.0
0.01,5,hcrd_gaussian_guided,0.65,0.0378639414545348,1.0
0.01,5,hcrd_adaptive_guided,0.6853571428571429,0.034910249432021305,0.9090909090909091
0.01,5,hcrd_quadratic_guided,1.0,0.024576327496758237,1.0
0.01,6,hcrd_raw,0.13115222841786828,0.7848674127642215,0.7431192660550459
0.01,6,hcrd_robust,0.1,0.3775256455211609,0.6666666666666666
0.01,6,hcrd_gaussian_guided,0.325,0.15876985572474103,1.0
0.01,6,hcrd_adaptive_guided,0.3660714285714285,0.1418213612591788,1.0
0.01,6,hcrd_quadratic_guided,0.42857142857142855,0.14117880420688306,1.0
0.01,7,hcrd_raw,0.1285674767565606,0.8242214310396377,0.7264957264957265
0.01,7,hcrd_robust,0.175,0.1662554718341834,0.6666666666666666
0.01,7,hcrd_gaussian_guided,0.125,0.12406648516955598,1.0
0.01,7,hcrd_adaptive_guided,0.1392857142857143,0.11528005299104227,1.0
0.01,7,hcrd_quadratic_guided,0.42857142857142855,0.12062607780447814,1.0
0.01,8,hcrd_raw,0.13120417437059836,0.9548686301568445,0.7207207207207207
0.01,8,hcrd_robust,0.175,0.19447186725294904,1.0
0.01,8,hcrd_gaussian_guided,0.375,0.12552687942531857,1.0
0.01,8,hcrd_adaptive_guided,0.40178571428571425,0.11354835920093591,0.8181818181818182
0.01,8,hcrd_quadratic_guided,0.7142857142857143,0.1048594527859504,1.0
0.01,9,hcrd_raw,0.13117807789797123,0.8337918835867717,0.7105263157894737
0.01,9,hcrd_robust,0.0,1.3787168361362436,1.0
0.01,9,hcrd_gaussian_guided,0.75,0.046561307300006426,1.0
0.01,9,hcrd_adaptive_guided,0.7657142857142857,0.04401302884511025,1.0
0.01,9,hcrd_quadratic_guided,0.8571428571428571,0.041699042250710514,1.0
0.01,10,hcrd_raw,0.1226091051091051,0.757599652817354,0.7586206896551724
0.01,10,hcrd_robust,0.0,0.18562862582318704,1.0
0.01,10,hcrd_gaussian_guided,0.2625,0.0651468539721369,1.0
0.01,10,hcrd_adaptive_guided,0.26964285714285713,0.061162222808128566,1.0
0.01,10,hcrd_quadratic_guided,0.42857142857142855,0.06285253967482399,1.0
0.01,11,hcrd_raw,0.1284393637142201,0.8653341597974805,0.7565217391304347
0.01,11,hcrd_robust,0.0,0.20558540796954924,1.0
0.01,11,hcrd_gaussian_guided,0.5375,0.07384947787267176,1.0
0.01,11,hcrd_adaptive_guided,0.55,0.07064038837305923,1.0
0.01,11,hcrd_quadratic_guided,0.8571428571428571,0.0583633146147395,1.0
