baseline_mse,knot_count,latent_index,method,noise_sigma,repetition,target_knot_f1
0.7184939471319799,101,0,hcrd_raw,0.01,0,0.1320754716981132
0.03616091870430426,2,0,hcrd_robust,0.01,0,0.0
0.05126838043585935,11,0,hcrd_gaussian_guided,0.01,0,0.5
0.030421007499157715,9,0,hcrd_adaptive_guided,0.01,0,0.5714285714285714
0.04236907624950767,9,0,hcrd_quadratic_guided,0.01,0,0.7142857142857143
0.731667045129435,111,0,hcrd_raw,0.01,1,0.1206896551724138
0.033702577721185505,2,0,hcrd_robust,0.01,1,0.0
0.05146230294468586,11,0,hcrd_gaussian_guided,0.01,1,0.5
0.029949233982520813,9,0,hcrd_adaptive_guided,0.01,1,0.5714285714285714
0.04227595518342257,9,0,hcrd_quadratic_guided,0.01,1,0.7142857142857143
0.7220169321334283,107,0,hcrd_raw,0.01,2,0.125
0.03502279516283947,2,0,hcrd_robust,0.01,2,0.0
0.044714004078055015,11,0,hcrd_gaussian_guided,0.01,2,0.6250000000000001
0.023432568156520634,9,0,hcrd_adaptive_guided,0.01,2,0.7142857142857143
0.04222555184302785,9,0,hcrd_quadratic_guided,0.01,2,0.7142857142857143
0.7194896562026919,104,0,hcrd_raw,0.01,3,0.12844036697247707
0.03389077081537635,2,0,hcrd_robust,0.01,3,0.0
0.056206902619514845,11,0,hcrd_gaussian_guided,0.01,3,0.375
0.030149516673312247,9,0,hcrd_adaptive_guided,0.01,3,0.5714285714285714
0.042220824359835374,9,0,hcrd_quadratic_guided,0.01,3,0.7142857142857143
0.7309554476643364,110,0,hcrd_raw,0.01,4,0.1217391304347826
0.034785780609809525,2,0,hcrd_robust,0.01,4,0.0
0.05156914712364328,11,0,hcrd_gaussian_guided,0.01,4,0.5
0.03041031614074715,9,0,hcrd_adaptive_guided,0.01,4,0.5714285714285714
0.04231410999788408,9,0,hcrd_quadratic_guided,0.01,4,0.7142857142857143
0.7319188683844439,109,0,hcrd_raw,0.01,5,0.10526315789473684
0.03550219720090301,2,0,hcrd_robust,0.01,5,0.0
0.050882127659566026,11,0,hcrd_gaussian_guided,0.01,5,0.5
0.036056288658681955,9,0,hcrd_adaptive_guided,0.01,5,0.5714285714285714
0.042394572260014834,9,0,hcrd_quadratic_guided,0.01,5,0.7142857142857143
0.7245843956457894,105,0,hcrd_raw,0.01,6,0.12727272727272726
0.03555312793883297,2,0,hcrd_robust,0.01,6,0.0
0.04616850924543646,11,0,hcrd_gaussian_guided,0.01,6,0.6250000000000001
0.02458068074769678,9,0,hcrd_adaptive_guided,0.01,6,0.7142857142857143
0.04276044329559468,9,0,hcrd_quadratic_guided,0.01,6,0.7142857142857143
0.7259386653212546,106,0,hcrd_raw,0.01,7,0.12612612612612611
0.03560726276442677,2,0,hcrd_robust,0.01,7,0.0
0.048824358691668956,11,0,hcrd_gaussian_guided,0.01,7,0.6250000000000001
0.034222012621506946,9,0,hcrd_adaptive_guided,0.01,7,0.7142857142857143
0.04288675121151756,9,0,hcrd_quadratic_guided,0.01,7,0.7142857142857143
0.7280835017080123,107,0,hcrd_raw,0.01,8,0.125
