trial,seed,noise_sigma,method,parameter,baseline_nmse,detail_nmse,knot_f1,knots
0,20260824,0.0,hcrd_centered,none,0.11146638613226008,0.010626669977104201,1.0,9
0,20260824,0.0,hcrd_legacy,none,0.11146638613226008,0.010626669977104201,1.0,9
0,20260824,0.0,hcrd_robust,z=3.5,0.8767792374829151,0.083587922088482,0.25,3
0,20260824,0.0,affine_ls,degree=1,2.4799976372133363,0.2364310654459894,,
0,20260824,0.0,moving_average_oracle,window=129,1.6646376940066463,0.15869856392999865,,
0,20260824,0.0,gaussian_oracle,sigma=64,1.5169444241261179,0.14461819682275712,,
0,20260824,0.0,fourier_oracle,bins=2,0.8407780874449791,0.08015574532628376,,
0,20260824,0.0,rdp_oracle_budget,epsilon=2.8115071;knots=2,2.7047754344223707,0.2578603012183471,,
1,20260825,0.0,hcrd_centered,none,0.021026970478306598,0.007402188151242689,1.0,9
1,20260825,0.0,hcrd_legacy,none,0.021026970478306598,0.007402188151242689,1.0,9
1,20260825,0.0,hcrd_robust,z=3.5,1.4669715189939632,0.516422430293064,0.0,2
1,20260825,0.0,affine_ls,degree=1,1.0900527901304844,0.3837345877123579,,
1,20260825,0.0,moving_average_oracle,window=65,0.5373991347314094,0.1891822462822649,,
1,20260825,0.0,gaussian_oracle,sigma=32,0.5278311072624282,0.18581398457120546,,
1,20260825,0.0,fourier_oracle,bins=3,0.10675085807285441,0.03757982813440039,,
1,20260825,0.0,rdp_oracle_budget,epsilon=2.4901053;knots=2,1.4669715189939632,0.516422430293064,,
2,20260826,0.0,hcrd_centered,none,0.053089413800329215,0.01301512663487605,1.0,9
2,20260826,0.0,hcrd_legacy,none,0.053089413800329215,0.01301512663487605,1.0,9
2,20260826,0.0,hcrd_robust,z=3.5,1.9918076979669788,0.48830129333996175,0.25,3
2,20260826,0.0,affine_ls,degree=1,0.8239744800302706,0.2020013300925469,,
2,20260826,0.0,moving_average_oracle,window=65,0.4504401204893951,0.11042757472605484,,
2,20260826,0.0,gaussian_oracle,sigma=32,0.4742465915924074,0.1162638462904868,,
2,20260826,0.0,fourier_oracle,bins=3,0.3783805664938447,0.09276182644651818,,
2,20260826,0.0,rdp_oracle_budget,epsilon=1.9166662;knots=2,1.4223020897070333,0.3486842382590232,,
3,20260827,0.0,hcrd_centered,none,0.05071613965980526,0.009640318539961378,1.0,9
3,20260827,0.0,hcrd_legacy,none,0.05071613965980526,0.009640318539961378,1.0,9
3,20260827,0.0,hcrd_robust,z=3.5,3.2748263776727025,0.6224915708411773,0.0,2
3,20260827,0.0,affine_ls,degree=1,0.6856541046528228,0.13033176463002522,,
3,20260827,0.0,moving_average_oracle,window=129,0.42772747770087155,0.08130408112663641,,
3,20260827,0.0,gaussian_oracle,sigma=32,0.4787487965216178,0.09100240929317747,,
3,20260827,0.0,fourier_oracle,bins=3,0.24883109297059985,0.047298769483918125,,
3,20260827,0.0,rdp_oracle_budget,epsilon=2.208955;knots=2,3.2748263776727025,0.6224915708411773,,
4,20260828,0.0,hcrd_centered,none,0.12725230322366696,0.010476074454030457,1.0,9
4,20260828,0.0,hcrd_legacy,none,0.12725230322366696,0.010476074454030457,1.0,9
4,20260828,0.0,hcrd_robust,z=3.5,2.7022162079090166,0.222460556452056,0.0,2
4,20260828,0.0,affine_ls,degree=1,1.2452239536360168,0.1025133417609286,,
