trial,suite,seed,noise_sigma,method,parameter,baseline_nmse,detail_nmse,knot_f1,knots
0,exact,20260901,0.0,hcrd_centered,none,0.0,7.097810218939395e-33,1.0,9
0,exact,20260901,0.0,hcrd_legacy,none,0.023667335667154628,0.009179363794541867,1.0,9
0,exact,20260901,0.0,hcrd_robust,z=3.5,1.9099672653283474e-32,1.4610457130186747e-32,0.0,2
0,exact,20260901,0.0,hcrd_guided_fixed,sigma=2,0.0641490349597122,0.02488016975147656,0.8750000000000001,11
0,exact,20260901,0.0,hcrd_guided_oracle,sigma=1,0.03476833987888237,0.013484882488207369,0.8750000000000001,11
0,exact,20260901,0.0,affine_ls,degree=1,0.0993517891919941,0.03853353962007626,,
0,exact,20260901,0.0,moving_average_oracle,window=129,0.07264679254618352,0.02817602059928879,,
0,exact,20260901,0.0,gaussian_oracle,sigma=64,0.0146262714169707,0.005672791740576375,,
0,exact,20260901,0.0,fourier_oracle,bins=3,0.24010048784824087,0.09312284898484104,,
0,exact,20260901,0.0,rdp_oracle_budget,epsilon=1.1411469;knots=2,1.9099672653283474e-32,1.4610457130186747e-32,,
1,exact,20260902,0.0,hcrd_centered,none,0.0,3.8696611772788605e-33,1.0,9
1,exact,20260902,0.0,hcrd_legacy,none,166.0573179945434,0.009179363794541871,1.0,9
1,exact,20260902,0.0,hcrd_robust,z=3.5,1.493269640577612e-29,4.484596597003919e-33,0.0,2
1,exact,20260902,0.0,hcrd_guided_fixed,sigma=2,453.4817110849418,0.02506769138808322,0.8750000000000001,11
1,exact,20260902,0.0,hcrd_guided_oracle,sigma=1,244.50357292732193,0.013515738252733535,0.8750000000000001,11
1,exact,20260902,0.0,affine_ls,degree=1,697.0827592595376,0.0385335396200763,,
1,exact,20260902,0.0,moving_average_oracle,window=129,684.6243377296598,0.037844859440788706,,
1,exact,20260902,0.0,gaussian_oracle,sigma=64,257.90787984433797,0.014256705354279925,,
1,exact,20260902,0.0,fourier_oracle,bins=2,0.47145480642923954,2.6061213279631e-05,,
1,exact,20260902,0.0,rdp_oracle_budget,epsilon=1.2637169;knots=2,1.493269640577612e-29,4.484596597003919e-33,,
2,exact,20260903,0.0,hcrd_centered,none,0.0,1.0235072200433132e-32,1.0,9
2,exact,20260903,0.0,hcrd_legacy,none,0.022313269627174885,0.009179363794541878,1.0,9
2,exact,20260903,0.0,hcrd_robust,z=3.5,1.8070230624765947e-32,1.847081055123163e-32,0.0,2
2,exact,20260903,0.0,hcrd_guided_fixed,sigma=2,0.06046529688516481,0.02487456864582249,0.8750000000000001,11
2,exact,20260903,0.0,hcrd_guided_oracle,sigma=1,0.03277691913526968,0.013483961330368915,0.8750000000000001,11
2,exact,20260903,0.0,affine_ls,degree=1,0.0936676308377099,0.0385335396200763,,
2,exact,20260903,0.0,moving_average_oracle,window=129,0.06834484202630317,0.028116102163525135,,
2,exact,20260903,0.0,gaussian_oracle,sigma=64,0.015546651213281875,0.006395672604599757,,
2,exact,20260903,0.0,fourier_oracle,bins=3,0.24009582863242065,0.09877203087640972,,
2,exact,20260903,0.0,rdp_oracle_budget,epsilon=1.0595395;knots=2,1.8070230624765947e-32,1.847081055123163e-32,,
3,exact,20260904,0.0,hcrd_centered,none,0.0,2.8522722686840817e-32,1.0,9
3,exact,20260904,0.0,hcrd_legacy,none,0.0023727088299824164,0.009179363794541878,1.0,9
3,exact,20260904,0.0,hcrd_robust,z=3.5,1.447179267324805e-31,5.473788896892644e-31,0.0,2
3,exact,20260904,0.0,hcrd_guided_fixed,sigma=2,0.006329410328839363,0.02448676351652387,0.8750000000000001,11
3,exact,20260904,0.0,hcrd_guided_oracle,sigma=1,0.0034689070055910986,0.013420255773225916,0.8750000000000001,11
3,exact,20260904,0.0,affine_ls,degree=1,0.009960262143809556,0.03853353962007596,,
3,exact,20260904,0.0,moving_average_oracle,window=65,0.008612674534156931,0.03332009043587488,,
3,exact,20260904,0.0,gaussian_oracle,sigma=32,0.0007999548528144067,0.0030948073022710743,,
3,exact,20260904,0.0,fourier_oracle,bins=3,0.24002721500975585,0.9285998767837012,,
3,exact,20260904,0.0,rdp_oracle_budget,epsilon=1.2386647;knots=2,1.447179267324805e-31,5.473788896892644e-31,,
4,exact,20260905,0.0,hcrd_centered,none,0.0,7.813066828286097e-33,1.0,9
4,exact,20260905,0.0,hcrd_legacy,none,0.0063468770778444955,0.00917936379454187,1.0,9
4,exact,20260905,0.0,hcrd_robust,z=3.5,2.3826316436288372e-32,4.4174936690161636e-32,0.0,2
4,exact,20260905,0.0,hcrd_guided_fixed,sigma=2,0.01759689359426597,0.025450041961497777,0.8750000000000001,11
4,exact,20260905,0.0,hcrd_guided_oracle,sigma=1,0.009388733702789122,0.013578741351210564,0.8750000000000001,11
4,exact,20260905,0.0,affine_ls,degree=1,0.0266432015134096,0.03853353962007635,,
4,exact,20260905,0.0,moving_average_oracle,window=129,0.06941377277987243,0.10039177770156404,,
4,exact,20260905,0.0,gaussian_oracle,sigma=32,0.06483475100307211,0.09376922834432103,,
4,exact,20260905,0.0,fourier_oracle,bins=3,0.24004088975458068,0.34716642934750735,,
4,exact,20260905,0.0,rdp_oracle_budget,epsilon=1.699675;knots=2,2.3826316436288372e-32,4.4174936690161636e-32,,
5,exact,20260906,0.0,hcrd_centered,none,0.0,6.73483212522152e-33,1.0,9
5,exact,20260906,0.0,hcrd_legacy,none,0.04392513398386694,0.009179363794541871,1.0,9
5,exact,20260906,0.0,hcrd_robust,z=3.5,1.3965902584810673e-31,3.6823201023003936e-32,0.0,2
5,exact,20260906,0.0,hcrd_guided_fixed,sigma=2,0.11929604901311214,0.024930187658506738,0.8750000000000001,11
5,exact,20260906,0.0,hcrd_guided_oracle,sigma=1,0.0645672907061335,0.01349310968151462,0.8750000000000001,11
5,exact,20260906,0.0,affine_ls,degree=1,0.1843908715864301,0.0385335396200763,,
5,exact,20260906,0.0,moving_average_oracle,window=129,0.14025711168595825,0.02931057770728646,,
5,exact,20260906,0.0,gaussian_oracle,sigma=64,0.008529029664322436,0.001782375123363544,,
5,exact,20260906,0.0,fourier_oracle,bins=3,0.24017019305582554,0.05019016163899462,,
5,exact,20260906,0.0,rdp_oracle_budget,epsilon=1.5485413;knots=2,1.3965902584810673e-31,3.6823201023003936e-32,,
6,exact,20260907,0.0,hcrd_centered,none,0.0,5.9257373184981196e-33,1.0,9
6,exact,20260907,0.0,hcrd_legacy,none,0.010104974557560816,0.009179363794541876,1.0,9
6,exact,20260907,0.0,hcrd_robust,z=3.5,3.059572421029168e-32,3.578274852771592e-32,0.0,2
6,exact,20260907,0.0,hcrd_guided_fixed,sigma=2,0.027927908570425708,0.02536972570572438,0.8750000000000001,11
6,exact,20260907,0.0,hcrd_guided_oracle,sigma=1,0.014933388800620227,0.013565497637365568,0.8750000000000001,11
6,exact,20260907,0.0,affine_ls,degree=1,0.04241910944908422,0.038533539620076315,,
6,exact,20260907,0.0,moving_average_oracle,window=129,0.09111723670224724,0.08277094206214448,,
6,exact,20260907,0.0,gaussian_oracle,sigma=32,0.08681427759849784,0.07886213192300388,,
6,exact,20260907,0.0,fourier_oracle,bins=3,0.24005382101990635,0.21806500757221742,,
6,exact,20260907,0.0,rdp_oracle_budget,epsilon=1.3412258;knots=2,3.059572421029168e-32,3.578274852771592e-32,,
7,exact,20260908,0.0,hcrd_centered,none,0.0,3.9511642637936356e-33,1.0,9
7,exact,20260908,0.0,hcrd_legacy,none,0.08540980263994667,0.009179363794541871,1.0,9
7,exact,20260908,0.0,hcrd_robust,z=3.5,1.9452002845048535e-32,7.012349199398715e-33,0.0,2
7,exact,20260908,0.0,hcrd_guided_fixed,sigma=2,0.23232955764367388,0.02496947029402011,0.8750000000000001,11
7,exact,20260908,0.0,hcrd_guided_oracle,sigma=1,0.12560737983184384,0.013499572638239924,0.8750000000000001,11
7,exact,20260908,0.0,affine_ls,degree=1,0.3585370498036281,0.038533539620076274,,
7,exact,20260908,0.0,moving_average_oracle,window=129,0.28795678685917164,0.030947971099179454,,
7,exact,20260908,0.0,gaussian_oracle,sigma=64,0.017866675108657554,0.0019202094554957743,,
7,exact,20260908,0.0,fourier_oracle,bins=3,0.24031293795806213,0.025827478976289085,,
7,exact,20260908,0.0,rdp_oracle_budget,epsilon=1.2023629;knots=2,1.9452002845048535e-32,7.012349199398715e-33,,
8,exact,20260909,0.0,hcrd_centered,none,0.0,8.164177842729464e-32,1.0,9
8,exact,20260909,0.0,hcrd_legacy,none,0.0015516377646904041,0.009179363794541857,1.0,9
8,exact,20260909,0.0,hcrd_robust,z=3.5,3.376717354991216e-32,3.0130400664505753e-31,0.0,2
8,exact,20260909,0.0,hcrd_guided_fixed,sigma=2,0.004116983702684228,0.02435574333335391,0.8750000000000001,11
8,exact,20260909,0.0,hcrd_guided_oracle,sigma=1,0.002264866573249787,0.01339876786648421,0.8750000000000001,11
8,exact,20260909,0.0,affine_ls,degree=1,0.006513533684900383,0.038533539620075684,,
8,exact,20260909,0.0,moving_average_oracle,window=65,0.004337487837403572,0.02566022799907316,,
8,exact,20260909,0.0,gaussian_oracle,sigma=32,0.001321626149393871,0.007818633641007362,,
8,exact,20260909,0.0,fourier_oracle,bins=55,0.1784847965908204,1.0559016524252018,,
8,exact,20260909,0.0,rdp_oracle_budget,epsilon=1.0625569;knots=2,3.376717354991216e-32,3.0130400664505753e-31,,
9,exact,20260910,0.0,hcrd_centered,none,0.0,6.699790863507715e-33,1.0,9
9,exact,20260910,0.0,hcrd_legacy,none,0.040963263005606945,0.009179363794541867,1.0,9
9,exact,20260910,0.0,hcrd_robust,z=3.5,1.9004360674675113e-32,1.2157371262960811e-32,0.0,2
9,exact,20260910,0.0,hcrd_guided_fixed,sigma=2,0.11122996929449021,0.02492526908488937,0.8750000000000001,11
9,exact,20260910,0.0,hcrd_guided_oracle,sigma=1,0.06020990870431525,0.013492300551286945,0.8750000000000001,11
9,exact,20260910,0.0,affine_ls,degree=1,0.17195739849996222,0.038533539620076315,,
9,exact,20260910,0.0,moving_average_oracle,window=129,0.13008984207226687,0.02915153478355435,,
9,exact,20260910,0.0,gaussian_oracle,sigma=64,0.008754704778119203,0.0019618217440629743,,
9,exact,20260910,0.0,fourier_oracle,bins=3,0.24016000153213912,0.053816904738753085,,
9,exact,20260910,0.0,rdp_oracle_budget,epsilon=1.7473855;knots=2,1.9004360674675113e-32,1.2157371262960811e-32,,
10,exact,20260911,0.0,hcrd_centered,none,0.0,8.522302153251183e-33,1.0,9
10,exact,20260911,0.0,hcrd_legacy,none,0.008353625408760784,0.009179363794541874,1.0,9
10,exact,20260911,0.0,hcrd_robust,z=3.5,8.396108348329893e-33,1.5791866419729604e-32,0.0,2
10,exact,20260911,0.0,hcrd_guided_fixed,sigma=2,0.023115361107186788,0.025400266167375132,0.8750000000000001,11
10,exact,20260911,0.0,hcrd_guided_oracle,sigma=1,0.012349782848057555,0.013570533031924712,0.8750000000000001,11
10,exact,20260911,0.0,affine_ls,degree=1,0.03506721847664009,0.03853353962007633,,
10,exact,20260911,0.0,moving_average_oracle,window=129,0.08117743434153095,0.08920165380494235,,
