suite,noise_sigma,method,mean_baseline_mse,median_baseline_mse,std_baseline_mse
exact,0.0,affine_ls,0.029529390752030663,0.028079968239237814,0.008666294541806587
exact,0.0,fourier_oracle,0.22654186975640214,0.16185264138679947,0.2350090237351788
exact,0.0,gaussian_oracle,0.043320236589511056,0.030103874806016576,0.04282460941169239
exact,0.0,hcrd_centered,0.0,0.0,0.0
exact,0.0,hcrd_guided_adaptive,0.012389783740727441,0.012668232058034603,0.007703322167966949
exact,0.0,hcrd_guided_fixed,0.02361192280812314,0.022586322851808498,0.006939304388748827
exact,0.0,hcrd_guided_oracle,0.009371578761754575,0.007999923590943217,0.004772335825356948
exact,0.0,hcrd_legacy,0.007034417886771155,0.006689140067289627,0.002064463092003321
exact,0.0,hcrd_robust,3.7771302004972825e-32,1.6225397739649897e-32,7.036230892277067e-32
exact,0.0,moving_average_oracle,0.05163160240522046,0.04070361616432746,0.03497557005642151
exact,0.0,rdp_oracle_budget,3.7771302004972825e-32,1.6225397739649897e-32,7.036230892277067e-32
exact,0.03,affine_ls,0.030112191826387722,0.029067131778880394,0.008666499737256245
exact,0.03,fourier_oracle,0.23372426022477255,0.10317484408364261,0.281449094449283
exact,0.03,gaussian_oracle,0.03221175154615442,0.012095076922877552,0.039292601441231506
exact,0.03,hcrd_centered,0.7748951562280613,0.7443863939451099,0.2229043346956224
exact,0.03,hcrd_guided_adaptive,0.013615005833838156,0.012414947430697583,0.0067535764364591066
exact,0.03,hcrd_guided_fixed,0.02729268072938881,0.026589311751002098,0.008048781767618545
exact,0.03,hcrd_guided_oracle,0.014494236734939422,0.014264471933933286,0.004948628439251387
exact,0.03,hcrd_legacy,0.7639721565031805,0.734012905739106,0.2204654294207893
exact,0.03,hcrd_robust,0.007352837665254202,0.0003475291728469458,0.05257584957584938
exact,0.03,moving_average_oracle,0.04404119787417822,0.0340609905871254,0.03185147534603509
exact,0.03,rdp_oracle_budget,0.000596336264519177,0.0003475291728469458,0.0006864435091235708
exact,0.1,affine_ls,0.03043633296948577,0.029679300183684913,0.00869671575162786
exact,0.1,fourier_oracle,0.3004220830389928,0.20352959624454164,0.30550149217754113
exact,0.1,gaussian_oracle,0.03816916636921511,0.010419816895835713,0.05106262861357993
exact,0.1,hcrd_centered,0.7867382136854423,0.7670704115956049,0.21837175134819917
exact,0.1,hcrd_guided_adaptive,0.03847319310820124,0.03618676944598253,0.017539413172705097
exact,0.1,hcrd_guided_fixed,0.38634536887064735,0.36430284991154227,0.08088004554467687
exact,0.1,hcrd_guided_oracle,0.01931350268189882,0.018283855479194845,0.006521194969595014
exact,0.1,hcrd_legacy,0.7773923636480632,0.7669053407151267,0.21191224349824334
exact,0.1,hcrd_robust,0.007783243051038663,0.004363939806523179,0.008335739137149193
exact,0.1,moving_average_oracle,0.04863078750896284,0.03273174654699387,0.038949020147529594
exact,0.1,rdp_oracle_budget,0.007429570835654083,0.004283622547348763,0.007719018179738719
variable,0.0,affine_ls,0.12810848528245333,0.11206113287086719,0.07163552548246961
variable,0.0,fourier_oracle,0.07135561761244583,0.05215952483713114,0.06056925801966942
variable,0.0,gaussian_oracle,0.06446471661295174,0.059541269554175186,0.02876658014239009
variable,0.0,hcrd_centered,0.017939471586745855,0.017692663530811253,0.0049203737473551175
variable,0.0,hcrd_guided_adaptive,0.06557586493434361,0.06184735837955559,0.02758574886574224
variable,0.0,hcrd_guided_fixed,0.0790334007927644,0.07638731511712452,0.027133549632027458
variable,0.0,hcrd_guided_oracle,0.04769709705674093,0.045375371010866694,0.017400609045283427
variable,0.0,hcrd_legacy,0.007659161232430111,0.007569166405704635,0.0021918278831679705
variable,0.0,hcrd_robust,0.24159619095103335,0.15264766362624557,0.2656233213908243
variable,0.0,moving_average_oracle,0.07778595992747492,0.07481792672113764,0.028240679196167576
variable,0.0,rdp_oracle_budget,0.21608236380573395,0.17033530960955093,0.14763632444881783
variable,0.03,affine_ls,0.12351550082081315,0.11298474517353599,0.05748158785627658
variable,0.03,fourier_oracle,0.0635138020195488,0.052884689815930266,0.04677486417967882
variable,0.03,gaussian_oracle,0.06198000777176458,0.05544213826319723,0.02930053315854815
variable,0.03,hcrd_centered,0.8714546046770737,0.865514524193254,0.14480308937966646
variable,0.03,hcrd_guided_adaptive,0.08075626810656011,0.07900171805420482,0.03280418323503696
variable,0.03,hcrd_guided_fixed,0.08542815231465918,0.08233919623630032,0.03286261749738928
variable,0.03,hcrd_guided_oracle,0.07593517024426276,0.07318076786179445,0.031216181002512975
variable,0.03,hcrd_legacy,0.8593021191309945,0.8513021772799825,0.14397037150051292
variable,0.03,hcrd_robust,0.22845195479580954,0.16848419370611353,0.20420893257115155
variable,0.03,moving_average_oracle,0.07749259291198606,0.0756534445754708,0.03020685247642066
variable,0.03,rdp_oracle_budget,0.20392005937710547,0.16691203523798942,0.1496140512860506
variable,0.1,affine_ls,0.12403611477148074,0.10544675517934289,0.08301830890905984
variable,0.1,fourier_oracle,0.07113378331842737,0.05573002920693311,0.04926025316832305
variable,0.1,gaussian_oracle,0.0632141527614414,0.056265864807810116,0.032434170756740384
variable,0.1,hcrd_centered,0.8868273045949258,0.8792884092311659,0.13805556289296192
variable,0.1,hcrd_guided_adaptive,0.08563880712596689,0.08164990664448428,0.030435500703912124
variable,0.1,hcrd_guided_fixed,0.3865847485904927,0.37860306083151674,0.09350098850133837
variable,0.1,hcrd_guided_oracle,0.0726896855510299,0.07072840643624448,0.026350685194949465
variable,0.1,hcrd_legacy,0.8672157567090651,0.8554715626753271,0.13546362780547905
variable,0.1,hcrd_robust,0.3121477548749805,0.1958943698375686,0.3433024528091748
variable,0.1,moving_average_oracle,0.07434167860352066,0.0699586599286803,0.030662039683705074
variable,0.1,rdp_oracle_budget,0.2534973437682682,0.1943898078286129,0.18785428476238905
