competitor,mean_difference_hcrd_minus_competitor,bootstrap_95_low,bootstrap_95_high,hcrd_win_rate,exact_sign_p,holm_adjusted_p
affine_ls,-0.029529390752030663,-0.03121873783928258,-0.02786579992288557,1.0,1.5777218104420236e-30,1.5777218104420236e-29
fourier_oracle,-0.22654186975640214,-0.2746151342202268,-0.18222861911594931,1.0,1.5777218104420236e-30,1.5777218104420236e-29
gaussian_oracle,-0.043320236589511056,-0.05192966825246911,-0.035193417394107626,1.0,1.5777218104420236e-30,1.5777218104420236e-29
hcrd_guided_adaptive,-0.012389783740727441,-0.013895178826631533,-0.01092393410209348,1.0,1.5777218104420236e-30,1.5777218104420236e-29
hcrd_guided_fixed,-0.02361192280812314,-0.02497266286381465,-0.022280810267123016,1.0,1.5777218104420236e-30,1.5777218104420236e-29
hcrd_guided_oracle,-0.009371578761754575,-0.010325911150839095,-0.008499801855249513,1.0,1.5777218104420236e-30,1.5777218104420236e-29
hcrd_legacy,-0.007034417886771155,-0.0074368499405619145,-0.006638121424609911,1.0,1.5777218104420236e-30,1.5777218104420236e-29
hcrd_robust,0.0,0.0,0.0,0.0,1.0,1.0
moving_average_oracle,-0.05163160240522046,-0.058501068990050115,-0.045010743264334734,1.0,1.5777218104420236e-30,1.5777218104420236e-29
rdp_oracle_budget,0.0,0.0,0.0,0.0,1.0,1.0
