trial,suite,seed,noise_sigma,method,parameter,baseline_mse,baseline_nmse,detail_mse,detail_nmse,knot_f1,knots
0,exact,20260915,0.0,hcrd_centered,none,0.0,0.0,5.05462936766222e-33,3.779028025447682e-33,1.0,9
0,exact,20260915,0.0,hcrd_legacy,none,0.0050242920001947276,0.0037563466865128386,0.005024292000194726,0.0037563466865128373,1.0,9
0,exact,20260915,0.0,hcrd_robust,z=3.5,1.8951675225128794e-32,1.416897394359661e-32,2.492767847085487e-32,1.863685518732271e-32,0.0,2
0,exact,20260915,0.0,hcrd_guided_fixed,sigma=2,0.01705728706846643,0.012752659231997041,0.01705728706846643,0.012752659231997041,0.8750000000000001,11
0,exact,20260915,0.0,hcrd_guided_oracle,sigma=1,0.01005955788691573,0.007520897856819522,0.01005955788691573,0.007520897856819522,0.8750000000000001,11
0,exact,20260915,0.0,hcrd_guided_adaptive,sigma=1.3638;adaptive,0.010148688740251053,0.007587535382182145,0.010148688740251053,0.007587535382182145,0.8750000000000001,11
0,exact,20260915,0.0,affine_ls,degree=1,0.021091195336157678,0.015768558378474094,0.021091195336157678,0.015768558378474094,,
0,exact,20260915,0.0,moving_average_oracle,window=129,0.0641603448394026,0.047968648863097575,0.0641603448394026,0.047968648863097575,,
0,exact,20260915,0.0,gaussian_oracle,sigma=32,0.058796904954164175,0.04395874266328966,0.058796904954164175,0.04395874266328966,,
0,exact,20260915,0.0,fourier_oracle,bins=3,0.2625987084246577,0.19632851518886313,0.2625987084246577,0.19632851518886313,,
0,exact,20260915,0.0,rdp_oracle_budget,epsilon=1.0323707;knots=2,1.8951675225128794e-32,1.416897394359661e-32,2.492767847085487e-32,1.863685518732271e-32,,
1,exact,20260916,0.0,hcrd_centered,none,0.0,0.0,2.522743410422253e-32,1.0242347146342469e-32,1.0,9
1,exact,20260916,0.0,hcrd_legacy,none,0.0070409618253363645,0.0028586329850791093,0.0070409618253363645,0.0028586329850791093,1.0,9
1,exact,20260916,0.0,hcrd_robust,z=3.5,1.6450589159217354e-32,6.67894500227275e-33,4.3788302922348233e-32,1.7778066434621055e-32,0.0,2
1,exact,20260916,0.0,hcrd_guided_fixed,sigma=2,0.02397553880852454,0.009734077214630878,0.02397553880852454,0.009734077214630878,0.8750000000000001,11
1,exact,20260916,0.0,hcrd_guided_oracle,sigma=1,0.014111063421962543,0.005729096727582151,0.014111063421962545,0.005729096727582152,0.8750000000000001,11
1,exact,20260916,0.0,hcrd_guided_adaptive,sigma=1.32624;adaptive,0.014223521369667152,0.005774754694024447,0.014223521369667152,0.005774754694024447,0.8750000000000001,11
1,exact,20260916,0.0,affine_ls,degree=1,0.02955686118697775,0.012000096069326815,0.02955686118697775,0.012000096069326815,,
1,exact,20260916,0.0,moving_average_oracle,window=65,0.10214417520936471,0.041470571170614264,0.10214417520936471,0.041470571170614264,,
1,exact,20260916,0.0,gaussian_oracle,sigma=32,0.09754312347590802,0.03960254254361821,0.09754312347590802,0.03960254254361821,,
1,exact,20260916,0.0,fourier_oracle,bins=3,0.5296975974810988,0.21505741145021592,0.5296975974810988,0.21505741145021592,,
1,exact,20260916,0.0,rdp_oracle_budget,epsilon=1.3530712;knots=2,1.6450589159217354e-32,6.67894500227275e-33,4.3788302922348233e-32,1.7778066434621055e-32,,
2,exact,20260917,0.0,hcrd_centered,none,0.0,0.0,1.1594547898661211e-32,8.779822354338229e-33,1.0,9
2,exact,20260917,0.0,hcrd_legacy,none,0.006340068470369627,0.004800935350882777,0.006340068470369626,0.004800935350882777,1.0,9
2,exact,20260917,0.0,hcrd_robust,z=3.5,8.441118635633395e-33,6.391928580614388e-33,1.8596839494129823e-32,1.4082217654166074e-32,0.0,2
2,exact,20260917,0.0,hcrd_guided_fixed,sigma=2,0.021469410003673826,0.01625743474710847,0.021469410003673826,0.01625743474710847,0.8750000000000001,11
2,exact,20260917,0.0,hcrd_guided_oracle,sigma=1,0.012683446200449734,0.009604376596142493,0.012683446200449734,0.009604376596142493,0.8750000000000001,11
2,exact,20260917,0.0,hcrd_guided_adaptive,sigma=1.40229;adaptive,0.012809706826675232,0.009699985832336631,0.012809706826675229,0.00969998583233663,0.8750000000000001,11
2,exact,20260917,0.0,affine_ls,degree=1,0.02661462003959915,0.020153578907796153,0.02661462003959915,0.020153578907796153,,
2,exact,20260917,0.0,moving_average_oracle,window=129,0.06771633848573565,0.051277326859777386,0.06771633848573565,0.051277326859777386,,
2,exact,20260917,0.0,gaussian_oracle,sigma=32,0.06342058234840307,0.04802442074450806,0.06342058234840307,0.04802442074450806,,
2,exact,20260917,0.0,fourier_oracle,bins=3,0.2274406090797994,0.1722264775941544,0.22744060907979938,0.17222647759415438,,
2,exact,20260917,0.0,rdp_oracle_budget,epsilon=1.3363505;knots=2,8.441118635633395e-33,6.391928580614388e-33,1.8596839494129823e-32,1.4082217654166074e-32,,
3,exact,20260918,0.0,hcrd_centered,none,0.0,0.0,1.2760597312461422e-32,5.958354434058789e-33,1.0,9
3,exact,20260918,0.0,hcrd_legacy,none,0.01007455436191189,0.004704150141533236,0.010074554361911889,0.0047041501415332355,1.0,9
3,exact,20260918,0.0,hcrd_robust,z=3.5,2.951169149412986e-32,1.3780006810410452e-32,4.1546130784758115e-32,1.9399293506237917e-32,0.0,2
3,exact,20260918,0.0,hcrd_guided_fixed,sigma=2,0.034122671071129033,0.015933029112990115,0.034122671071129033,0.015933029112990115,0.8750000000000001,11
3,exact,20260918,0.0,hcrd_guided_oracle,sigma=1,0.020155740491720593,0.009411396879776332,0.020155740491720593,0.009411396879776332,0.8750000000000001,11
3,exact,20260918,0.0,hcrd_guided_adaptive,sigma=1.3985;adaptive,0.020353901636371165,0.00950392501979795,0.020353901636371165,0.00950392501979795,0.8750000000000001,11
3,exact,20260918,0.0,affine_ls,degree=1,0.04229141020537576,0.019747289672225648,0.04229141020537576,0.019747289672225648,,
3,exact,20260918,0.0,moving_average_oracle,window=129,0.10924038339867714,0.05100802939421633,0.10924038339867714,0.05100802939421633,,
3,exact,20260918,0.0,gaussian_oracle,sigma=32,0.10213493243542604,0.047690254041213825,0.10213493243542604,0.047690254041213825,,
3,exact,20260918,0.0,fourier_oracle,bins=3,0.37383780859899884,0.1745575156038684,0.37383780859899884,0.1745575156038684,,
3,exact,20260918,0.0,rdp_oracle_budget,epsilon=1.6984435;knots=2,2.951169149412986e-32,1.3780006810410452e-32,4.1546130784758115e-32,1.9399293506237917e-32,,
4,exact,20260919,0.0,hcrd_centered,none,0.0,0.0,1.4049546535942372e-32,5.901198522018075e-33,1.0,9
4,exact,20260919,0.0,hcrd_legacy,none,0.008922551088056325,0.003747718487480493,0.008922551088056323,0.0037477184874804927,1.0,9
4,exact,20260919,0.0,hcrd_robust,z=3.5,3.369253319052534e-33,1.4151796754316868e-33,1.668739610957781e-32,7.009168374669218e-33,0.0,2
4,exact,20260919,0.0,hcrd_guided_fixed,sigma=2,0.029549530350872957,0.012411620858139204,0.02954953035087295,0.0124116208581392,0.8750000000000001,11
4,exact,20260919,0.0,hcrd_guided_oracle,sigma=1,0.008455403193389804,0.0035515034382248116,0.008455403193389803,0.0035515034382248107,0.8750000000000001,11
4,exact,20260919,0.0,hcrd_guided_adaptive,sigma=1.36171;adaptive,0.017756615928962178,0.007458270301320138,0.01775661592896217,0.007458270301320135,0.8750000000000001,11
4,exact,20260919,0.0,affine_ls,degree=1,0.037455479874129206,0.015732338542687584,0.0374554798741292,0.01573233854268758,,
4,exact,20260919,0.0,moving_average_oracle,window=129,0.029067286305597694,0.012209065007674559,0.02906728630559769,0.012209065007674559,,
4,exact,20260919,0.0,gaussian_oracle,sigma=32,0.0074752493670520405,0.0031398116945420104,0.007475249367052039,0.0031398116945420096,,
4,exact,20260919,0.0,fourier_oracle,bins=3,0.2444176590535629,0.10266218377027905,0.24441765905356294,0.10266218377027905,,
4,exact,20260919,0.0,rdp_oracle_budget,epsilon=1.3815958;knots=2,3.369253319052534e-33,1.4151796754316868e-33,1.668739610957781e-32,7.009168374669218e-33,,
5,exact,20260920,0.0,hcrd_centered,none,0.0,0.0,1.2541775700103026e-32,1.0308578026947597e-32,1.0,9
5,exact,20260920,0.0,hcrd_legacy,none,0.006814677950324436,0.005601251454278655,0.006814677950324435,0.005601251454278654,1.0,9
5,exact,20260920,0.0,hcrd_robust,z=3.5,2.796120548053562e-32,2.298241296256386e-32,4.107851199670456e-32,3.3764042371245193e-32,0.0,2
5,exact,20260920,0.0,hcrd_guided_fixed,sigma=2,0.023039910286502464,0.018937407158408373,0.023039910286502464,0.018937407158408373,0.8750000000000001,11
5,exact,20260920,0.0,hcrd_guided_oracle,sigma=1,0.013625867761801613,0.011199635870241875,0.013625867761801611,0.011199635870241873,0.8750000000000001,11
5,exact,20260920,0.0,hcrd_guided_adaptive,sigma=1.43364;adaptive,0.013776563729950958,0.011323498805057489,0.013776563729950958,0.011323498805057489,0.8750000000000001,11
5,exact,20260920,0.0,affine_ls,degree=1,0.028606956721012423,0.02351318126903251,0.028606956721012416,0.023513181269032502,,
5,exact,20260920,0.0,moving_average_oracle,window=129,0.06474187538057574,0.0532138901165407,0.06474187538057576,0.05321389011654071,,
5,exact,20260920,0.0,gaussian_oracle,sigma=32,0.06138694443028768,0.05045634060337393,0.06138694443028767,0.05045634060337392,,
5,exact,20260920,0.0,fourier_oracle,bins=3,0.18515804456860022,0.1521886689248299,0.18515804456860022,0.1521886689248299,,
5,exact,20260920,0.0,rdp_oracle_budget,epsilon=1.2985837;knots=2,2.796120548053562e-32,2.298241296256386e-32,4.107851199670456e-32,3.3764042371245193e-32,,
6,exact,20260921,0.0,hcrd_centered,none,0.0,0.0,2.0952918772399656e-33,2.724115645891188e-33,1.0,9
6,exact,20260921,0.0,hcrd_legacy,none,0.006903507986727622,0.008975338625829894,0.006903507986727623,0.008975338625829896,1.0,9
6,exact,20260921,0.0,hcrd_robust,z=3.5,6.294868300720926e-34,8.184038421132325e-34,3.333282643048414e-33,4.333643202047212e-33,0.0,2
6,exact,20260921,0.0,hcrd_guided_fixed,sigma=2,0.023084952388121006,0.030013040506781618,0.023084952388121006,0.030013040506781618,0.8750000000000001,11
6,exact,20260921,0.0,hcrd_guided_oracle,sigma=1,0.006571828075800629,0.00854411735083779,0.006571828075800629,0.00854411735083779,0.8750000000000001,11
6,exact,20260921,0.0,hcrd_guided_adaptive,sigma=1.71449;adaptive,0.022929940042074427,0.029811506982140634,0.02292994004207443,0.02981150698214064,0.8750000000000001,11
6,exact,20260921,0.0,affine_ls,degree=1,0.02897985137948861,0.037677073736598586,0.028979851379488615,0.03767707373659859,,
6,exact,20260921,0.0,moving_average_oracle,window=129,0.02757358282494248,0.03584876608486937,0.02757358282494248,0.03584876608486937,,
6,exact,20260921,0.0,gaussian_oracle,sigma=64,0.008695880466918719,0.011305624906987548,0.008695880466918719,0.011305624906987548,,
6,exact,20260921,0.0,fourier_oracle,bins=3,0.0004972970651974379,0.0006465422458204676,0.0004972970651974377,0.0006465422458204673,,
6,exact,20260921,0.0,rdp_oracle_budget,epsilon=1.230191;knots=2,6.294868300720926e-34,8.184038421132325e-34,3.333282643048414e-33,4.333643202047212e-33,,
7,exact,20260922,0.0,hcrd_centered,none,0.0,0.0,5.237030670566443e-32,7.000225633366396e-33,1.0,9
7,exact,20260922,0.0,hcrd_legacy,none,0.005965162489706286,0.000797350368832595,0.005965162489706288,0.0007973503688325952,1.0,9
7,exact,20260922,0.0,hcrd_robust,z=3.5,1.6252750441194697e-31,2.1724700008077728e-32,1.9843523173305936e-31,2.6524408259585715e-32,0.0,2
7,exact,20260922,0.0,hcrd_guided_fixed,sigma=2,0.020703642372283962,0.002767411099061542,0.020703642372283962,0.002767411099061542,0.8750000000000001,11
7,exact,20260922,0.0,hcrd_guided_oracle,sigma=1,0.012029874288794172,0.0016080072785497712,0.012029874288794174,0.0016080072785497714,0.8750000000000001,11
7,exact,20260922,0.0,hcrd_guided_adaptive,sigma=1.19111;adaptive,0.012101418598900479,0.0016175704517490896,0.012101418598900482,0.00161757045174909,0.8750000000000001,11
7,exact,20260922,0.0,affine_ls,degree=1,0.02504082312043962,0.0033471526694216517,0.025040823120439624,0.003347152669421652,,
7,exact,20260922,0.0,moving_average_oracle,window=65,0.13358517115347202,0.017856040916503314,0.13358517115347202,0.017856040916503314,,
7,exact,20260922,0.0,gaussian_oracle,sigma=16,0.16644307120413634,0.022248085352790204,0.16644307120413634,0.022248085352790204,,
7,exact,20260922,0.0,fourier_oracle,bins=55,0.7227158983607194,0.09660387107870277,0.7227158983607194,0.09660387107870277,,
7,exact,20260922,0.0,rdp_oracle_budget,epsilon=1.1230485;knots=2,1.6252750441194697e-31,2.1724700008077728e-32,1.9843523173305936e-31,2.6524408259585715e-32,,
8,exact,20260923,0.0,hcrd_centered,none,0.0,0.0,1.1078968209268831e-32,1.0866540674685573e-32,1.0,9
8,exact,20260923,0.0,hcrd_legacy,none,0.009715625320648392,0.009529338448548393,0.009715625320648392,0.009529338448548393,1.0,9
8,exact,20260923,0.0,hcrd_robust,z=3.5,1.0935085505252352e-32,1.0725416769819527e-32,2.0671148477034053e-32,2.0274800999088666e-32,0.0,2
8,exact,20260923,0.0,hcrd_guided_fixed,sigma=2,0.032556086634492325,0.031931857997961145,0.03255608663449233,0.03193185799796115,0.8750000000000001,11
8,exact,20260923,0.0,hcrd_guided_oracle,sigma=1,0.009257908280065306,0.009080397649636121,0.009257908280065308,0.009080397649636123,0.8750000000000001,11
8,exact,20260923,0.0,hcrd_guided_adaptive,sigma=1.69794;adaptive,0.03231180865393141,0.03169226379012919,0.03231180865393141,0.03169226379012919,0.8750000000000001,11
8,exact,20260923,0.0,affine_ls,degree=1,0.04078468198957636,0.040002678712722506,0.040784681989576355,0.0400026787127225,,
8,exact,20260923,0.0,moving_average_oracle,window=129,0.04534865672687703,0.044479144046346585,0.04534865672687703,0.044479144046346585,,
8,exact,20260923,0.0,gaussian_oracle,sigma=64,0.028501409208182987,0.02795492473635486,0.028501409208182983,0.027954924736354858,,
8,exact,20260923,0.0,fourier_oracle,bins=3,0.006041430375331692,0.005925592317513778,0.006041430375331693,0.005925592317513779,,
8,exact,20260923,0.0,rdp_oracle_budget,epsilon=1.5485195;knots=2,1.0935085505252352e-32,1.0725416769819527e-32,2.0671148477034053e-32,2.0274800999088666e-32,,
9,exact,20260924,0.0,hcrd_centered,none,0.0,0.0,7.481900608856872e-33,8.422870582600052e-33,1.0,9
9,exact,20260924,0.0,hcrd_legacy,none,0.008102805016453569,0.009121863758633697,0.008102805016453569,0.009121863758633697,1.0,9
9,exact,20260924,0.0,hcrd_robust,z=3.5,4.844051035221437e-33,5.453268774632085e-33,1.0263632886508787e-32,1.1554450671002637e-32,0.0,2
9,exact,20260924,0.0,hcrd_guided_fixed,sigma=2,0.027222255896584877,0.030645894722515932,0.02722225589658488,0.030645894722515936,0.8750000000000001,11
9,exact,20260924,0.0,hcrd_guided_oracle,sigma=1,0.007730550738320923,0.008702792486179367,0.0077305507383209245,0.008702792486179368,0.8750000000000001,11
9,exact,20260924,0.0,hcrd_guided_adaptive,sigma=1.61342;adaptive,0.0032712509250402907,0.003682663620552269,0.0032712509250402916,0.00368266362055227,1.0,9
9,exact,20260924,0.0,affine_ls,degree=1,0.034014313532373705,0.03829216342435992,0.0340143135323737,0.03829216342435991,,
9,exact,20260924,0.0,moving_average_oracle,window=129,0.04662036582871449,0.05248363061972398,0.04662036582871449,0.05248363061972398,,
9,exact,20260924,0.0,gaussian_oracle,sigma=32,0.04494466247147151,0.05059718047145844,0.04494466247147152,0.05059718047145845,,
9,exact,20260924,0.0,fourier_oracle,bins=3,0.03530470922572565,0.03974484724009809,0.03530470922572566,0.039744847240098094,,
9,exact,20260924,0.0,rdp_oracle_budget,epsilon=1.3132193;knots=2,4.844051035221437e-33,5.453268774632085e-33,1.0263632886508787e-32,1.1554450671002637e-32,,
10,exact,20260925,0.0,hcrd_centered,none,0.0,0.0,7.826619587229685e-33,6.028676025072384e-33,1.0,9
10,exact,20260925,0.0,hcrd_legacy,none,0.006832917866802577,0.005263249052259392,0.006832917866802576,0.0052632490522593915,1.0,9
10,exact,20260925,0.0,hcrd_robust,z=3.5,1.0659310322554103e-32,8.210636516720567e-33,1.9636991541915613e-32,1.5125950455859513e-32,0.0,2
10,exact,20260925,0.0,hcrd_guided_fixed,sigma=2,0.022703839076449208,0.01748827687251105,0.02270383907644921,0.017488276872511054,0.8750000000000001,11
10,exact,20260925,0.0,hcrd_guided_oracle,sigma=1,0.006485178024036681,0.004995392562023708,0.006485178024036681,0.004995392562023708,0.8750000000000001,11
10,exact,20260925,0.0,hcrd_guided_adaptive,sigma=1.44789;adaptive,0.013660470298196335,0.010522365225508541,0.013660470298196331,0.010522365225508538,0.8750000000000001,11
10,exact,20260925,0.0,affine_ls,degree=1,0.028683525049712263,0.022094299825676292,0.028683525049712263,0.022094299825676292,,
10,exact,20260925,0.0,moving_average_oracle,window=129,0.020861705547460536,0.01606932120238796,0.020861705547460536,0.01606932120238796,,
