baseline,paired_series,hcrd_mean_vus_pr,baseline_mean_vus_pr,mean_difference,bootstrap_95_low,bootstrap_95_high,wins,ties,losses
Sub-PCA,350,0.34687822104563465,0.42338473549148065,-0.07650651444584602,-0.12062800443888376,-0.03211864062806442,156,0,194
MMPAD,350,0.34687822104563465,0.43985905581098733,-0.09298083476535274,-0.14169052451342817,-0.04359290554324912,149,9,192
StreamVAE,350,0.34687822104563465,0.45075633033086515,-0.10387810928523059,-0.1474826625939389,-0.05962675656817571,141,0,209
POLY,350,0.34687822104563465,0.3897525093510147,-0.042874288305380065,-0.075677515536553,-0.009483745308272578,138,0,212
KShapeAD,350,0.34687822104563465,0.40077158869012236,-0.05389336764448773,-0.10403445264239894,-0.0026891189686434292,172,6,172
Series2Graph,350,0.34687822104563465,0.38810063161480984,-0.04122241056917518,-0.07997827146220772,-0.0021674415942683632,172,0,178
MatrixProfile,350,0.34687822104563465,0.3496268319265556,-0.0027486108809209905,-0.04502854031153548,0.04049856454247814,178,0,172
TSPulse (ZS),350,0.34687822104563465,0.4801380571428571,-0.1332598360972225,-0.1601264234989389,-0.10690040164513488,109,14,227
TSPulse (FT),350,0.34687822104563465,0.5515879142857143,-0.20470969324007968,-0.2347131289492316,-0.17480927455069106,74,14,262
Time-RCD+MAFT (FT),350,0.34687822104563465,0.585595117920594,-0.23871689687495948,-0.2692977570998319,-0.20796993062593103,44,14,292
