stratum,value,series,mean_vus_pr,mean_sub_pca,difference_vs_sub_pca
source,CATSv2,1,0.2466007655854596,0.264658389584848,-0.0180576239993884
source,Daphnet,1,0.43695211823100416,0.422011566352765,0.014940551878239172
source,Exathlon,30,0.5981784868071908,0.9266381713802198,-0.328459684573029
source,IOPS,15,0.35874656304668484,0.22719519890002132,0.13155136414666352
source,LTDB,8,0.2852489552904751,0.5558284275039165,-0.27057947221344136
source,MGAB,8,0.004118492471997406,0.005165267214246087,-0.0010467747422486812
source,MITDB,7,0.07394545019560358,0.36279456400088433,-0.2888491138052807
source,MSL,7,0.40910803465201756,0.5072682047217543,-0.09816017006973674
source,NAB,23,0.23892554247806805,0.43577295244716496,-0.1968474099690969
source,NEK,8,0.5543135631559313,0.9051266624135266,-0.3508130992575954
source,OPPORTUNITY,27,0.17044117855980587,0.9139119801467892,-0.7434708015869835
source,Power,1,0.07467865143310352,0.0760575973007868,-0.0013789458676832789
source,SED,2,0.07104532546959724,0.031383233568698904,0.03966209190089834
source,SMAP,17,0.539248095159078,0.5177860856950816,0.021462009463996384
source,SMD,33,0.526774658766762,0.4485264272473465,0.07824823151941546
source,SVDB,18,0.0707498214978452,0.5222881918221746,-0.45153837032432953
source,SWaT,1,0.4172650896886672,0.392892171544998,0.02437291814366921
source,Stock,8,0.7169670763923464,0.8397602263112827,-0.1227931499189362
source,TAO,2,0.9418954003936084,0.929957022709551,0.011938377684057422
source,TODS,13,0.7795660985253908,0.5394796445024961,0.2400864540228947
source,UCR,70,0.03954694092184508,0.12363452221722902,-0.08408758129538396
source,WSD,20,0.3953428594252048,0.09416596602021561,0.3011768934049892
source,YAHOO,30,0.6760635790343262,0.13691681260001035,0.5391467664343159
domain,Environment,18,0.12817215134616203,0.1370030120195345,-0.008830860673372472
domain,Facility,87,0.4330253956610744,0.5573813387552187,-0.12435594309414426
domain,Finance,8,0.7169670763923464,0.8397602263112827,-0.1227931499189362
domain,HumanActivity,43,0.14460293683382586,0.6091389521068343,-0.46453601527300853
domain,Medical,47,0.10485550661828845,0.4035197544187249,-0.2986642478004365
domain,Sensor,39,0.33826159039075393,0.41273908334388193,-0.07447749295312796
domain,Synthetic,39,0.5965151999189953,0.24087266866041432,0.35564253125858103
domain,Traffic,5,0.2033205380324182,0.33238515855382383,-0.1290646205214056
domain,WebService,64,0.42300468751457154,0.2843305844415892,0.1386741030729824
point_anomaly,0,301,0.2933830730613987,0.43425724978234337,-0.14087417672094463
point_anomaly,1,49,0.6754912729487984,0.35659643341903874,0.3188948395297596
seq_anomaly,0,28,0.6356847604944456,0.07449854963395561,0.5611862108604899
seq_anomaly,1,322,0.3217646089196511,0.4537226646964828,-0.13195805577683176
