candidate,series,mean_auc_pr,median_auc_pr,mean_auc_roc
hcrd_L8_total,1,0.18727952759122163,0.18727952759122163,0.507541240651463
hcrd_L8_sum,1,0.18592471301611158,0.18592471301611158,0.4952204014220366
hcrd_L8_l2,1,0.17938740147654617,0.17938740147654617,0.49234640117266737
hcrd_full_sum,1,0.177289321125023,0.177289321125023,0.46053286185667663
hcrd_full_l2,1,0.1750818029303776,0.1750818029303776,0.4705123482414273
hcrd_L8_transport,1,0.17357639893225274,0.17357639893225274,0.49601921214832
hcrd_L8_max,1,0.1698372554936846,0.1698372554936846,0.4941000043669389
hcrd_full_max,1,0.16742026100507268,0.16742026100507268,0.4741543661117843
hcrd_full_total,1,0.16597493858208112,0.16597493858208112,0.45331650679530977
hcrd_full_transport,1,0.16517452526831053,0.16517452526831053,0.4629305541700441
hcrd_L4_sum,1,0.13283264933053357,0.13283264933053357,0.5482219799810906
hcrd_L4_total,1,0.1325548309791376,0.1325548309791376,0.5448413827442311
hcrd_L4_l2,1,0.1316243012249258,0.1316243012249258,0.5475547960330233
hcrd_L4_transport,1,0.13128830214114873,0.13128830214114873,0.5447517299012096
hcrd_L4_max,1,0.13039126989534683,0.13039126989534683,0.5485722286422894
raw_abs_median_deviation,1,0.11607153171333073,0.11607153171333073,0.5118196951876653
