source,series,HCRD,Sub-PCA,MMPAD,StreamVAE,POLY,KShapeAD,Series2Graph,MatrixProfile,TSPulse (ZS),TSPulse (FT),Time-RCD+MAFT (FT)
CATSv2,1,0.2466007655854596,0.264658389584848,0.2912241982813575,0.329994476942045,0.231467099793609,0.252230307380255,0.206581596474798,0.359910219983725,0.34617,0.3991,0.2671333961941151
Daphnet,1,0.4369521182310041,0.422011566352765,0.0358281807746142,0.51090471067716,0.50799596709624,0.0350206563530381,0.191538385900609,0.0351361839832043,0.54604,0.56512,0.4724920167114531
Exathlon,30,0.5981784868071908,0.9266381713802198,0.6434237784687262,0.9681330435724049,0.7424383858802985,0.3268842189917876,0.5981597824314324,0.5640507255933359,0.8272846666666667,0.869669,0.9685542493767983
IOPS,15,0.35874656304668484,0.2271951989000213,0.06276962554702512,0.25795588062511343,0.31022528164137514,0.09028443967159917,0.21533625803642856,0.10392414244093026,0.4152946666666667,0.42358999999999997,0.525726434698218
LTDB,8,0.2852489552904751,0.5558284275039165,0.6297756355469653,0.6654751297037284,0.5115459717549786,0.8322006698116867,0.7887985563605043,0.5791445458970855,0.40870625,0.56192875,0.4963228581174922
MGAB,8,0.00411849247199735,0.005165267214246087,0.3079749734241604,0.3605797353976189,0.007184582563943963,0.015391650998799838,0.004136639282543112,0.2889701272281045,0.00484375,0.00518375,0.048846853388737385
MITDB,7,0.07394545019560353,0.36279456400088433,0.6315735324272546,0.23320777823171504,0.3411242566207301,0.691661541329023,0.6096362043185163,0.38972147226330545,0.0944,0.2736357142857143,0.34190074008433063
MSL,7,0.40910803465201756,0.5072682047217543,0.3132629559629167,0.5023633412690212,0.5416861939646924,0.5544861324907325,0.2540663237729566,0.4820602870667913,0.6283242857142858,0.6762128571428571,0.5076970727910988
NAB,23,0.23892554247806805,0.43577295244716496,0.38966554650060514,0.5385398063017823,0.4838105250301762,0.372780855318604,0.4358299566296364,0.3173491395548516,0.5096313043478261,0.5596013043478261,0.4299054101766993
NEK,8,0.5543135631559312,0.9051266624135266,0.3486663138377312,0.7142533175575105,0.6100565919173155,0.2398750122041512,0.6661332306416707,0.12760654288253875,0.57890875,0.57890875,0.8241047209997131
OPPORTUNITY,27,0.17044117855980584,0.9139119801467893,0.35279384831487043,0.776115878689949,0.0982744471261713,0.33405241272829994,0.10783924740506017,0.2529202493070131,0.058608148148148145,0.08071555555555555,0.7293838350095229
Power,1,0.0746786514331035,0.0760575973007868,0.18500482805591,0.113908908044152,0.0896995879161206,0.188448667941928,0.070364412643173,0.145571701693154,0.07231,0.09963,0.2574542207264978
SED,2,0.0710453254695972,0.031383233568698904,0.7137760209913546,0.88041473449273,0.0374112816256177,0.8915739777860345,0.14731069262635949,0.723996741260999,0.06257,0.053875000000000006,0.8120145432981356
SMAP,17,0.539248095159078,0.5177860856950817,0.5957382036146933,0.47433472849511216,0.6443353920457788,0.5807417382706253,0.5481431631736425,0.471694482457124,0.7076358823529412,0.7918776470588235,0.5129621268452431
SMD,33,0.526774658766762,0.44852642724734654,0.16980839036363837,0.6315598845409717,0.6121302528047166,0.13385409960219305,0.4583838092853641,0.13357813184366968,0.7867642424242424,0.8059651515151515,0.6823871729272544
SVDB,18,0.07074982149784517,0.5222881918221747,0.5813457343815207,0.5596560636054349,0.44268098785642035,0.8208603980203674,0.5473035391838977,0.35997605834104895,0.3622561111111111,0.5563411111111111,0.26840367383807234
SWaT,1,0.4172650896886672,0.392892171544998,0.069910515182941,0.294412691545185,0.0964803786020064,0.432927929685621,0.217512248897089,0.113203495195839,0.09526,0.10186,0.6124618133120824
Stock,8,0.7169670763923465,0.8397602263112827,0.5855270913038294,0.7807607889896401,0.8246315402762046,0.7454217295916575,0.7850058146602269,0.7214304997512572,0.9830975,0.9830975,0.8840954822972208
TAO,2,0.9418954003936084,0.929957022709551,0.9284860625762497,0.9151851861101046,0.924369274600604,0.910849219753047,0.9109385977326925,0.922114062380401,0.99794,0.99794,0.9952946768884448
TODS,13,0.7795660985253908,0.5394796445024961,0.7326486021309531,0.5581936599459472,0.5706083550695981,0.752793687709655,0.7291849360898084,0.7613871876489365,0.6763684615384615,0.67571,0.890944185046446
UCR,70,0.039546940921845054,0.12363452221722905,0.47296117447023156,0.13043515911392561,0.1270925798977207,0.37627064540224175,0.2508120559658619,0.3396547736462187,0.17939557142857143,0.35988385714285714,0.35620891855120695
WSD,20,0.3953428594252048,0.09416596602021562,0.11931700484282828,0.13908772456005603,0.41059700360426665,0.09850054470705283,0.2650583105559026,0.01785413062645228,0.44927599999999995,0.48795,0.5273195573154048
YAHOO,30,0.6760635790343262,0.13691681260001035,0.6183089067235961,0.10680542213123274,0.2466993820695652,0.5485237290777489,0.2763216902289044,0.43459990897855316,0.8267486666666667,0.8267486666666667,0.8700862184229564
