candidate,series,mean_auc_pr,median_auc_pr,mean_auc_roc
hcrd_L8_max,48,0.3534689568857879,0.3204278529312925,0.7765782163068509
hcrd_full_max,48,0.35246169845619213,0.32020798947293216,0.796882287879562
hcrd_L8_l2,48,0.3352182913653265,0.2933777038681957,0.7693978449515648
hcrd_full_l2,48,0.3336472390091905,0.28785312842413646,0.7904729273035868
hcrd_L4_max,48,0.3305148428867964,0.3051853203237767,0.7211044893038562
hcrd_L4_l2,48,0.3274082723850405,0.2944449332644131,0.7179251854601265
hcrd_L8_transport,48,0.3216494881630871,0.23104093829076439,0.7593182606478702
hcrd_full_transport,48,0.3215968224745011,0.2256458075750448,0.7792813191381073
hcrd_L4_transport,48,0.311921167415227,0.26760115931822603,0.7113828407406428
hcrd_L8_sum,48,0.30737632387688985,0.21534527545975107,0.7522084381988833
hcrd_full_sum,48,0.30515030283159467,0.21011262134775707,0.7694507987018292
hcrd_L4_sum,48,0.3034692194468213,0.23769136829203802,0.7094603777619003
raw_abs_median_deviation,48,0.281578363108789,0.09349997538294898,0.6496421478323395
hcrd_L4_total,48,0.2798774586369199,0.18695912751590898,0.6929358683164453
hcrd_L8_total,48,0.24197575365202798,0.15752375801255386,0.7197259486563099
hcrd_full_total,48,0.2202800446416111,0.14548892040236805,0.7158300480647756
