candidate,series,mean_vus_pr,median_vus_pr,mean_vus_roc,mean_auc_pr,mean_auc_roc
a2_direct,48,0.35377930513917644,0.2729017338501952,0.8250945226793788,0.3534689568857879,0.7765782163068509
a2_fuse_direct_spectrum_sr,48,0.3452563989294806,0.2045757151073758,0.834227992811586,0.33840043730884245,0.7845626896221658
a2_fuse_direct_area_sr,48,0.3245195769429716,0.14799835881340295,0.8282497064888604,0.3119185392277975,0.772397717245176
a2_area_sr,48,0.30287368213129406,0.15224809181169574,0.7910226386035624,0.29231702463832404,0.7189670744208586
a2_fuse_h075_raw,48,0.27989565257163523,0.12690968008406206,0.8216586499420745,0.29112417534228263,0.7679298222977993
a2_fuse_h050_raw,48,0.27606148635282396,0.11709339388143009,0.8064056109771424,0.28831084118794736,0.7350535954732779
a2_fuse_h025_raw,48,0.27523724252718934,0.11486740869862966,0.7814638376814776,0.28806296962113564,0.6929848004224298
a2_fuse_three,48,0.2702124238865162,0.11963865281646147,0.8285029236308782,0.2817600523903418,0.7703955600241795
a2_raw_abs,48,0.2679174529272638,0.10661146445148854,0.7499853838767946,0.281578363108789,0.6496421478323395
a2_fuse_raw_spectrum_sr,48,0.24962381860435764,0.11333091278717924,0.8109252658033802,0.25887845390587133,0.7355460926371132
a2_spectrum_sr_max,48,0.22054277487494836,0.1290570516970529,0.8209278065240477,0.18610750158706288,0.7605825399843814
a2_spectrum_sr_mean,48,0.18739254869723418,0.06403706436583374,0.8001255310938297,0.12472925414968665,0.7137463520697286
