candidate,series,mean_vus_pr,median_vus_pr,mean_vus_roc,mean_auc_pr,mean_auc_roc
a3_if_signed,1,0.1845681877892879,0.1845681877892879,0.7063183849521241,0.18159023315608983,0.6999054257588999
a3_if_full,1,0.1695066375729424,0.1695066375729424,0.576433801908744,0.16972026730150735,0.5701387435597389
a3_fuse_direct_if_signed,1,0.16944906834769735,0.16944906834769735,0.6116006165472639,0.17215416573142622,0.6052156876024805
a3_fuse_direct_if_full,1,0.1677976112903689,0.1677976112903689,0.5357229098414259,0.16979110804800612,0.5288523377580245
a3_direct,1,0.16460002567527654,0.16460002567527654,0.5009019034256125,0.1698372554936846,0.4941000043669389
a3_fuse_direct_if_area,1,0.16422643943707682,0.16422643943707682,0.5061589969292181,0.16660743328054028,0.4992259337333291
a3_if_area,1,0.1607768159167496,0.1607768159167496,0.5246888106766122,0.1626174944781108,0.5179737339394138
a3_fuse_direct_if_signed_area,1,0.16013643897796567,0.16013643897796567,0.5489837155633416,0.16173368547040406,0.5421058369110079
a3_if_signed_area,1,0.15712290578890775,0.15712290578890775,0.600184465422203,0.15510185788359973,0.5938197641972139
a3_fuse_direct_if_raw,1,0.12376196778054456,0.12376196778054456,0.49846492136529535,0.1241918649099549,0.49179414149257755
a3_if_raw,1,0.11209144914759193,0.11209144914759193,0.5091017399310235,0.11136317678317861,0.5058336438228412
