stratum,baseline,series,hcrd_mean_auc_pr,baseline_mean_auc_pr,mean_difference,bootstrap_95_low,bootstrap_95_high,wins,ties,losses
all,IFOREST,220,0.5858642177276489,0.07410486258636362,0.5117593551412853,0.4642140405543421,0.5580846580057427,208,4,8
all,LOF,220,0.5858642177276489,0.10779089429545456,0.47807332343219444,0.43235876435437787,0.5238459236326933,200,7,13
all,MP,220,0.5858642177276489,0.06517715299090909,0.5206870647367399,0.4774660567557611,0.5645125577379155,210,0,10
all,NORMA,220,0.5858642177276489,0.30211881967727267,0.2837453980503762,0.23462277102203827,0.33373448926105803,167,6,47
all,IFOREST1,220,0.5858642177276489,0.455776736040909,0.13008748168673984,0.08231083366048772,0.17978460508796135,124,28,68
all,HBOS,220,0.5858642177276489,0.0756077297,0.5102564880276489,0.46232476121124083,0.5569310648004271,206,6,8
all,OCSVM,220,0.5858642177276489,0.05471754952272727,0.5311466682049216,0.488754715483595,0.5731624275070952,216,0,4
all,PCA,220,0.5858642177276489,0.07149567862727273,0.5143685391003762,0.46833208848719177,0.5605144337749878,208,5,7
all,AE,220,0.5858642177276489,0.0652109722909091,0.5206532454367399,0.477613771560699,0.5634726540118784,209,0,11
all,CNN,220,0.5858642177276489,0.7960639164545453,-0.2101996987268965,-0.27349837298271296,-0.1461975043950263,43,31,146
all,LSTM,220,0.5858642177276489,0.5085805366818182,0.07728368104583075,0.019624267516095747,0.13604317756388123,107,21,92
all,POLY,220,0.5858642177276489,0.1711661256818182,0.4146980920458307,0.37757525356758903,0.45233029539422354,210,0,10
