stratum,baseline,series,hcrd_mean_auc_pr,baseline_mean_auc_pr,mean_difference,bootstrap_95_low,bootstrap_95_high,wins,ties,losses
point,IFOREST,134,0.5285392608108096,0.02842984329104477,0.5001094175197648,0.44847388003778904,0.5520396340082466,132,1,1
point,LOF,134,0.5285392608108096,0.07402148908955224,0.45451777172125735,0.40138562362313723,0.5086950150616883,125,4,5
point,MP,134,0.5285392608108096,0.07583777081343283,0.45270148999737675,0.3975196108809085,0.50767161052846,128,0,6
point,NORMA,134,0.5285392608108096,0.33828595726119404,0.1902533035496156,0.12940898122750497,0.25095177463815976,91,6,37
point,IFOREST1,134,0.5285392608108096,0.2960423332761194,0.2324969275346902,0.17432782977695943,0.2918365196688171,96,9,29
point,HBOS,134,0.5285392608108096,0.03831933701492537,0.4902199237958843,0.4382128053356252,0.5419214438308564,131,3,0
point,OCSVM,134,0.5285392608108096,0.023105976485074623,0.5054332843257349,0.4549745429086161,0.5556848201301695,133,0,1
point,PCA,134,0.5285392608108096,0.036575633537313426,0.49196362727349613,0.44056237527636044,0.54464746497125,130,3,1
point,AE,134,0.5285392608108096,0.056200330694029854,0.47233893011677974,0.4205045939121616,0.5241547721845785,127,0,7
point,CNN,134,0.5285392608108096,0.9051622078507463,-0.3766229470399367,-0.4457773053199539,-0.30195267378557133,9,15,110
point,LSTM,134,0.5285392608108096,0.4639816294701493,0.06455763134066034,-0.012914377948205625,0.14209368969613714,68,8,58
point,POLY,134,0.5285392608108096,0.12730142744776118,0.40123783336304847,0.35497786991551405,0.4483174733148042,127,0,7
