dataset,assignment,train_size,test_size,length,class_count,method,accuracy,balanced_accuracy,macro_f1,transform_seconds,head_fit_seconds,head_predict_seconds,feature_count,representation_seconds
BirdChicken,discovery,20,20,512,2,raw_minirocket,0.9,0.9,0.898989898989899,0.7325272000161931,0.02104159991722554,0.0013901999918743968,9996,0.0033253999426960945
BirdChicken,discovery,20,20,512,2,wavelet_minirocket,0.9,0.9,0.898989898989899,0.33341860002838075,0.0164191999938339,0.0010032999562099576,9996,0.03867460007313639
BirdChicken,discovery,20,20,512,2,hcrd_minirocket,0.9,0.9,0.9,0.29160969995427877,0.013794799917377532,0.0009346000151708722,9996,27.860044600092806
BirdChicken,discovery,20,20,512,2,hcrd_energy,0.75,0.75,0.7493734335839599,0.0,0.0038169000763446093,0.0008887998992577195,85,27.860044600092806
BirdChicken,discovery,20,20,512,2,hcrd_structure,0.9,0.9,0.898989898989899,0.0,0.004909899900667369,0.0006497000576928258,595,27.860044600092806
BirdChicken,discovery,20,20,512,2,hcrd_hybrid,0.9,0.9,0.9,0.29160969995427877,0.02223020000383258,0.005500400089658797,10591,27.860044600092806
Chinatown,discovery,20,343,24,2,raw_minirocket,0.9766763848396501,0.9773135093565752,0.9710695006747638,0.04753609991166741,0.015424799988977611,0.01592269993852824,9996,0.017106500105001032
Chinatown,discovery,20,343,24,2,wavelet_minirocket,0.9766763848396501,0.9806246261642314,0.9712513619981561,0.07844679988920689,0.012745699961669743,0.0153288000728935,9996,0.18470520002301782
Chinatown,discovery,20,343,24,2,hcrd_minirocket,0.9591836734693877,0.968576433393147,0.9505967078189301,0.07472569996025413,0.012966600013896823,0.014515100046992302,9996,31.87383270007558
Chinatown,discovery,20,343,24,2,hcrd_energy,0.8367346938775511,0.827950098265402,0.8068072095268748,0.0,0.005462000030092895,0.0013325000181794167,85,31.87383270007558
Chinatown,discovery,20,343,24,2,hcrd_structure,0.7755102040816326,0.7824703067589507,0.7465184801282236,0.0,0.0044781999895349145,0.0019378999713808298,595,31.87383270007558
