accuracy,balanced_accuracy,dataset,feature_count,head_fit_seconds,head_predict_seconds,macro_f1,method,min_child_samples,ridge_alphas,transform_seconds
0.744,0.744,Computers,9996,0.10846609994769096,0.0073376999935135245,0.742947111368164,raw_minirocket,,"[0.001, 0.004641588833612777, 0.021544346900318832, 0.1, 0.46415888336127775, 2.154434690031882, 10.0, 46.41588833612773, 215.44346900318823, 1000.0]",0.6501400000415742
0.716,0.716,Computers,10080,0.08799259993247688,0.007065600017085671,0.7159590981101278,wavelet_componentwise,,"[0.001, 0.004641588833612777, 0.021544346900318832, 0.1, 0.46415888336127775, 2.154434690031882, 10.0, 46.41588833612773, 215.44346900318823, 1000.0]",0.6242112999316305
0.704,0.704,Computers,10080,0.12136720004491508,0.007878599921241403,0.703525641025641,hcrd_componentwise,,"[0.001, 0.004641588833612777, 0.021544346900318832, 0.1, 0.46415888336127775, 2.154434690031882, 10.0, 46.41588833612773, 215.44346900318823, 1000.0]",0.7756180999567732
0.688,0.688,Computers,10675,0.09703589999116957,0.015227199997752905,0.6872794919494516,hcrd_componentwise_hybrid,,"[0.001, 0.004641588833612777, 0.021544346900318832, 0.1, 0.46415888336127775, 2.154434690031882, 10.0, 46.41588833612773, 215.44346900318823, 1000.0]",0.7756180999567732
0.736,0.736,Computers,20671,0.1605683999368921,0.0251269000582397,0.7359831029185868,raw_hcrd_fusion,,"[0.001, 0.004641588833612777, 0.021544346900318832, 0.1, 0.46415888336127775, 2.154434690031882, 10.0, 46.41588833612773, 215.44346900318823, 1000.0]",1.4257580999983475
0.724,0.724,Computers,595,0.7176355000119656,,0.7238895558223288,hcrd_structure_extratrees,,,0.0
0.74,0.74,Computers,595,0.268981899949722,,0.7390606182256123,hcrd_structure_lightgbm,12,,0.0
0.8256410256410256,0.8354271799393715,CricketX,9996,0.24994559993501753,0.013861800078302622,0.8281978942464029,raw_minirocket,,"[0.001, 0.004641588833612777, 0.021544346900318832, 0.1, 0.46415888336127775, 2.154434690031882, 10.0, 46.41588833612773, 215.44346900318823, 1000.0]",0.27039920003153384
0.6410256410256411,0.6579308410898177,CricketX,10080,0.2015918999677524,0.013050599955022335,0.6374028217760376,wavelet_componentwise,,"[0.001, 0.004641588833612777, 0.021544346900318832, 0.1, 0.46415888336127775, 2.154434690031882, 10.0, 46.41588833612773, 215.44346900318823, 1000.0]",0.4905385000165552
0.5641025641025641,0.5737809381851867,CricketX,10080,0.20624820003286004,0.012571200029924512,0.5612683831771192,hcrd_componentwise,,"[0.001, 0.004641588833612777, 0.021544346900318832, 0.1, 0.46415888336127775, 2.154434690031882, 10.0, 46.41588833612773, 215.44346900318823, 1000.0]",0.48336810001637787
0.5666666666666667,0.5773993809941402,CricketX,10675,0.18787740007974207,0.02294539997819811,0.5639360775039884,hcrd_componentwise_hybrid,,"[0.001, 0.004641588833612777, 0.021544346900318832, 0.1, 0.46415888336127775, 2.154434690031882, 10.0, 46.41588833612773, 215.44346900318823, 1000.0]",0.48336810001637787
0.7615384615384615,0.773947578223478,CricketX,20671,0.28448339994065464,0.04842220002319664,0.7627865280504736,raw_hcrd_fusion,,"[0.001, 0.004641588833612777, 0.021544346900318832, 0.1, 0.46415888336127775, 2.154434690031882, 10.0, 46.41588833612773, 215.44346900318823, 1000.0]",0.7537673000479117
0.5358974358974359,0.5436842600323465,CricketX,595,0.7601175999734551,,0.5163762439321554,hcrd_structure_extratrees,,,0.0
0.4948717948717949,0.5019640221955874,CricketX,595,3.5615310999564826,,0.5001416366627203,hcrd_structure_lightgbm,19,,0.0
0.5714285714285714,0.4419744980089808,MiddlePhalanxOutlineAgeGroup,9996,0.2524894999805838,0.00618280004709959,0.45230974710374267,raw_minirocket,,"[0.001, 0.004641588833612777, 0.021544346900318832, 0.1, 0.46415888336127775, 2.154434690031882, 10.0, 46.41588833612773, 215.44346900318823, 1000.0]",0.08308509993366897
0.5584415584415584,0.4500621310966138,MiddlePhalanxOutlineAgeGroup,10080,0.27592629997525364,0.011068899999372661,0.45910151073989297,wavelet_componentwise,,"[0.001, 0.004641588833612777, 0.021544346900318832, 0.1, 0.46415888336127775, 2.154434690031882, 10.0, 46.41588833612773, 215.44346900318823, 1000.0]",0.2639107999857515
0.5909090909090909,0.4921206472930611,MiddlePhalanxOutlineAgeGroup,10080,0.22677639999892563,0.006745700025931001,0.5046518144878801,hcrd_componentwise,,"[0.001, 0.004641588833612777, 0.021544346900318832, 0.1, 0.46415888336127775, 2.154434690031882, 10.0, 46.41588833612773, 215.44346900318823, 1000.0]",0.19402219995390624
0.6038961038961039,0.4944752746476884,MiddlePhalanxOutlineAgeGroup,10675,0.24714569991920143,0.010068400064483285,0.5097380325664604,hcrd_componentwise_hybrid,,"[0.001, 0.004641588833612777, 0.021544346900318832, 0.1, 0.46415888336127775, 2.154434690031882, 10.0, 46.41588833612773, 215.44346900318823, 1000.0]",0.19402219995390624
0.6103896103896104,0.4880715354853286,MiddlePhalanxOutlineAgeGroup,20671,0.3752098000841215,0.026106799952685833,0.5092445162078049,raw_hcrd_fusion,,"[0.001, 0.004641588833612777, 0.021544346900318832, 0.1, 0.46415888336127775, 2.154434690031882, 10.0, 46.41588833612773, 215.44346900318823, 1000.0]",0.2771072998875752
0.6363636363636364,0.4878103024654749,MiddlePhalanxOutlineAgeGroup,595,0.875876700039953,,0.5086073770284296,hcrd_structure_extratrees,,,0.0
0.564935064935065,0.45111412352791663,MiddlePhalanxOutlineAgeGroup,595,1.0818885000189766,,0.46006734006734007,hcrd_structure_lightgbm,20,,0.0
0.47733333333333333,0.47733333333333333,ScreenType,9996,0.3689155000029132,0.0172249999595806,0.47100143298059965,raw_minirocket,,"[0.001, 0.004641588833612777, 0.021544346900318832, 0.1, 0.46415888336127775, 2.154434690031882, 10.0, 46.41588833612773, 215.44346900318823, 1000.0]",0.6034945999272168
0.44533333333333336,0.44533333333333336,ScreenType,10080,0.331102600088343,0.017094100010581315,0.44082700173973066,wavelet_componentwise,,"[0.001, 0.004641588833612777, 0.021544346900318832, 0.1, 0.46415888336127775, 2.154434690031882, 10.0, 46.41588833612773, 215.44346900318823, 1000.0]",1.6679866999620572
0.44533333333333336,0.44533333333333336,ScreenType,10080,0.285405799979344,0.015598399913869798,0.4456192106663515,hcrd_componentwise,,"[0.001, 0.004641588833612777, 0.021544346900318832, 0.1, 0.46415888336127775, 2.154434690031882, 10.0, 46.41588833612773, 215.44346900318823, 1000.0]",1.3746823000255972
0.4533333333333333,0.4533333333333333,ScreenType,10675,0.24595550005324185,0.03349719999823719,0.45290220209760434,hcrd_componentwise_hybrid,,"[0.001, 0.004641588833612777, 0.021544346900318832, 0.1, 0.46415888336127775, 2.154434690031882, 10.0, 46.41588833612773, 215.44346900318823, 1000.0]",1.3746823000255972
0.4666666666666667,0.4666666666666666,ScreenType,20671,0.5227093999274075,0.07556210004258901,0.4646704259250385,raw_hcrd_fusion,,"[0.001, 0.004641588833612777, 0.021544346900318832, 0.1, 0.46415888336127775, 2.154434690031882, 10.0, 46.41588833612773, 215.44346900318823, 1000.0]",1.978176899952814
0.5093333333333333,0.5093333333333333,ScreenType,595,1.397128399927169,,0.5092709223144006,hcrd_structure_extratrees,,,0.0
0.52,0.52,ScreenType,595,2.6697725999401882,,0.5195395219300775,hcrd_structure_lightgbm,18,,0.0
